"AttributeId","PageId","AchievementType","AchievementNameId","AchievementDiscreptionId","AchievementGoal","FinishMoney"
"37000001","1","0","90060172","90060307","(0,100)","(12,50,4,5)"
"37000002","1","19","90060173","90060308","(0,5)","(12,200,4,5)"
"37000003","1","20","90060174","90060309","(0,1)","(12,50,4,5)"
"37000004","1","21","90060175","90060310","(0,1)","(12,100,4,5)"
"37000005","1","2","90060176","90060311","(0,1)","(12,200,4,5)"
"37000006","1","3","90060177","90060312","(0,1)","(12,200,4,5)"
"37000007","1","4","90060178","90060313","(0,1)","(12,200,4,5)"
"37000008","1","39","90060830","90060831","(0,1)","(12,200,4,5)"
"37000009","2","7","90060180","90060315","(0,30)","(12,50,4,5)"
"37000010","2","7","90060181","90060316","(0,55)","(12,100,4,5)"
"37000011","2","7","90060182","90060317","(0,80)","(12,150,4,5)"
"37000012","2","7","90060183","90060318","(0,100)","(12,200,4,5)"
"37000013","2","7","90060184","90060319","(0,130)","(12,250,4,5)"
"37000014","2","8","90060185","90060320","(0,1)","(12,500,4,5)"
"37000015","2","8","90060186","90060321","(0,2)","(12,1000,4,5)"
"37000016","2","8","90060187","90060322","(0,3)","(12,2000,4,5)"
"37000017","2","8","90060188","90060323","(0,4)","(12,2500,4,5)"
"37000018","2","8","90060189","90060324","(0,5)","(12,3500,4,5)"
"37000019","2","8","90060190","90060325","(0,6)","(12,4500,4,5)"
"37000020","2","8","90060191","90060326","(0,7)","(12,5500,4,5)"
"37000021","2","8","90060192","90060327","(0,8)","(12,6500,4,5)"
"37000022","2","8","90060193","90060328","(0,9)","(12,7500,4,5)"
"37000023","2","8","90060194","90060329","(0,10)","(12,8500,4,5)"
"37000024","3","11","90060202","90060337","(0,2)","(12,100,4,5)"
"37000025","3","11","90060203","90060338","(0,3)","(12,150,4,5)"
"37000026","3","11","90060204","90060339","(0,4)","(12,200,4,5)"
"37000027","3","11","90060205","90060340","(0,5)","(12,250,4,5)"
"37000028","3","11","90060206","90060341","(0,6)","(12,300,4,5)"
"37000029","3","11","90060207","90060342","(0,7)","(12,350,4,5)"
"37000030","3","11","90060208","90060343","(0,8)","(12,1500,4,5)"
"37000031","3","11","90060209","90060344","(0,15)","(12,2000,4,5)"
"37000032","3","11","90060210","90060345","(0,22)","(12,2500,4,5)"
"37000033","3","11","90060211","90060346","(0,29)","(12,3000,4,5)"
"37000034","3","11","90060212","90060347","(0,60)","(12,6000,4,5)"
"37000035","3","11","90060213","90060348","(0,90)","(12,9000,4,5)"
"37000036","3","11","90060214","90060349","(0,120)","(12,12000,4,5)"
"37000037","3","11","90060215","90060350","(0,150)","(12,15000,4,5)"
"37000038","3","11","90060216","90060351","(0,180)","(12,18000,4,5)"
"37000039","4","13","90060217","90060352","(2,100000)","(12,100,4,5)"
"37000040","4","13","90060218","90060353","(2,500000)","(12,200,4,5)"
"37000041","4","13","90060219","90060354","(2,1000000)","(12,300,4,5)"
"37000042","4","13","90060220","90060355","(2,5000000)","(12,500,4,5)"
"37000043","4","13","90060221","90060356","(2,10000000)","(12,800,4,5)"
"37000044","4","13","90060222","90060357","(2,50000000)","(12,1200,4,5)"
"37000045","4","13","90060223","90060358","(2,100000000)","(12,1700,4,5)"
"37000046","4","13","90060224","90060359","(2,300000000)","(12,2300,4,5)"
"37000047","4","13","90060225","90060360","(2,500000000)","(12,3000,4,5)"
"37000048","5","0","90060226","90060361","(0,500)","(12,50,4,5)"
"37000049","5","0","90060227","90060362","(0,1000)","(12,100,4,5)"
"37000050","5","0","90060228","90060363","(0,10000)","(12,200,4,5)"
"37000051","5","0","90060229","90060364","(0,100000)","(12,500,4,5)"
"37000052","5","0","90060230","90060365","(0,300000)","(12,1000,4,5)"
"37000053","5","0","90060231","90060366","(0,500000)","(12,2000,4,5)"
"37000054","5","0","90060232","90060367","(0,1000000)","(12,3000,4,5)"
"37000055","5","0","90060233","90060368","(0,3000000)","(12,4000,4,5)"
"37000056","5","0","90060234","90060369","(0,5000000)","(12,5000,4,5)"
"37000057","5","1","90060235","90060370","(0,5)","(12,100,4,5)"
"37000058","5","1","90060236","90060371","(0,50)","(12,500,4,5)"
"37000059","5","1","90060237","90060372","(0,100)","(12,1000,4,5)"
"37000060","5","1","90060238","90060373","(0,300)","(12,3000,4,5)"
"37000061","5","14","90060239","90060374","(0,5)","(12,50,4,5)"
"37000062","5","14","90060240","90060375","(0,50)","(12,100,4,5)"
"37000063","5","14","90060241","90060376","(0,100)","(12,300,4,5)"
"37000064","5","14","90060242","90060377","(0,300)","(12,500,4,5)"
"37000065","5","14","90060243","90060378","(0,500)","(12,800,4,5)"
