"AttributeId","Type","ActivityName","TargetValue","AddValue","WidgetJumpArray","CanGoto"
"106000001","0","90090520","1","0","(91232600,90090199,92600001,0,-1)","1"
"106000002","1","90090521","10","0","(91232601,90090200,92130004,-1,-1)","1"
"106000003","2","90090522","3","0","(91232602,90090201,92300002,-1,-1)","1"
"106000004","3","90090523","3","0","(91232603,90090202,92300002,-1,-1)","1"
"106000005","4","90090524","3","0","(91232604,90090203,92300002,-1,-1)","1"
"106000006","5","90090525","1","0","(91232605,90090204,92300004,4,-1)","1"
"106000007","6","90090526","1","0","(91232606,90090205,92300004,2,-1)","1"
"106000008","7","90090527","1","0","(91232607,90090206,92300004,1,-1)","1"
"106000009","8","90090528","3","0","(91232608,90090207,92220016,-1,-1)","1"
"106000010","9","90090529","3","0","(91232609,90090208,92220002,-1,-1)","1"
"106000011","10","90090530","200","0","(91232610,90090209,-1,-1,-1)","0"
"106000012","11","90090531","500","0","(91232611,90090210,-1,-1,-1)","0"
"106000013","12","90090532","1000","0","(91232612,90090211,-1,-1,-1)","0"
"106000014","13","90090533","1","0","(91232613,90090212,-1,-1,-1)","0"
"106000015","14","90090534","30","0","(91232614,90090213,-1,-1,-1)","0"
"106000016","15","90090668","1","0","(91232686,90090660,92180011,-1,-1)","1"
"106000017","16","90090669","1","0","(91232687,90090661,92170004,-1,-1)","1"
"106000018","17","90090670","1","0","(91232688,90090662,92150005,-1,-1)","1"
"106000019","18","90090671","1","0","(91232689,90090663,92190001,-1,-1)","1"
"106000020","19","90090672","1","0","(91232690,90090664,92080003,-1,-1)","1"
"106000021","20","90090673","1","0","(91232691,90090665,92210001,-1,-1)","1"
"106000022","21","90090674","1","0","(91232692,90090666,92280003,0,-1)","1"
"106000023","22","90090675","3","0","(91232629,90090667,92240001,-1,-1)","1"
"106000024","23","0","1","0","(91240649,90090900,92330038,-1,-1)","0"
"106000025","24","0","1","0","(91240650,90090901,92330020,-1,-1)","0"
