"AttributeId","BuffName","BuffDescription","AdditionBuffType","AdditionBuffSubType","AdditionBuffLevel","EquipNum","UpgradeNum","EquipQuality","AchievementID","FeatherNum","FeatherUpgradeNum","RankID","AddOnLevel","SuccinctFullQualityLevel","AdditionValue","BuffArray","Icon","IsCanShow","ShowNoticeId","SuitSkillID"
"58010001","90080004","90080013","1","","1","9","3","0","0","0","0","0","","","(4,13,0.02,0,1,4,26,0.01,0,1)","","91222000","1","93000243",""
"58010002","90080005","90080014","1","","2","9","5","0","0","0","0","0","","","(4,13,0.04,0,1,4,26,0.02,0,1)","","91222000","1","93000243",""
"58010003","90080006","90080015","1","","3","9","7","0","0","0","0","0","","","(4,13,0.06,0,1,4,26,0.03,0,1)","","91222000","1","93000243",""
"58010004","90080007","90080016","1","","4","9","9","0","0","0","0","0","","","(4,13,0.08,0,1,4,26,0.04,0,1)","","91222000","1","93000243",""
"58010005","90080008","90080017","1","","5","9","11","0","0","0","0","0","","","(4,13,0.1,0,1,4,26,0.05,0,1)","","91222000","1","93000243",""
"58010006","90080009","90080018","1","","6","9","13","0","0","0","0","0","","","(4,13,0.12,0,1,4,26,0.06,0,1)","","91222000","1","93000243",""
"58010007","90080010","90080019","1","","7","9","15","0","0","0","0","0","","","(4,13,0.14,0,1,4,26,0.07,0,1)","","91222000","1","93000243",""
"58010008","90080011","90080020","1","","8","9","18","0","0","0","0","0","","","(4,13,0.16,0,1,4,26,0.08,0,1)","","91222000","1","93000243",""
"58010009","90080012","90080021","1","","9","9","20","0","0","0","0","0","","","(4,13,0.18,0,1,4,26,0.09,0,1)","","91222000","1","93000243",""
"58010010","90080300","90080304","1","","10","9","23","0","0","0","0","0","","","(4,13,0.2,0,1,4,26,0.1,0,1)","","91222000","1","93000243",""
"58010011","90080301","90080305","1","","11","9","25","0","0","0","0","0","","","(4,13,0.22,0,1,4,26,0.11,0,1)","","91222000","1","93000243",""
"58010012","90080302","90080306","1","","12","9","28","0","0","0","0","0","","","(4,13,0.24,0,1,4,26,0.12,0,1)","","91222000","1","93000243",""
"58010013","90080303","90080307","1","","13","9","30","0","0","0","0","0","","","(4,13,0.26,0,1,4,26,0.13,0,1)","","91222000","1","93000243",""
"58020001","90080022","90080027","2","","1","9","0","2","0","0","0","0","","","(4,5,10,0,1,4,6,10,0,1)","","91222000","1","93000246",""
"58020002","90080023","90080028","2","","2","9","0","3","0","0","0","0","","","(4,5,50,0,1,4,6,50,0,1,4,26,0.02,0,1)","","91222000","1","93000247",""
"58020003","90080024","90080029","2","","3","9","0","4","0","0","0","0","","","(4,5,100,0,1,4,6,100,0,1,4,26,0.04,0,1)","","91222000","1","93000248",""
"58020004","90080025","90080030","2","","4","9","0","5","0","0","0","0","","","(4,5,300,0,1,4,6,300,0,1,4,26,0.07,0,1)","","91222000","1","93000249",""
"58020005","90080026","90080031","2","","5","9","0","6","0","0","0","0","","","(4,5,500,0,1,4,6,500,0,1,4,26,0.1,0,1)","","91222000","1","93000250",""
"58030001","90080032","90080044","3","","1","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030002","90080033","90080045","3","","2","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030003","90080034","90080046","3","","3","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030004","90080035","90080047","3","","4","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030005","90080036","90080048","3","","5","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030006","90080037","90080049","3","","6","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030007","90080038","90080050","3","","7","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030008","90080039","90080051","3","","8","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030009","90080040","90080052","3","","9","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030010","90080041","90080053","3","","10","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030011","90080042","90080054","3","","11","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58030012","90080043","90080055","3","","12","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040001","90080056","90080068","4","","1","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040002","90080057","90080069","4","","2","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040003","90080058","90080070","4","","3","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040004","90080059","90080071","4","","4","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040005","90080060","90080072","4","","5","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040006","90080061","90080073","4","","6","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040007","90080062","90080074","4","","7","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040008","90080063","90080075","4","","8","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040009","90080064","90080076","4","","9","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040010","90080065","90080077","4","","10","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040011","90080066","90080078","4","","11","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58040012","90080067","90080079","4","","12","0","0","0","0","0","0","0","","","0","","91222000","1","",""
"58050001","90080080","90080089","5","","1","0","0","0","0","1","2","0","","","0","","91222000","1","",""
"58050002","90080081","90080090","5","","2","0","0","0","0","1","3","0","","","0","","91222000","1","",""
