"AttributeId","ArenaPos","ItemRewardArray","MoneyRewardArray","RewardDescription","NoticeId"
"109000001","0","(31061005,1)","(2,100000,13,60000)","90090583","93000025"
"109000002","1","(31061004,1)","(2,80000,13,50000)","90090584","93000025"
"109000003","2","(31061004,1)","(2,80000,13,50000)","90090584","93000025"
"109000004","3","(31061004,1)","(2,70000,13,44000)","90090585","93000025"
"109000005","4","(31061004,1)","(2,70000,13,44000)","90090585","93000025"
"109000006","5","(31061004,1)","(2,70000,13,44000)","90090585","93000025"
"109000007","6","(31061004,1)","(2,70000,13,44000)","90090585","93000025"
"109000008","7","(31061004,1)","(2,70000,13,44000)","90090585","93000025"
"109000009","8","(31061004,1)","(2,70000,13,44000)","90090585","93000025"
"109000010","9","(31061004,1)","(2,70000,13,44000)","90090585","93000025"
"109000011","10","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000012","11","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000013","12","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000014","13","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000015","14","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000016","15","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000017","16","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000018","17","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000019","18","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000020","19","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000021","20","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000022","21","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000023","22","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000024","23","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000025","24","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000026","25","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000027","26","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000028","27","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000029","28","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000030","29","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000031","30","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000032","31","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000033","32","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000034","33","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000035","34","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000036","35","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000037","36","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000038","37","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000039","38","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000040","39","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000041","40","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000042","41","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000043","42","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000044","43","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000045","44","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000046","45","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000047","46","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000048","47","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000049","48","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000050","49","(31061003,1)","(2,65000,13,38000)","90090586","93000025"
"109000051","50","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000052","51","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000053","52","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000054","53","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000055","54","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000056","55","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000057","56","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000058","57","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000059","58","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000060","59","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000061","60","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000062","61","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000063","62","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000064","63","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000065","64","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000066","65","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000067","66","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000068","67","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000069","68","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000070","69","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000071","70","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000072","71","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000073","72","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000074","73","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000075","74","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000076","75","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000077","76","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000078","77","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000079","78","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000080","79","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000081","80","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000082","81","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000083","82","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000084","83","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000085","84","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
