"AttributeId","Rank","NpcId","UpgradeId","PropertyRatio","PropertyPlus","Items","Wing","Sprite","EffectBuffArray","GsValue","MilitaryLevel","RobotNameId","ExpLevel"
"110000001","0","76980200","21050300","(4,31,2.5,0,1,4,8,9.6,0,1,4,5,4.2,0,1,4,6,4.2,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020101,0,0)","31040011","48010001","","3139156","3","90048001","300"
"110000002","1","76980009","21050300","(4,31,2.5,0,1,4,8,9.5,0,1,4,5,4.2,0,1,4,6,4.2,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020161,0,0)","31040011","48010002","","3115967","3","90048002","300"
"110000003","2","76980220","21050300","(4,31,2.5,0,1,4,8,9.5,0,1,4,5,4.2,0,1,4,6,4.2,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020221,0,0)","31040011","48010003","","3115967","3","90048003","300"
"110000004","3","76980200","21050299","(4,31,2.5,0,1,4,8,9.4,0,1,4,5,4.1,0,1,4,6,4.1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020101,0,0)","31040011","48010004","","3020834","3","90048004","299"
"110000005","4","76980009","21050299","(4,31,2.5,0,1,4,8,9.4,0,1,4,5,4.1,0,1,4,6,4.1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020161,0,0)","31040011","48010005","","3020834","3","90048005","299"
"110000006","5","76980220","21050299","(4,31,2.5,0,1,4,8,9.4,0,1,4,5,4.1,0,1,4,6,4.1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020221,0,0)","31040011","48010006","","3020834","3","90048006","299"
"110000007","6","76980200","21050299","(4,31,2.5,0,1,4,8,9.4,0,1,4,5,4.1,0,1,4,6,4.1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020101,0,0)","31040011","48010007","","3020834","3","90048007","299"
"110000008","7","76980009","21050299","(4,31,2.5,0,1,4,8,9.4,0,1,4,5,4.1,0,1,4,6,4.1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020161,0,0)","31040011","48010008","","3020834","3","90048008","299"
"110000009","8","76980220","21050299","(4,31,2.5,0,1,4,8,9.4,0,1,4,5,4.1,0,1,4,6,4.1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020221,0,0)","31040011","48010009","","3020834","3","90048009","299"
"110000010","9","76980200","21050299","(4,31,2.5,0,1,4,8,9.4,0,1,4,5,4.1,0,1,4,6,4.1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","(31020101,0,0)","31040011","48010010","","3020834","3","90048010","299"
