"AttributeId","AttId","ClientNameString","ValueLimit","AttGs","MinValue"
"20000000","0","0","0","0",""
"20000001","1","90070002","9999","0",""
"20000002","2","90070003","9999","0",""
"20000003","3","90070004","9999","0",""
"20000004","4","90070005","9999","0",""
"20000005","5","90070006","999999","6",""
"20000006","6","90070007","999999","6",""
"20000007","7","90070008","4999999","2",""
"20000008","8","90070009","9999999","1",""
"20000009","9","90070010","99999","12",""
"20000010","10","90070011","99999","12",""
"20000011","11","90070012","99999","6",""
"20000012","12","90070013","99999","6",""
"20000013","13","90070014","9","25000",""
"20000014","14","90070015","9","25000",""
"20000015","15","90070016","99999","5",""
"20000016","16","90070017","99999","5",""
"20000017","17","90070018","99999","5",""
"20000018","18","90070019","99999","5",""
"20000019","19","90070020","99999","5",""
"20000020","20","90070021","99999","5",""
"20000021","21","90070022","99999","5",""
"20000022","22","90070023","99999","5",""
"20000023","23","90070026","9","20000",""
"20000024","24","90070027","9","20000",""
"20000025","25","90070028","9","100000",""
"20000026","26","90070029","9","100000",""
"20000027","27","90070030","9","0",""
"20000028","28","90070031","9","0",""
"20000029","29","90070032","9","0",""
"20000030","30","90070033","9","0",""
"20000031","31","90070034","9999","0",""
"20000032","32","90070141","99999","0",""
"20000033","33","90070142","99999","0",""
"20000034","34","90070143","99999","0",""
"20000035","35","90070144","99999","0",""
"20000036","36","90070145","99999","0",""
"20000037","37","90070146","99999","0",""
"20000038","38","90070147","9999999","0",""
"20000039","39","90070148","99999","0",""
"20000040","40","90070149","99999","0",""
"20000041","41","90070150","99999","0",""
"20000042","42","90070155","99999","0",""
"20000043","43","90070156","99999","2",""
"20000044","44","90096678","99999","0",""
"20000045","45","90096679","99999","0",""
"20000046","46","90096680","99999","0",""
