"AttributeId","Stage","MaxNum","Type","LogicId","Index","SubIndex","NeedLevel","NeedItem","UnLockSkillList","ResList","AttArray","ShowOffset","LocationData","ImageLocationData"
"17000001","1","30","0","31142401","1","","1","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","0","(-20,212)","(112,424,270,3,42)"
"17000002","1","30","0","31142401","2","","2","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","0","(264,400)","(420,572,260,3,22)"
"17000003","1","30","0","31142401","3","","3","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","147","(584,496)","(712,508,300,3,-45)"
"17000004","1","30","0","31142401","4","","4","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","453","(896,276)","(1060,356,300,3,-15)"
"17000005","1","30","1","31142401","5","1","5","","(17000031,17000032,17000033)","(91293720,91293721,91293722)","","892","(1228,132)","(1472,384,300,3,25)"
"17000006","1","30","0","31142401","6","","6","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","1276","(1684,324)","(1816,556,300,3,45)"
"17000007","1","30","0","31142401","7","","7","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","1590","(1996,540)","(2128,552,300,3,-45)"
"17000008","1","30","0","31142401","8","","8","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","1943","(2300,324)","(2428,552,300,3,45)"
"17000009","1","30","0","31142401","9","","9","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","2180","(2608,536)","(2740,548,300,3,-45)"
"17000010","1","30","0","31142401","10","","10","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","2500","(2924,316)","(3092,388,300,3,-20)"
"17000011","1","30","0","31142401","11","","11","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","2906","(3308,212)","(3436,440,300,3,45)"
"17000012","1","30","0","31142401","12","","12","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","3205","(3616,424)","(3780,492,300,3,-20)"
"17000013","1","30","0","31142401","13","","13","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","3592","(4000,316)","(4128,552,300,3,45)"
"17000014","1","30","0","31142401","14","","14","","","(91293717,91293718,91293719)","(4,8,200,0,1,4,5,80,0,1,4,6,96,0,1,4,7,80,0,1,4,9,64,0,1,4,10,64,0,1,4,11,16,0,1,4,12,16,0,1,)","3840","(4312,536)","(4476,604,300,3,-20)"
"17000015","1","30","1","31142401","15","2","16","","(17000041,17000042,17000043)","(91293720,91293721,91293722)","","4234","(4632,368)","(4860,576,300,3,10)"
"17000016","1","30","0","31142401","16","","18","","","(91293717,91293718,91293719)","(4,8,400,0,1,4,5,160,0,1,4,6,192,0,1,4,7,160,0,1,4,9,128,0,1,4,10,128,0,1,4,11,32,0,1,4,12,32,0,1,)","4663","(5072,480)","(5228,548,377,3,-17)"
"17000017","1","30","0","31142401","17","","20","","","(91293717,91293718,91293719)","(4,8,400,0,1,4,5,160,0,1,4,6,192,0,1,4,7,160,0,1,4,9,128,0,1,4,10,128,0,1,4,11,32,0,1,4,12,32,0,1,)","5108","(5508,368)","(5668,436,300,3,-20)"
"17000018","1","30","0","31142401","18","","22","","","(91293717,91293718,91293719)","(4,8,400,0,1,4,5,160,0,1,4,6,192,0,1,4,7,160,0,1,4,9,128,0,1,4,10,128,0,1,4,11,32,0,1,4,12,32,0,1,)","5459","(5888,260)","(6048,328,300,3,-20)"
"17000019","1","30","0","31142401","19","","24","","","(91293717,91293718,91293719)","(4,8,400,0,1,4,5,160,0,1,4,6,192,0,1,4,7,160,0,1,4,9,128,0,1,4,10,128,0,1,4,11,32,0,1,4,12,32,0,1,)","5810","(6256,152)","(6384,372,300,3,40)"
"17000020","1","30","0","31142401","20","","26","","","(91293717,91293718,91293719)","(4,8,400,0,1,4,5,160,0,1,4,6,192,0,1,4,7,160,0,1,4,9,128,0,1,4,10,128,0,1,4,11,32,0,1,4,12,32,0,1,)","6130","(6564,348)","(6728,500,300,3,10)"
"17000021","1","30","0","31142401","21","","29","","","(91293717,91293718,91293719)","(4,8,600,0,1,4,5,240,0,1,4,6,288,0,1,4,7,240,0,1,4,9,192,0,1,4,10,192,0,1,4,11,48,0,1,4,12,48,0,1,)","6524","(6956,404)","(7092,428,300,3,-40)"
"17000022","1","30","0","31142401","22","","32","","","(91293717,91293718,91293719)","(4,8,600,0,1,4,5,240,0,1,4,6,288,0,1,4,7,240,0,1,4,9,192,0,1,4,10,192,0,1,4,11,48,0,1,4,12,48,0,1,)","6860","(7276,208)","(7408,428,300,3,40)"
"17000023","1","30","0","31142401","23","","35","","","(91293717,91293718,91293719)","(4,8,600,0,1,4,5,240,0,1,4,6,288,0,1,4,7,240,0,1,4,9,192,0,1,4,10,192,0,1,4,11,48,0,1,4,12,48,0,1,)","7169","(7588,400)","(7728,424,300,3,-40)"
"17000024","1","30","0","31142401","24","","38","","","(91293717,91293718,91293719)","(4,8,600,0,1,4,5,240,0,1,4,6,288,0,1,4,7,240,0,1,4,9,192,0,1,4,10,192,0,1,4,11,48,0,1,4,12,48,0,1,)","7477","(7908,204)","(8040,424,300,3,40)"
"17000025","1","30","1","31142401","25","3","41","","(17000051,17000052,17000053)","(91293723,91293724,91293725)","","7760","(8176,336)","(8416,468,300,3,-20)"
"17000026","1","30","0","31142401","26","","44","","","(91293717,91293718,91293719)","(4,8,600,0,1,4,5,240,0,1,4,6,288,0,1,4,7,240,0,1,4,9,192,0,1,4,10,192,0,1,4,11,48,0,1,4,12,48,0,1,)","8171","(8624,292)","(8768,496,300,3,30)"
"17000027","1","30","0","31142401","27","","47","","","(91293717,91293718,91293719)","(4,8,600,0,1,4,5,240,0,1,4,6,288,0,1,4,7,240,0,1,4,9,192,0,1,4,10,192,0,1,4,11,48,0,1,4,12,48,0,1,)","8485","(8960,448)","(9108,496,300,3,-30)"
