"AttributeId","Level","AttArray","MatirialID","MatirialNum","GradeLimit","NeedPower","LevelMax"
"161000001","2","(4,5,0,0,1,4,6,0,0,1,4,9,0,0,1)","31020061","2","0","200","40"
"161000002","2","(4,5,438,0,1,4,6,526,0,1,4,9,69,0,1)","31020061","4","0","400","40"
"161000003","5","(4,5,1313,0,1,4,6,1575,0,1,4,9,207,0,1)","31020061","6","1","600","40"
"161000004","5","(4,5,2625,0,1,4,6,3150,0,1,4,9,413,0,1)","31020061","8","1","800","40"
"161000005","5","(4,5,4375,0,1,4,6,5250,0,1,4,9,688,0,1)","31020061","10","1","1000","40"
"161000006","10","(4,5,6563,0,1,4,6,7875,0,1,4,9,1032,0,1)","31020061","12","2","1200","40"
"161000007","10","(4,5,9188,0,1,4,6,11025,0,1,4,9,1444,0,1)","31020061","14","2","1600","40"
"161000008","10","(4,5,12250,0,1,4,6,14700,0,1,4,9,1925,0,1)","31020061","16","2","2000","40"
"161000009","10","(4,5,15750,0,1,4,6,18900,0,1,4,9,2475,0,1)","31020061","18","2","2400","40"
"161000010","10","(4,5,19688,0,1,4,6,23625,0,1,4,9,3094,0,1)","31020061","20","2","2800","40"
"161000011","15","(4,5,24063,0,1,4,6,28875,0,1,4,9,3782,0,1)","31020061","22","3","3000","40"
"161000012","15","(4,5,28875,0,1,4,6,34650,0,1,4,9,4538,0,1)","31020061","24","3","3600","40"
"161000013","15","(4,5,34125,0,1,4,6,40950,0,1,4,9,5363,0,1)","31020061","26","3","4200","40"
"161000014","15","(4,5,39813,0,1,4,6,47775,0,1,4,9,6257,0,1)","31020061","28","3","4800","40"
"161000015","15","(4,5,45938,0,1,4,6,55125,0,1,4,9,7219,0,1)","31020061","30","3","5400","40"
"161000016","20","(4,5,52500,0,1,4,6,63000,0,1,4,9,8250,0,1)","31020061","32","4","5600","40"
"161000017","20","(4,5,59500,0,1,4,6,71400,0,1,4,9,9350,0,1)","31020061","34","4","6400","40"
"161000018","20","(4,5,66938,0,1,4,6,80325,0,1,4,9,10519,0,1)","31020061","36","4","7200","40"
"161000019","20","(4,5,74813,0,1,4,6,89775,0,1,4,9,11757,0,1)","31020061","38","4","8000","40"
"161000020","20","(4,5,83125,0,1,4,6,99750,0,1,4,9,13063,0,1)","31020061","40","4","8800","40"
"161000021","25","(4,5,91875,0,1,4,6,110250,0,1,4,9,14438,0,1)","31020061","52","5","9000","40"
"161000022","25","(4,5,103250,0,1,4,6,123900,0,1,4,9,16225,0,1)","31020061","64","5","10000","40"
"161000023","25","(4,5,117250,0,1,4,6,140700,0,1,4,9,18425,0,1)","31020061","76","5","11000","40"
"161000024","25","(4,5,133875,0,1,4,6,160650,0,1,4,9,21038,0,1)","31020061","88","5","12000","40"
"161000025","25","(4,5,153125,0,1,4,6,183750,0,1,4,9,24063,0,1)","31020061","100","5","13000","40"
"161000026","30","(4,5,175000,0,1,4,6,210000,0,1,4,9,27500,0,1)","31020061","112","6","13200","40"
"161000027","30","(4,5,199500,0,1,4,6,239400,0,1,4,9,31350,0,1)","31020061","124","6","14400","40"
"161000028","30","(4,5,226625,0,1,4,6,271950,0,1,4,9,35613,0,1)","31020061","136","6","15600","40"
"161000029","30","(4,5,256375,0,1,4,6,307650,0,1,4,9,40288,0,1)","31020061","148","6","16800","40"
"161000030","30","(4,5,288750,0,1,4,6,346500,0,1,4,9,45375,0,1)","31020061","160","6","18000","40"
"161000031","35","(4,5,323750,0,1,4,6,388500,0,1,4,9,50875,0,1)","31020061","180","7","18200","40"
"161000032","35","(4,5,363125,0,1,4,6,435750,0,1,4,9,57063,0,1)","31020061","200","7","19600","40"
"161000033","35","(4,5,406875,0,1,4,6,488250,0,1,4,9,63938,0,1)","31020061","220","7","21000","40"
"161000034","35","(4,5,455000,0,1,4,6,546000,0,1,4,9,71500,0,1)","31020061","240","7","22400","40"
"161000035","35","(4,5,507500,0,1,4,6,609000,0,1,4,9,79750,0,1)","31020061","260","7","23800","40"
"161000036","40","(4,5,564375,0,1,4,6,677250,0,1,4,9,88688,0,1)","31020061","280","8","24000","40"
"161000037","40","(4,5,625625,0,1,4,6,750750,0,1,4,9,98313,0,1)","31020061","300","8","25600","40"
"161000038","40","(4,5,691250,0,1,4,6,829500,0,1,4,9,108625,0,1)","31020061","320","8","27200","40"
"161000039","40","(4,5,761250,0,1,4,6,913500,0,1,4,9,119625,0,1)","31020061","340","8","28800","40"
"161000040","40","(4,5,835625,0,1,4,6,1002750,0,1,4,9,131313,0,1)","31020061","360","8","30400","40"
