"AttributeId","Time","MoneyNeed"
"33000001","0","(0,0)"
"33000002","0","(0,0)"
"33000003","0","(0,0)"
"33000004","0","(0,0)"
"33000005","0","(0,0)"
"33000006","0","(0,0)"
"33000007","0","(0,0)"
"33000008","0","(0,0)"
"33000009","0","(0,0)"
"33000010","0","(0,0)"
"33000011","0","(0,0)"
"33000012","0","(0,0)"
"33000013","0","(0,0)"
"33000014","0","(0,0)"
"33000015","0","(0,0)"
"33000016","0","(0,0)"
"33000017","0","(0,0)"
"33000018","0","(0,0)"
"33000019","0","(0,0)"
"33000020","0","(0,0)"
"33000021","0","(0,0)"
"33000022","0","(0,0)"
"33000023","0","(0,0)"
"33000024","0","(0,0)"
"33000025","0","(0,0)"
"33000026","0","(0,0)"
"33000027","0","(0,0)"
"33000028","0","(0,0)"
"33000029","0","(0,0)"
"33000030","0","(0,0)"
"33000031","0","(0,0)"
"33000032","0","(0,0)"
"33000033","0","(0,0)"
"33000034","0","(0,0)"
"33000035","0","(0,0)"
"33000036","0","(0,0)"
"33000037","0","(0,0)"
"33000038","0","(0,0)"
"33000039","0","(0,0)"
"33000040","0","(0,0)"
"33000041","0","(0,0)"
"33000042","0","(0,0)"
"33000043","0","(0,0)"
"33000044","0","(0,0)"
"33000045","0","(0,0)"
"33000046","0","(0,0)"
"33000047","0","(0,0)"
"33000048","0","(0,0)"
"33000049","0","(0,0)"
"33000050","0","(0,0)"
"33000051","60","(4,5)"
"33000052","120","(4,10)"
"33000053","180","(4,15)"
"33000054","240","(4,20)"
"33000055","300","(4,25)"
"33000056","360","(4,30)"
"33000057","420","(4,35)"
"33000058","480","(4,40)"
"33000059","540","(4,45)"
"33000060","600","(4,50)"
"33000061","660","(4,55)"
"33000062","720","(4,60)"
"33000063","780","(4,65)"
"33000064","840","(4,70)"
"33000065","900","(4,75)"
"33000066","960","(4,80)"
"33000067","1020","(4,85)"
"33000068","1080","(4,90)"
"33000069","1140","(4,95)"
"33000070","1200","(4,100)"
"33000071","1320","(4,110)"
"33000072","1440","(4,120)"
"33000073","1560","(4,130)"
"33000074","1680","(4,140)"
"33000075","1800","(4,150)"
"33000076","1920","(4,160)"
"33000077","2040","(4,170)"
"33000078","2160","(4,180)"
"33000079","2280","(4,190)"
"33000080","2400","(4,200)"
"33000081","2520","(4,210)"
"33000082","2640","(4,220)"
"33000083","2760","(4,230)"
"33000084","2880","(4,240)"
"33000085","3000","(4,250)"
"33000086","3120","(4,260)"
"33000087","3240","(4,270)"
"33000088","3360","(4,280)"
"33000089","3480","(4,290)"
"33000090","3600","(4,300)"
"33000091","3780","(4,315)"
"33000092","3960","(4,330)"
"33000093","4140","(4,345)"
"33000094","4320","(4,360)"
"33000095","4500","(4,375)"
"33000096","4680","(4,390)"
"33000097","4860","(4,405)"
"33000098","5040","(4,420)"
"33000099","5220","(4,435)"
"33000100","5400","(4,450)"
"33000101","5580","(4,465)"
"33000102","5760","(4,480)"
"33000103","5940","(4,495)"
"33000104","6120","(4,510)"
"33000105","6300","(4,525)"
"33000106","6480","(4,540)"
"33000107","6660","(4,555)"
"33000108","6840","(4,570)"
"33000109","7020","(4,585)"
"33000110","7200","(4,600)"
"33000111","7440","(4,620)"
"33000112","7680","(4,640)"
"33000113","7920","(4,660)"
"33000114","8160","(4,680)"
"33000115","8400","(4,700)"
"33000116","8640","(4,720)"
"33000117","8880","(4,740)"
"33000118","9120","(4,760)"
"33000119","9360","(4,780)"
"33000120","9660","(4,805)"
"33000121","9960","(4,830)"
"33000122","10260","(4,855)"
"33000123","10560","(4,880)"
"33000124","10860","(4,905)"
"33000125","11160","(4,930)"
"33000126","11460","(4,955)"
"33000127","11760","(4,980)"
"33000128","12060","(4,1005)"
"33000129","12360","(4,1030)"
"33000130","12720","(4,1060)"
"33000131","13080","(4,1090)"
"33000132","13440","(4,1120)"
"33000133","13800","(4,1150)"
"33000134","14160","(4,1180)"
"33000135","14520","(4,1210)"
"33000136","14880","(4,1240)"
"33000137","15240","(4,1270)"
"33000138","15600","(4,1300)"
"33000139","15960","(4,1330)"
"33000140","16380","(4,1365)"
"33000141","16800","(4,1400)"
"33000142","17220","(4,1435)"
"33000143","17640","(4,1470)"
"33000144","18060","(4,1505)"
"33000145","18480","(4,1540)"
"33000146","18900","(4,1575)"
"33000147","19320","(4,1610)"
"33000148","19740","(4,1645)"
"33000149","20160","(4,1680)"
"33000150","20640","(4,1720)"
"33000151","21120","(4,1760)"
"33000152","21600","(4,1800)"
"33000153","22080","(4,1840)"
"33000154","22560","(4,1880)"
"33000155","23040","(4,1920)"
"33000156","23520","(4,1960)"
"33000157","24000","(4,2000)"
"33000158","24480","(4,2040)"
"33000159","24960","(4,2080)"
"33000160","25500","(4,2125)"
"33000161","26040","(4,2170)"
"33000162","26580","(4,2215)"
"33000163","27120","(4,2260)"
"33000164","27660","(4,2305)"
"33000165","28200","(4,2350)"
"33000166","28740","(4,2395)"
"33000167","29280","(4,2440)"
"33000168","29820","(4,2485)"
"33000169","30360","(4,2530)"
"33000170","30960","(4,2580)"
"33000171","31560","(4,2630)"
"33000172","32160","(4,2680)"
"33000173","32760","(4,2730)"
"33000174","33360","(4,2780)"
"33000175","33960","(4,2830)"
"33000176","34560","(4,2880)"
"33000177","35160","(4,2930)"
"33000178","35760","(4,2980)"
"33000179","36360","(4,3030)"
"33000180","37020","(4,3085)"
"33000181","37680","(4,3140)"
"33000182","38340","(4,3195)"
"33000183","39000","(4,3250)"
"33000184","39660","(4,3305)"
"33000185","40320","(4,3360)"
"33000186","40980","(4,3415)"
"33000187","41640","(4,3470)"
"33000188","42300","(4,3525)"
"33000189","42960","(4,3580)"
"33000190","43680","(4,3640)"
"33000191","44400","(4,3700)"
"33000192","45120","(4,3760)"
"33000193","45840","(4,3820)"
"33000194","46560","(4,3880)"
"33000195","47280","(4,3940)"
"33000196","48000","(4,4000)"
"33000197","48720","(4,4060)"
"33000198","49440","(4,4120)"
"33000199","50160","(4,4180)"
"33000200","50880","(4,4240)"
"33010001","0","(0,0)"
"33010002","0","(0,0)"
"33010003","0","(0,0)"
"33010004","0","(0,0)"
"33010005","0","(0,0)"
"33010006","0","(0,0)"
"33010007","0","(0,0)"
"33010008","0","(0,0)"
"33010009","0","(0,0)"
"33010010","0","(0,0)"
"33010011","0","(0,0)"
"33010012","0","(0,0)"
"33010013","0","(0,0)"
"33010014","0","(0,0)"
"33010015","0","(0,0)"
"33010016","0","(0,0)"
"33010017","0","(0,0)"
"33010018","0","(0,0)"
"33010019","0","(0,0)"
"33010020","0","(0,0)"
"33010021","0","(0,0)"
"33010022","0","(0,0)"
"33010023","0","(0,0)"
"33010024","0","(0,0)"
"33010025","0","(0,0)"
"33010026","120","(4,5)"
