"AttributeId","BeastSpiritType","ItemId","UseNumArray","UnlockConditionArray","GetAttributes","ShowIndex"
"66000001","0","31102201","(3600)","(31030001,1)","(4,8,600,0,1,4,5,80,0,1,4,6,90,0,1,4,7,190,0,1)","0"
"66000002","0","31102202","(2700)","(31030001,1)","(4,8,980,0,1,4,5,130,0,1,4,6,150,0,1,4,7,310,0,1)","1"
"66000003","0","31102203","(2160)","(31030001,1)","(4,8,1500,0,1,4,5,200,0,1,4,6,225,0,1,4,7,475,0,1)","2"
"66000004","0","31102204","(1440)","(31030001,1)","(4,8,2100,0,1,4,5,280,0,1,4,6,315,0,1,4,7,665,0,1)","3"
"66000005","0","31102205","(600)","(31030001,1)","(4,8,3000,0,1,4,5,400,0,1,4,6,450,0,1,4,7,950,0,1)","4"
"66000006","0","31102211","(3600)","(31030001,1)","(4,8,630,0,1,4,5,85,0,1,4,6,95,0,1,4,7,200,0,1)","5"
"66000007","0","31102212","(2700)","(31030001,1)","(4,8,1030,0,1,4,5,140,0,1,4,6,155,0,1,4,7,325,0,1)","6"
"66000008","0","31102213","(2160)","(31030001,1)","(4,8,1580,0,1,4,5,210,0,1,4,6,240,0,1,4,7,500,0,1)","7"
"66000009","0","31102214","(1440)","(31030001,1)","(4,8,2210,0,1,4,5,295,0,1,4,6,335,0,1,4,7,700,0,1)","8"
"66000010","0","31102215","(600)","(31030001,1)","(4,8,3150,0,1,4,5,420,0,1,4,6,475,0,1,4,7,1000,0,1)","9"
"66000011","0","31102221","(3600)","(31030001,1)","(4,8,670,0,1,4,5,90,0,1,4,6,100,0,1,4,7,210,0,1)","10"
"66000012","0","31102222","(2700)","(31030001,1)","(4,8,1080,0,1,4,5,145,0,1,4,6,165,0,1,4,7,345,0,1)","11"
"66000013","0","31102223","(2160)","(31030001,1)","(4,8,1660,0,1,4,5,225,0,1,4,6,250,0,1,4,7,525,0,1)","12"
"66000014","0","31102224","(1440)","(31030001,1)","(4,8,2320,0,1,4,5,310,0,1,4,6,350,0,1,4,7,735,0,1)","13"
"66000015","0","31102225","(600)","(31030001,1)","(4,8,3310,0,1,4,5,445,0,1,4,6,500,0,1,4,7,1050,0,1)","14"
"66000016","0","31102231","(3600)","(31030001,1)","(4,8,700,0,1,4,5,95,0,1,4,6,105,0,1,4,7,220,0,1)","15"
"66000017","0","31102232","(2700)","(31030001,1)","(4,8,1130,0,1,4,5,155,0,1,4,6,170,0,1,4,7,360,0,1)","16"
"66000018","0","31102233","(2160)","(31030001,1)","(4,8,1740,0,1,4,5,235,0,1,4,6,265,0,1,4,7,550,0,1)","17"
"66000019","0","31102234","(1440)","(31030001,1)","(4,8,2440,0,1,4,5,325,0,1,4,6,365,0,1,4,7,770,0,1)","18"
"66000020","0","31102235","(600)","(31030001,1)","(4,8,3480,0,1,4,5,465,0,1,4,6,525,0,1,4,7,1100,0,1)","19"
"66000021","0","31102241","(3600)","(31030001,1)","(4,8,730,0,1,4,5,100,0,1,4,6,110,0,1,4,7,235,0,1)","20"
"66000022","0","31102242","(2700)","(31030001,1)","(4,8,1190,0,1,4,5,160,0,1,4,6,180,0,1,4,7,380,0,1)","21"
"66000023","0","31102243","(2160)","(31030001,1)","(4,8,1830,0,1,4,5,245,0,1,4,6,275,0,1,4,7,580,0,1)","22"
"66000024","0","31102244","(1440)","(31030001,1)","(4,8,2560,0,1,4,5,345,0,1,4,6,385,0,1,4,7,810,0,1)","23"
"66000025","0","31102245","(600)","(31030001,1)","(4,8,3650,0,1,4,5,490,0,1,4,6,550,0,1,4,7,1155,0,1)","24"
"66500001","1","31102206","(3600,3600,3600,3600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,600,0,1,4,5,80,0,1,4,6,90,0,1,4,7,190,0,1)","0"
"66500002","1","31102207","(2700,2700,2700,2700)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,980,0,1,4,5,130,0,1,4,6,150,0,1,4,7,310,0,1)","1"
"66500003","1","31102208","(2160,2160,2160,2160)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1500,0,1,4,5,200,0,1,4,6,225,0,1,4,7,475,0,1)","2"
"66500004","1","31102209","(1440,1440,1440,1440)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,2100,0,1,4,5,280,0,1,4,6,315,0,1,4,7,665,0,1)","3"
"66500005","1","31102210","(600,600,600,600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,3000,0,1,4,5,400,0,1,4,6,450,0,1,4,7,950,0,1)","4"
"66500006","1","31102216","(3600,3600,3600,3600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,630,0,1,4,5,85,0,1,4,6,95,0,1,4,7,200,0,1)","5"
"66500007","1","31102217","(2700,2700,2700,2700)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1030,0,1,4,5,140,0,1,4,6,155,0,1,4,7,325,0,1)","6"
"66500008","1","31102218","(2160,2160,2160,2160)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1580,0,1,4,5,210,0,1,4,6,240,0,1,4,7,500,0,1)","7"
"66500009","1","31102219","(1440,1440,1440,1440)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,2210,0,1,4,5,295,0,1,4,6,335,0,1,4,7,700,0,1)","8"
"66500010","1","31102220","(600,600,600,600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,3150,0,1,4,5,420,0,1,4,6,475,0,1,4,7,1000,0,1)","9"
"66500011","1","31102226","(3600,3600,3600,3600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,670,0,1,4,5,90,0,1,4,6,100,0,1,4,7,210,0,1)","10"
"66500012","1","31102227","(2700,2700,2700,2700)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1080,0,1,4,5,145,0,1,4,6,165,0,1,4,7,345,0,1)","11"
"66500013","1","31102228","(2160,2160,2160,2160)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1660,0,1,4,5,225,0,1,4,6,250,0,1,4,7,525,0,1)","12"
