"AttributeId","quality_level","AttType","MaxUpgradeLevel","AttNum","BasicAtt1","BasicAtt2","BasicAtt3","UpgradeAttEach1","UpgradeAttEach2","UpgradeAttEach3","UpgradeId","BuffIdArray","ItemTemplateId"
"141000001","1","0","0","0","0","0","0","0","0","0","142099991","()",""
"141010001","1","1","100","2","(4,7,1500,0,1)","(4,18,150,0,1)","","(4,7,225,0,1)","(4,18,23,0,1)","","142010001","()","31130001"
"141010002","1","2","100","2","(4,8,3000,0,1)","(4,18,150,0,1)","","(4,8,450,0,1)","(4,18,23,0,1)","","142010001","()","31130002"
"141010003","1","3","100","2","(4,9,250,0,1)","(4,18,150,0,1)","","(4,9,38,0,1)","(4,18,23,0,1)","","142010001","()","31130003"
"141010004","1","4","100","2","(4,10,250,0,1)","(4,18,150,0,1)","","(4,10,38,0,1)","(4,18,23,0,1)","","142010001","()","31130004"
"141010005","1","5","100","2","(4,11,500,0,1)","(4,18,150,0,1)","","(4,11,75,0,1)","(4,18,23,0,1)","","142010001","()","31130005"
"141010006","1","6","100","2","(4,12,500,0,1)","(4,18,150,0,1)","","(4,12,75,0,1)","(4,18,23,0,1)","","142010001","(10990298,10990299,10990300,10990301,10990302,10990303,10990304)","31130006"
"141010007","1","7","100","3","(4,5,250,0,1)","(4,6,250,0,1)","(4,18,150,0,1)","(4,5,38,0,1)","(4,6,38,0,1)","(4,18,23,0,1)","142010001","(10990305,10990306,10990307,10990308,10990309,10990310,10990311)","31130007"
"141010008","1","8","100","2","(4,7,1500,0,1)","(4,16,150,0,1)","","(4,7,225,0,1)","(4,16,23,0,1)","","142010001","(10990312,10990313,10990314,10990315,10990316,10990317,10990318)","31130008"
"141010009","1","9","100","2","(4,8,3000,0,1)","(4,16,150,0,1)","","(4,8,450,0,1)","(4,16,23,0,1)","","142010001","(10990319,10990320,10990321,10990322,10990323,10990324,10990325)","31130009"
"141010010","1","10","100","2","(4,9,250,0,1)","(4,16,150,0,1)","","(4,9,38,0,1)","(4,16,23,0,1)","","142010001","(10990326,10990327,10990328,10990329,10990330,10990331,10990332)","31130010"
"141010011","1","11","100","2","(4,10,250,0,1)","(4,16,150,0,1)","","(4,10,38,0,1)","(4,16,23,0,1)","","142010001","(10990333,10990334,10990335,10990336,10990337,10990338,10990339)","31130011"
