"AttributeId","UpgradeCost","RecoveryReward","Notice_id","DiamondRecoveryMoney","DiamondRecoveryCost"
"142010001","(20,132)","(20,45)","","(20,45)","(4,0)"
"142010002","(20,137)","(20,111)","","(20,164)","(4,2)"
"142010003","(20,148)","(20,180)","","(20,288)","(4,5)"
"142010004","(20,164)","(20,254)","","(20,421)","(4,8)"
"142010005","(20,185)","(20,336)","","(20,568)","(4,11)"
"142010006","(20,211)","(20,428)","","(20,735)","(4,15)"
"142010007","(20,242)","(20,534)","","(20,925)","(4,19)"
"142010008","(20,279)","(20,655)","","(20,1143)","(4,24)"
"142010009","(20,321)","(20,794)","","(20,1394)","(4,29)"
"142010010","(20,369)","(20,955)","","(20,1683)","(4,36)"
"142010011","(20,421)","(20,1139)","","(20,2015)","(4,43)"
"142010012","(20,479)","(20,1350)","","(20,2394)","(4,52)"
"142010013","(20,542)","(20,1589)","","(20,2825)","(4,61)"
"142010014","(20,611)","(20,1860)","","(20,3312)","(4,72)"
"142010015","(20,684)","(20,2166)","","(20,3862)","(4,84)"
"142010016","(20,763)","(20,2508)","","(20,4478)","(4,98)"
"142010017","(20,847)","(20,2889)","","(20,5165)","(4,113)"
"142010018","(20,937)","(20,3313)","","(20,5927)","(4,130)"
"142010019","(20,1031)","(20,3781)","93000163","(20,6770)","(4,149)"
"142010020","(20,1131)","(20,4297)","","(20,7698)","(4,170)"
"142010021","(20,1236)","(20,4862)","","(20,8716)","(4,192)"
"142010022","(20,1347)","(20,5480)","","(20,9828)","(4,217)"
"142010023","(20,1462)","(20,6154)","","(20,11041)","(4,244)"
"142010024","(20,1583)","(20,6885)","","(20,12357)","(4,273)"
"142010025","(20,1710)","(20,7676)","","(20,13781)","(4,305)"
"142010026","(20,1841)","(20,8531)","","(20,15320)","(4,339)"
"142010027","(20,1978)","(20,9452)","","(20,16977)","(4,376)"
"142010028","(20,2120)","(20,10441)","","(20,18757)","(4,415)"
"142010029","(20,2267)","(20,11501)","93000163","(20,20665)","(4,458)"
"142010030","(20,2420)","(20,12634)","","(20,22706)","(4,503)"
"142010031","(20,2577)","(20,13844)","","(20,24884)","(4,551)"
"142010032","(20,2740)","(20,15133)","","(20,27203)","(4,603)"
"142010033","(20,2909)","(20,16503)","","(20,29669)","(4,658)"
"142010034","(20,3082)","(20,17957)","","(20,32287)","(4,716)"
"142010035","(20,3261)","(20,19498)","","(20,35061)","(4,778)"
"142010036","(20,3445)","(20,21129)","","(20,37996)","(4,843)"
"142010037","(20,3634)","(20,22851)","","(20,41096)","(4,912)"
"142010038","(20,3829)","(20,24668)","","(20,44367)","(4,984)"
"142010039","(20,4029)","(20,26583)","93000163","(20,47813)","(4,1061)"
"142010040","(20,4234)","(20,28597)","","(20,51439)","(4,1142)"
"142010041","(20,4444)","(20,30714)","","(20,55250)","(4,1226)"
"142010042","(20,4660)","(20,32936)","","(20,59249)","(4,1315)"
"142010043","(20,4881)","(20,35266)","","(20,63443)","(4,1408)"
"142010044","(20,5107)","(20,37707)","","(20,67836)","(4,1506)"
"142010045","(20,5338)","(20,40260)","","(20,72432)","(4,1608)"
"142010046","(20,5575)","(20,42929)","","(20,77237)","(4,1715)"
"142010047","(20,5817)","(20,45717)","","(20,82254)","(4,1826)"
"142010048","(20,6064)","(20,48625)","","(20,87489)","(4,1943)"
"142010049","(20,6317)","(20,51657)","93000164","(20,92947)","(4,2064)"
"142010050","(20,6574)","(20,54816)","","(20,98632)","(4,2190)"
"142010051","(20,6837)","(20,58103)","","(20,104549)","(4,2322)"
"142010052","(20,7105)","(20,61521)","","(20,110702)","(4,2459)"
"142010053","(20,7379)","(20,65074)","","(20,117097)","(4,2601)"
"142010054","(20,7658)","(20,68763)","","(20,123738)","(4,2748)"
"142010055","(20,7942)","(20,72592)","","(20,130630)","(4,2901)"
"142010056","(20,8231)","(20,76563)","","(20,137778)","(4,3060)"
