"AttributeId","BeliefType","ActivateLevelRequire","CurStarNumber","CurRankNumber","MaxStarNumber","MaxRankNumber","AttArray","OperateType","SuccessRatio","MinActivateTimeNeed","MaxActivateTimeLimit","MoneyCostList","Notice_id"
"57010001","0","1","0","1","12","20","(4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,11,0,0,1,4,16,0,0,1,4,24,0,0,1)","1","1","0","50","(5,50000)",""
"57010002","0","1","1","1","12","20","(4,8,800,0,1,4,5,132,0,1,4,6,132,0,1,4,11,120,0,1,4,16,800,0,1,4,24,0.02,0,1)","1","1","0","50","(5,20000)","93000178"
"57010003","0","1","2","1","12","20","(4,8,800,0,1,4,5,132,0,1,4,6,264,0,1,4,11,120,0,1,4,16,1067,0,1,4,24,0.02,0,1)","1","1","0","50","(5,21000)",""
"57010004","0","1","3","1","12","20","(4,8,800,0,1,4,5,264,0,1,4,6,264,0,1,4,11,120,0,1,4,16,1334,0,1,4,24,0.02,0,1)","1","1","0","50","(5,22000)",""
"57010005","0","1","4","1","12","20","(4,8,800,0,1,4,5,264,0,1,4,6,264,0,1,4,11,240,0,1,4,16,1601,0,1,4,24,0.02,0,1)","1","1","0","50","(5,23000)",""
"57010006","0","1","5","1","12","20","(4,8,1600,0,1,4,5,264,0,1,4,6,264,0,1,4,11,240,0,1,4,16,1868,0,1,4,24,0.02,0,1)","1","1","0","50","(5,24000)",""
"57010007","0","1","6","1","12","20","(4,8,1600,0,1,4,5,264,0,1,4,6,396,0,1,4,11,240,0,1,4,16,2135,0,1,4,24,0.02,0,1)","1","1","0","50","(5,25000)",""
"57010008","0","1","7","1","12","20","(4,8,1600,0,1,4,5,396,0,1,4,6,396,0,1,4,11,240,0,1,4,16,2402,0,1,4,24,0.02,0,1)","1","1","0","50","(5,26000)",""
"57010009","0","1","8","1","12","20","(4,8,1600,0,1,4,5,396,0,1,4,6,396,0,1,4,11,360,0,1,4,16,2669,0,1,4,24,0.02,0,1)","1","1","0","50","(5,27000)",""
"57010010","0","1","9","1","12","20","(4,8,2400,0,1,4,5,396,0,1,4,6,396,0,1,4,11,360,0,1,4,16,2936,0,1,4,24,0.02,0,1)","1","1","0","50","(5,28000)",""
"57010011","0","1","10","1","12","20","(4,8,2400,0,1,4,5,396,0,1,4,6,528,0,1,4,11,360,0,1,4,16,3203,0,1,4,24,0.02,0,1)","1","1","0","50","(5,29000)",""
"57010012","0","1","11","1","12","20","(4,8,2400,0,1,4,5,528,0,1,4,6,528,0,1,4,11,360,0,1,4,16,3470,0,1,4,24,0.02,0,1)","1","1","0","50","(5,30000)",""
"57010013","0","1","12","1","12","20","(4,8,2400,0,1,4,5,528,0,1,4,6,528,0,1,4,11,480,0,1,4,16,3737,0,1,4,24,0.02,0,1)","2","1","0","50","(5,100000)",""
"57010014","0","1","0","2","12","20","(4,8,3200,0,1,4,5,660,0,1,4,6,660,0,1,4,11,600,0,1,4,16,4797,0,1,4,24,0.04,0,1)","1","1","0","50","(5,31000)","93000161"
"57010015","0","1","1","2","12","20","(4,8,4260,0,1,4,5,660,0,1,4,6,660,0,1,4,11,600,0,1,4,16,5151,0,1,4,24,0.04,0,1)","1","1","0","50","(5,32000)",""
"57010016","0","1","2","2","12","20","(4,8,4260,0,1,4,5,660,0,1,4,6,835,0,1,4,11,600,0,1,4,16,5505,0,1,4,24,0.04,0,1)","1","1","0","50","(5,33000)",""
"57010017","0","1","3","2","12","20","(4,8,4260,0,1,4,5,835,0,1,4,6,835,0,1,4,11,600,0,1,4,16,5859,0,1,4,24,0.04,0,1)","1","1","0","50","(5,34000)",""
"57010018","0","1","4","2","12","20","(4,8,4260,0,1,4,5,835,0,1,4,6,835,0,1,4,11,759,0,1,4,16,6213,0,1,4,24,0.04,0,1)","1","1","0","50","(5,35000)",""
"57010019","0","1","5","2","12","20","(4,8,5320,0,1,4,5,835,0,1,4,6,835,0,1,4,11,759,0,1,4,16,6567,0,1,4,24,0.04,0,1)","1","1","0","50","(5,36000)",""
"57010020","0","1","6","2","12","20","(4,8,5320,0,1,4,5,835,0,1,4,6,1010,0,1,4,11,759,0,1,4,16,6921,0,1,4,24,0.04,0,1)","1","1","0","50","(5,37000)",""
"57010021","0","1","7","2","12","20","(4,8,5320,0,1,4,5,1010,0,1,4,6,1010,0,1,4,11,759,0,1,4,16,7275,0,1,4,24,0.04,0,1)","1","1","0","50","(5,38000)",""
"57010022","0","1","8","2","12","20","(4,8,5320,0,1,4,5,1010,0,1,4,6,1010,0,1,4,11,918,0,1,4,16,7629,0,1,4,24,0.04,0,1)","1","1","0","50","(5,39000)",""
"57010023","0","1","9","2","12","20","(4,8,6380,0,1,4,5,1010,0,1,4,6,1010,0,1,4,11,918,0,1,4,16,7983,0,1,4,24,0.04,0,1)","1","1","0","50","(5,40000)",""
"57010024","0","1","10","2","12","20","(4,8,6380,0,1,4,5,1010,0,1,4,6,1185,0,1,4,11,918,0,1,4,16,8337,0,1,4,24,0.04,0,1)","1","1","0","50","(5,41000)",""
"57010025","0","1","11","2","12","20","(4,8,6380,0,1,4,5,1185,0,1,4,6,1185,0,1,4,11,918,0,1,4,16,8691,0,1,4,24,0.04,0,1)","1","1","0","50","(5,42000)",""
"57010026","0","1","12","2","12","20","(4,8,6380,0,1,4,5,1185,0,1,4,6,1185,0,1,4,11,1077,0,1,4,16,9045,0,1,4,24,0.04,0,1)","2","1","0","50","(5,300000)",""
"57010027","0","1","0","3","12","20","(4,8,7440,0,1,4,5,1360,0,1,4,6,1360,0,1,4,11,1236,0,1,4,16,10245,0,1,4,24,0.06,0,1)","1","1","0","50","(5,43000)","93000161"
"57010028","0","1","1","3","12","20","(4,8,8640,0,1,4,5,1360,0,1,4,6,1360,0,1,4,11,1236,0,1,4,16,10645,0,1,4,24,0.06,0,1)","1","1","0","50","(5,44000)",""
"57010029","0","1","2","3","12","20","(4,8,8640,0,1,4,5,1360,0,1,4,6,1558,0,1,4,11,1236,0,1,4,16,11045,0,1,4,24,0.06,0,1)","1","1","0","50","(5,45000)",""
"57010030","0","1","3","3","12","20","(4,8,8640,0,1,4,5,1558,0,1,4,6,1558,0,1,4,11,1236,0,1,4,16,11445,0,1,4,24,0.06,0,1)","1","1","0","50","(5,46000)",""
"57010031","0","1","4","3","12","20","(4,8,8640,0,1,4,5,1558,0,1,4,6,1558,0,1,4,11,1416,0,1,4,16,11845,0,1,4,24,0.06,0,1)","1","1","0","50","(5,47000)",""
"57010032","0","1","5","3","12","20","(4,8,9840,0,1,4,5,1558,0,1,4,6,1558,0,1,4,11,1416,0,1,4,16,12245,0,1,4,24,0.06,0,1)","1","1","0","50","(5,48000)",""
"57010033","0","1","6","3","12","20","(4,8,9840,0,1,4,5,1558,0,1,4,6,1756,0,1,4,11,1416,0,1,4,16,12645,0,1,4,24,0.06,0,1)","1","1","0","50","(5,49000)",""
"57010034","0","1","7","3","12","20","(4,8,9840,0,1,4,5,1756,0,1,4,6,1756,0,1,4,11,1416,0,1,4,16,13045,0,1,4,24,0.06,0,1)","1","1","0","50","(5,50000)",""
"57010035","0","1","8","3","12","20","(4,8,9840,0,1,4,5,1756,0,1,4,6,1756,0,1,4,11,1596,0,1,4,16,13445,0,1,4,24,0.06,0,1)","1","1","0","50","(5,51000)",""
"57010036","0","1","9","3","12","20","(4,8,11040,0,1,4,5,1756,0,1,4,6,1756,0,1,4,11,1596,0,1,4,16,13845,0,1,4,24,0.06,0,1)","1","1","0","50","(5,52000)",""
"57010037","0","1","10","3","12","20","(4,8,11040,0,1,4,5,1756,0,1,4,6,1954,0,1,4,11,1596,0,1,4,16,14245,0,1,4,24,0.06,0,1)","1","1","0","50","(5,53000)",""
"57010038","0","1","11","3","12","20","(4,8,11040,0,1,4,5,1954,0,1,4,6,1954,0,1,4,11,1596,0,1,4,16,14645,0,1,4,24,0.06,0,1)","1","1","0","50","(5,54000)",""
"57010039","0","1","12","3","12","20","(4,8,11040,0,1,4,5,1954,0,1,4,6,1954,0,1,4,11,1776,0,1,4,16,15045,0,1,4,24,0.06,0,1)","2","1","0","50","(5,600000)",""
"57010040","0","1","0","4","12","20","(4,8,12240,0,1,4,5,2152,0,1,4,6,2152,0,1,4,11,1956,0,1,4,16,16545,0,1,4,24,0.08,0,1)","1","1","0","50","(5,55000)","93000179"
"57010041","0","1","1","4","12","20","(4,8,13740,0,1,4,5,2152,0,1,4,6,2152,0,1,4,11,1956,0,1,4,16,17045,0,1,4,24,0.08,0,1)","1","1","0","50","(5,56000)",""
"57010042","0","1","2","4","12","20","(4,8,13740,0,1,4,5,2152,0,1,4,6,2400,0,1,4,11,1956,0,1,4,16,17545,0,1,4,24,0.08,0,1)","1","1","0","50","(5,57000)",""
"57010043","0","1","3","4","12","20","(4,8,13740,0,1,4,5,2400,0,1,4,6,2400,0,1,4,11,1956,0,1,4,16,18045,0,1,4,24,0.08,0,1)","1","1","0","50","(5,58000)",""
"57010044","0","1","4","4","12","20","(4,8,13740,0,1,4,5,2400,0,1,4,6,2400,0,1,4,11,2181,0,1,4,16,18545,0,1,4,24,0.08,0,1)","1","1","0","50","(5,59000)",""
"57010045","0","1","5","4","12","20","(4,8,15240,0,1,4,5,2400,0,1,4,6,2400,0,1,4,11,2181,0,1,4,16,19045,0,1,4,24,0.08,0,1)","1","1","0","50","(5,60000)",""
"57010046","0","1","6","4","12","20","(4,8,15240,0,1,4,5,2400,0,1,4,6,2648,0,1,4,11,2181,0,1,4,16,19545,0,1,4,24,0.08,0,1)","1","1","0","50","(5,61000)",""
"57010047","0","1","7","4","12","20","(4,8,15240,0,1,4,5,2648,0,1,4,6,2648,0,1,4,11,2181,0,1,4,16,20045,0,1,4,24,0.08,0,1)","1","1","0","50","(5,62000)",""
"57010048","0","1","8","4","12","20","(4,8,15240,0,1,4,5,2648,0,1,4,6,2648,0,1,4,11,2406,0,1,4,16,20545,0,1,4,24,0.08,0,1)","1","1","0","50","(5,63000)",""
"57010049","0","1","9","4","12","20","(4,8,16740,0,1,4,5,2648,0,1,4,6,2648,0,1,4,11,2406,0,1,4,16,21045,0,1,4,24,0.08,0,1)","1","1","0","50","(5,64000)",""
"57010050","0","1","10","4","12","20","(4,8,16740,0,1,4,5,2648,0,1,4,6,2896,0,1,4,11,2406,0,1,4,16,21545,0,1,4,24,0.08,0,1)","1","1","0","50","(5,65000)",""
"57010051","0","1","11","4","12","20","(4,8,16740,0,1,4,5,2896,0,1,4,6,2896,0,1,4,11,2406,0,1,4,16,22045,0,1,4,24,0.08,0,1)","1","1","0","50","(5,66000)",""
"57010052","0","1","12","4","12","20","(4,8,16740,0,1,4,5,2896,0,1,4,6,2896,0,1,4,11,2631,0,1,4,16,22545,0,1,4,24,0.08,0,1)","2","1","0","50","(5,1000000)",""
"57010053","0","1","0","5","12","20","(4,8,18240,0,1,4,5,3144,0,1,4,6,3144,0,1,4,11,2856,0,1,4,16,24225,0,1,4,24,0.1,0,1)","1","1","0","50","(5,67000)","93000161"
"57010054","0","1","1","5","12","20","(4,8,19920,0,1,4,5,3144,0,1,4,6,3144,0,1,4,11,2856,0,1,4,16,24785,0,1,4,24,0.1,0,1)","1","1","0","50","(5,68000)",""
"57010055","0","1","2","5","12","20","(4,8,19920,0,1,4,5,3144,0,1,4,6,3422,0,1,4,11,2856,0,1,4,16,25345,0,1,4,24,0.1,0,1)","1","1","0","50","(5,69000)",""
