"AttributeId","Type","UnLockLevel","SkillId","SubList","MainTemId","NeedItemId","NameId","DescribeId","AttArray"
"16500001","0","5","26030300","(16501001,16501002,16501003,16501004)","","","","",""
"16500002","0","10","26030301","(16502001,16502002,16502003,16502004)","","","","",""
"16500003","0","15","26030302","(16503001,16503002,16503003,16503004)","","","","",""
"16500004","0","20","26030306","(16504001,16504002,16504003,16504004)","","","","",""
"16500005","0","25","26030307","(16505001,16505002,16505003,16505004)","","","","",""
"16500006","0","30","26030308","(16506001,16506002,16506003,16506004)","","","","",""
"16500007","0","35","26030303","(16507001,16507002,16507003,16507004)","","","","",""
"16500008","0","40","26030304","(16508001,16508002,16508003,16508004)","","","","",""
"16500009","0","45","26030305","(16509001,16509002,16509003,16509004)","","","","",""
"16501001","-1","5","","","16500001","(31142301,1)","90306362","","(4,5,250,0,1,4,6,300,0,1,4,11,50,0,1,4,15,50,0,1)"
"16501002","-1","5","","","16500001","(31142302,1)","90306363","","(4,8,3750,0,1,4,7,750,0,1,4,12,50,0,1,4,19,50,0,1)"
"16501003","-1","5","","","16500001","(31142303,1)","90306364","","(4,8,3750,0,1,4,7,750,0,1,4,10,100,0,1,4,16,50,0,1)"
"16501004","-1","5","","","16500001","(31142304,1)","90306365","","(4,5,250,0,1,4,6,300,0,1,4,9,100,0,1,4,20,50,0,1)"
"16502001","-1","10","","","16500002","(31142301,4)","90306362","","(4,5,1000,0,1,4,6,1200,0,1,4,11,200,0,1,4,15,200,0,1)"
"16502002","-1","10","","","16500002","(31142302,4)","90306363","","(4,8,15000,0,1,4,7,3000,0,1,4,12,200,0,1,4,19,200,0,1)"
"16502003","-1","10","","","16500002","(31142303,4)","90306364","","(4,8,15000,0,1,4,7,3000,0,1,4,10,400,0,1,4,16,200,0,1)"
"16502004","-1","10","","","16500002","(31142304,4)","90306365","","(4,5,1000,0,1,4,6,1200,0,1,4,9,400,0,1,4,20,200,0,1)"
"16503001","-1","15","","","16500003","(31142301,20)","90306362","","(4,5,6000,0,1,4,6,7200,0,1,4,11,1200,0,1,4,15,1200,0,1)"
"16503002","-1","15","","","16500003","(31142302,20)","90306363","","(4,8,90000,0,1,4,7,18000,0,1,4,12,1200,0,1,4,19,1200,0,1)"
"16503003","-1","15","","","16500003","(31142303,20)","90306364","","(4,8,90000,0,1,4,7,18000,0,1,4,10,2400,0,1,4,16,1200,0,1)"
"16503004","-1","15","","","16500003","(31142304,20)","90306365","","(4,5,6000,0,1,4,6,7200,0,1,4,9,2400,0,1,4,20,1200,0,1)"
"16504001","-1","20","","","16500004","(31142305,10)","90306362","","(4,5,15000,0,1,4,6,18000,0,1,4,11,3000,0,1,4,15,3000,0,1)"
"16504002","-1","20","","","16500004","(31142306,10)","90306363","","(4,8,225000,0,1,4,7,45000,0,1,4,12,3000,0,1,4,19,3000,0,1)"
"16504003","-1","20","","","16500004","(31142307,10)","90306364","","(4,8,225000,0,1,4,7,45000,0,1,4,10,6000,0,1,4,16,3000,0,1)"
"16504004","-1","20","","","16500004","(31142308,10)","90306365","","(4,5,15000,0,1,4,6,18000,0,1,4,9,6000,0,1,4,20,3000,0,1)"
"16505001","-1","25","","","16500005","(31142305,38)","90306362","","(4,5,75000,0,1,4,6,90000,0,1,4,11,15000,0,1,4,15,15000,0,1)"
"16505002","-1","25","","","16500005","(31142306,38)","90306363","","(4,8,1125000,0,1,4,7,225000,0,1,4,12,15000,0,1,4,19,15000,0,1)"
"16505003","-1","25","","","16500005","(31142307,38)","90306364","","(4,8,1125000,0,1,4,7,225000,0,1,4,10,30000,0,1,4,16,15000,0,1)"
"16505004","-1","25","","","16500005","(31142308,38)","90306365","","(4,5,75000,0,1,4,6,90000,0,1,4,9,30000,0,1,4,20,15000,0,1)"
"16506001","-1","30","","","16500006","(31142305,90)","90306362","","(4,5,225000,0,1,4,6,270000,0,1,4,11,45000,0,1,4,15,45000,0,1)"
"16506002","-1","30","","","16500006","(31142306,90)","90306363","","(4,8,3375000,0,1,4,7,675000,0,1,4,12,45000,0,1,4,19,45000,0,1)"
"16506003","-1","30","","","16500006","(31142307,90)","90306364","","(4,8,3375000,0,1,4,7,675000,0,1,4,10,90000,0,1,4,16,45000,0,1)"
"16506004","-1","30","","","16500006","(31142308,90)","90306365","","(4,5,225000,0,1,4,6,270000,0,1,4,9,90000,0,1,4,20,45000,0,1)"
"16507001","-1","35","","","16500007","(31142309,66)","90306362","","(4,5,350000,0,1,4,6,420000,0,1,4,11,70000,0,1,4,15,70000,0,1)"
"16507002","-1","35","","","16500007","(31142310,66)","90306363","","(4,8,5250000,0,1,4,7,1050000,0,1,4,12,70000,0,1,4,19,70000,0,1)"
"16507003","-1","35","","","16500007","(31142311,66)","90306364","","(4,8,5250000,0,1,4,7,1050000,0,1,4,10,140000,0,1,4,16,70000,0,1)"
"16507004","-1","35","","","16500007","(31142312,66)","90306365","","(4,5,350000,0,1,4,6,420000,0,1,4,9,140000,0,1,4,20,70000,0,1)"
"16508001","-1","40","","","16500008","(31142309,88)","90306362","","(4,5,500000,0,1,4,6,600000,0,1,4,11,100000,0,1,4,15,100000,0,1)"
"16508002","-1","40","","","16500008","(31142310,88)","90306363","","(4,8,7500000,0,1,4,7,1500000,0,1,4,12,100000,0,1,4,19,100000,0,1)"
"16508003","-1","40","","","16500008","(31142311,88)","90306364","","(4,8,7500000,0,1,4,7,1500000,0,1,4,10,200000,0,1,4,16,100000,0,1)"
"16508004","-1","40","","","16500008","(31142312,88)","90306365","","(4,5,500000,0,1,4,6,600000,0,1,4,9,200000,0,1,4,20,100000,0,1)"
"16509001","-1","45","","","16500009","(31142309,110)","90306362","","(4,5,750000,0,1,4,6,900000,0,1,4,11,150000,0,1,4,15,150000,0,1)"
"16509002","-1","45","","","16500009","(31142310,110)","90306363","","(4,8,11250000,0,1,4,7,2250000,0,1,4,12,150000,0,1,4,19,150000,0,1)"
"16509003","-1","45","","","16500009","(31142311,110)","90306364","","(4,8,11250000,0,1,4,7,2250000,0,1,4,10,300000,0,1,4,16,150000,0,1)"
"16509004","-1","45","","","16500009","(31142312,110)","90306365","","(4,5,750000,0,1,4,6,900000,0,1,4,9,300000,0,1,4,20,150000,0,1)"
