"AttributeId","WaveId","NextTime","LiveTime","IsDead","WaveBornTriggerMessage","WaveKillTriggerMessage"
"81000001","(80000001,80000002,80000003,80000004)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(1,0,0,0)"
"81000002","(80000005,80000006,80000007,80000008)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(1,0,0,0)"
"81000003","(80000009,80000010,80000011,80000012)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(1,0,0,0)"
"81000004","(80000101,80000102,80000103,80000104)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000005","(80000105,80000106,80000107,80000108)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000006","(80000109,80000110,80000111,80000112)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000007","(80000201)","(0)","(0)","(1)","(0)","(0)"
"81000008","(80000301,80000303,80000304)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,0,0)"
"81000009","(80000305,80000307,80000308)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,0,0)"
"81000010","(80000309,80000311,80000312)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,0,0)"
"81000011","(80000401,80000402,80000403,80000404,80000405)","(5,0,0,0,0)","(120,120,120,120,120)","(0,0,0,0,0)","(1,0,0,0,0)","(0,0,0,0,0)"
"81000012","(80000501,80000502,80000503,80000504)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000013","(80000505,80000506,80000507,80000508)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000014","(80000509,80000510,80000511,80000512)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000015","(80000601,80000602,80000603,80000604)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000016","(80000605,80000606,80000607,80000608)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000017","(80000609,80000610,80000611,80000612)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000018","(80000701,80000702,80000703,80000704)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000019","(80000705,80000706,80000707,80000708)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000020","(80000709,80000710,80000711,80000712)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,2,3,0)"
"81000021","(80000801,80000802,80000803,80000804)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(0,1,2,0)"
"81000022","(80000805,80000806,80000807,80000808)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(0,1,2,0)"
"81000023","(80000809,80000810,80000811,80000812)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(0,1,2,0)"
"81000024","(80000901,80000902,80000903)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(0,1,0)"
"81000025","(80000904,80000905,80000906)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(0,1,0)"
"81000026","(80000907,80000908,80000909)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(0,1,0)"
"81000027","(80001001,80001002,80001003)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,2,0)"
"81000028","(80001004,80001005,80001006)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,2,0)"
"81000029","(80001007,80001008,80001009)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,2,0)"
"81000030","(80001101,80001102,80001103)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,2,0)"
"81000031","(80001104,80001105,80001106)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,2,0)"
"81000032","(80001107,80001108,80001109)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(1,2,0)"
"81000033","(80001201,80001202,80001203)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(0,1,0)"
"81000034","(80001204,80001205,80001206)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(0,1,0)"
"81000035","(80001207,80001208,80001209)","(0,0,0)","(0,0,0)","(0,0,0)","(0,0,9999)","(0,1,0)"
"81000036","(80001210,80001211,80001212,80001213)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,0,2,0)"
"81000037","(80001214,80001215,80001216,80001217)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,0,2,0)"
"81000038","(80001218,80001219,80001220,80001221)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,0,2,0)"
"81000039","(80001222,80001223,80001224,80001225)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,0,2,0)"
"81000040","(80001226,80001227,80001228,80001229)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,0,2,0)"
"81000041","(80001230,80001231,80001232,80001233)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,9999)","(1,0,2,0)"
"81000042","(80000202,80000203)","(0,0)","(0,0)","(0,0)","(1,0)","(1,0)"
"81001001","(80010001)","(0)","(0)","(0)","(1)","(0)"
"81001002","(80010002)","(0)","(0)","(0)","(1)","(0)"
"81001003","(80010003)","(0)","(0)","(0)","(1)","(0)"
"81001004","(80010004)","(0)","(0)","(0)","(1)","(0)"
"81001005","(80010005)","(0)","(0)","(0)","(1)","(0)"
"81001006","(80010006)","(0)","(0)","(0)","(1)","(0)"
"81001007","(80010007)","(0)","(0)","(0)","(1)","(0)"
"81001008","(80010008)","(0)","(0)","(0)","(1)","(0)"
"81001009","(80010009)","(0)","(0)","(0)","(1)","(0)"
"81001010","(80010010)","(0)","(0)","(0)","(1)","(0)"
"81001011","(80010011)","(0)","(0)","(0)","(1)","(0)"
"81001012","(80010012)","(0)","(0)","(0)","(1)","(0)"
"81001013","(80010013)","(0)","(0)","(0)","(1)","(0)"
"81001014","(80010014)","(0)","(0)","(0)","(1)","(0)"
"81001015","(80010015)","(0)","(0)","(0)","(1)","(0)"
"81001016","(80010016)","(0)","(0)","(0)","(1)","(0)"
"81001017","(80010017)","(0)","(0)","(0)","(1)","(0)"
"81001018","(80010018)","(0)","(0)","(0)","(1)","(0)"
"81001019","(80010019)","(0)","(0)","(0)","(1)","(0)"
"81001020","(80010020)","(0)","(0)","(0)","(1)","(0)"
"81001021","(80010021)","(0)","(0)","(0)","(1)","(0)"
"81001022","(80010022)","(0)","(0)","(0)","(1)","(0)"
"81001023","(80010023)","(0)","(0)","(0)","(1)","(0)"
"81001024","(80010024)","(0)","(0)","(0)","(1)","(0)"
"81001025","(80010025)","(0)","(0)","(0)","(1)","(0)"
"81001026","(80010026)","(0)","(0)","(0)","(1)","(0)"
"81001027","(80010027)","(0)","(0)","(0)","(1)","(0)"
"81001028","(80010028)","(0)","(0)","(0)","(1)","(0)"
"81001029","(80010029)","(0)","(0)","(0)","(1)","(0)"
"81001030","(80010030)","(0)","(0)","(0)","(1)","(0)"
"81001031","(80010031)","(0)","(0)","(0)","(1)","(0)"
"81001032","(80010032)","(0)","(0)","(0)","(1)","(0)"
"81001033","(80010033)","(0)","(0)","(0)","(1)","(0)"
"81001034","(80010034)","(0)","(0)","(0)","(1)","(0)"
"81001035","(80010035)","(0)","(0)","(0)","(1)","(0)"
"81001036","(80010036)","(0)","(0)","(0)","(1)","(0)"
"81001037","(80010037)","(0)","(0)","(0)","(1)","(0)"
"81001038","(80010038)","(0)","(0)","(0)","(1)","(0)"
"81001039","(80010039)","(0)","(0)","(0)","(1)","(0)"
"81001040","(80010040)","(0)","(0)","(0)","(1)","(0)"
"81001041","(80010041)","(0)","(0)","(0)","(1)","(0)"
"81001042","(80010083,80010084)","(0)","(0)","(0)","(1)","(0)"
"81001043","(80010085,80010086)","(0)","(0)","(0)","(1)","(0)"
"81001044","(80010087,80010088)","(0)","(0)","(0)","(1)","(0)"
"81001045","(80010089,80010090)","(0)","(0)","(0)","(1)","(0)"
"81001046","(80010091,80010092)","(0)","(0)","(0)","(1)","(0)"
"81001047","(80010093,80010094)","(0)","(0)","(0)","(1)","(0)"
"81001048","(80010095,80010096)","(0)","(0)","(0)","(1)","(0)"
"81001049","(80010097,80010098)","(0)","(0)","(0)","(1)","(0)"
"81001050","(80010099,80010100)","(0)","(0)","(0)","(1)","(0)"
"81001051","(80010101,80010102)","(0)","(0)","(0)","(1)","(0)"
"81001052","(80010103,80010104)","(0)","(0)","(0)","(1)","(0)"
"81001053","(80010105,80010106)","(0)","(0)","(0)","(1)","(0)"
"81001054","(80010107,80010108)","(0)","(0)","(0)","(1)","(0)"
"81001055","(80010109,80010110)","(0)","(0)","(0)","(1)","(0)"
"81001056","(80010111,80010112)","(0)","(0)","(0)","(1)","(0)"
"81001057","(80010113,80010114)","(0)","(0)","(0)","(1)","(0)"
"81001058","(80010115,80010116)","(0)","(0)","(0)","(1)","(0)"
"81001059","(80010117,80010118)","(0)","(0)","(0)","(1)","(0)"
"81001060","(80010119,80010120)","(0)","(0)","(0)","(1)","(0)"
"81001061","(80010121,80010122)","(0)","(0)","(0)","(1)","(0)"
"81001062","(80010123,80010124)","(0)","(0)","(0)","(1)","(0)"
"81001063","(80010125,80010126)","(0)","(0)","(0)","(1)","(0)"
"81001064","(80010127,80010128)","(0)","(0)","(0)","(1)","(0)"
"81001065","(80010129,80010130)","(0)","(0)","(0)","(1)","(0)"
"81001066","(80010131,80010132)","(0)","(0)","(0)","(1)","(0)"
"81001067","(80010133,80010134)","(0)","(0)","(0)","(1)","(0)"
"81001068","(80010135,80010136)","(0)","(0)","(0)","(1)","(0)"
"81001069","(80010137,80010138)","(0)","(0)","(0)","(1)","(0)"
"81001070","(80010139,80010140)","(0)","(0)","(0)","(1)","(0)"
"81001071","(80010141,80010142)","(0)","(0)","(0)","(1)","(0)"
"81001072","(80010143,80010144)","(0)","(0)","(0)","(1)","(0)"
"81001073","(80010145,80010146)","(0)","(0)","(0)","(1)","(0)"
"81001074","(80010147,80010148)","(0)","(0)","(0)","(1)","(0)"
"81001075","(80010149,80010150)","(0)","(0)","(0)","(1)","(0)"
"81001076","(80010151,80010152)","(0)","(0)","(0)","(1)","(0)"
"81001077","(80010153,80010154)","(0)","(0)","(0)","(1)","(0)"
"81001078","(80010155,80010156)","(0)","(0)","(0)","(1)","(0)"
"81001079","(80010157,80010158)","(0)","(0)","(0)","(1)","(0)"
"81001080","(80010159,80010160)","(0)","(0)","(0)","(1)","(0)"
"81001081","(80010161,80010162)","(0)","(0)","(0)","(1)","(0)"
"81001082","(80010163,80010164)","(0)","(0)","(0)","(1)","(0)"
"81001083","(80010165,80010166)","(0)","(0)","(0)","(1)","(0)"
"81001084","(80010167,80010168)","(0)","(0)","(0)","(1)","(0)"
"81001085","(80010169,80010170)","(0)","(0)","(0)","(1)","(0)"
"81001086","(80010171,80010172)","(0)","(0)","(0)","(1)","(0)"
"81001087","(80010173,80010174)","(0)","(0)","(0)","(1)","(0)"
"81001088","(80010175,80010176)","(0)","(0)","(0)","(1)","(0)"
"81001089","(80010177,80010178)","(0)","(0)","(0)","(1)","(0)"
"81001090","(80010179,80010180)","(0)","(0)","(0)","(1)","(0)"
"81001091","(80010181,80010182)","(0)","(0)","(0)","(1)","(0)"
"81001092","(80010183,80010184)","(0)","(0)","(0)","(1)","(0)"
"81001093","(80010185,80010186)","(0)","(0)","(0)","(1)","(0)"
"81001094","(80010187,80010188)","(0)","(0)","(0)","(1)","(0)"
"81001095","(80010189,80010190)","(0)","(0)","(0)","(1)","(0)"
"81001096","(80010191,80010192)","(0)","(0)","(0)","(1)","(0)"
"81001097","(80010193,80010194)","(0)","(0)","(0)","(1)","(0)"
"81001098","(80010195,80010196)","(0)","(0)","(0)","(1)","(0)"
"81001099","(80010197,80010198)","(0)","(0)","(0)","(1)","(0)"
"81001100","(80010199,80010200)","(0)","(0)","(0)","(1)","(0)"
"81001101","(80010201,80010202)","(0)","(0)","(0)","(1)","(0)"
"81001102","(80010203,80010204)","(0)","(0)","(0)","(1)","(0)"
"81001103","(80010205,80010206)","(0)","(0)","(0)","(1)","(0)"
"81001104","(80010207,80010208)","(0)","(0)","(0)","(1)","(0)"
"81001105","(80010209,80010210)","(0)","(0)","(0)","(1)","(0)"
"81001106","(80010211,80010212)","(0)","(0)","(0)","(1)","(0)"
"81001107","(80010213,80010214)","(0)","(0)","(0)","(1)","(0)"
"81001108","(80010215,80010216)","(0)","(0)","(0)","(1)","(0)"
"81001109","(80010217,80010218)","(0)","(0)","(0)","(1)","(0)"
"81001110","(80010219,80010220)","(0)","(0)","(0)","(1)","(0)"
"81001111","(80010221,80010222)","(0)","(0)","(0)","(1)","(0)"
"81001112","(80010223,80010224)","(0)","(0)","(0)","(1)","(0)"
"81001113","(80010225,80010226)","(0)","(0)","(0)","(1)","(0)"
"81001114","(80010227,80010228)","(0)","(0)","(0)","(1)","(0)"
"81001115","(80010229,80010230)","(0)","(0)","(0)","(1)","(0)"
"81001116","(80010231,80010232)","(0)","(0)","(0)","(1)","(0)"
"81001117","(80010233,80010234)","(0)","(0)","(0)","(1)","(0)"
"81001118","(80010235,80010236)","(0)","(0)","(0)","(1)","(0)"
"81001119","(80010237,80010238)","(0)","(0)","(0)","(1)","(0)"
"81001120","(80010239,80010240)","(0)","(0)","(0)","(1)","(0)"
"81001121","(80010241,80010242)","(0)","(0)","(0)","(1)","(0)"
"81001122","(80010243,80010244)","(0)","(0)","(0)","(1)","(0)"
"81001123","(80010245,80010246)","(0)","(0)","(0)","(1)","(0)"
"81001124","(80010247,80010248)","(0)","(0)","(0)","(1)","(0)"
"81001125","(80010249,80010250)","(0)","(0)","(0)","(1)","(0)"
"81001126","(80010251,80010252)","(0)","(0)","(0)","(1)","(0)"
"81001127","(80010253,80010254)","(0)","(0)","(0)","(1)","(0)"
"81001128","(80010255,80010256)","(0)","(0)","(0)","(1)","(0)"
"81001129","(80010257,80010258)","(0)","(0)","(0)","(1)","(0)"
"81001130","(80010259,80010260)","(0)","(0)","(0)","(1)","(0)"
"81001131","(80010261,80010262)","(0)","(0)","(0)","(1)","(0)"
"81001132","(80010263,80010264)","(0)","(0)","(0)","(1)","(0)"
"81001133","(80010265,80010266)","(0)","(0)","(0)","(1)","(0)"
"81001134","(80010267,80010268)","(0)","(0)","(0)","(1)","(0)"
"81001135","(80010269,80010270)","(0)","(0)","(0)","(1)","(0)"
"81001136","(80010271,80010272)","(0)","(0)","(0)","(1)","(0)"
"81001137","(80010273,80010274)","(0)","(0)","(0)","(1)","(0)"
"81001138","(80010275,80010276)","(0)","(0)","(0)","(1)","(0)"
"81001139","(80010277,80010278)","(0)","(0)","(0)","(1)","(0)"
"81001140","(80010279,80010280)","(0)","(0)","(0)","(1)","(0)"
"81001141","(80010281,80010282)","(0)","(0)","(0)","(1)","(0)"
"81001142","(80010283,80010284)","(0)","(0)","(0)","(1)","(0)"
"81001143","(80010285,80010286)","(0)","(0)","(0)","(1)","(0)"
"81001144","(80010287,80010288)","(0)","(0)","(0)","(1)","(0)"
"81001145","(80010289,80010290)","(0)","(0)","(0)","(1)","(0)"
"81001146","(80010291,80010292)","(0)","(0)","(0)","(1)","(0)"
"81001147","(80010293,80010294)","(0)","(0)","(0)","(1)","(0)"
"81001148","(80010295,80010296)","(0)","(0)","(0)","(1)","(0)"
"81001149","(80010297,80010298)","(0)","(0)","(0)","(1)","(0)"
"81001150","(80010299,80010300)","(0)","(0)","(0)","(1)","(0)"
"81001151","(80010301,80010302)","(0)","(0)","(0)","(1)","(0)"
"81001152","(80010303,80010304)","(0)","(0)","(0)","(1)","(0)"
"81001153","(80010305,80010306)","(0)","(0)","(0)","(1)","(0)"
"81001154","(80010307,80010308)","(0)","(0)","(0)","(1)","(0)"
"81001155","(80010309,80010310)","(0)","(0)","(0)","(1)","(0)"
"81001156","(80010311,80010312)","(0)","(0)","(0)","(1)","(0)"
"81001157","(80010313,80010314)","(0)","(0)","(0)","(1)","(0)"
"81001158","(80010315,80010316)","(0)","(0)","(0)","(1)","(0)"
"81001159","(80010317,80010318)","(0)","(0)","(0)","(1)","(0)"
"81001160","(80010319,80010320)","(0)","(0)","(0)","(1)","(0)"
"81001161","(80010321,80010322)","(0)","(0)","(0)","(1)","(0)"
"81001162","(80010323,80010324)","(0)","(0)","(0)","(1)","(0)"
"81001163","(80010325,80010326)","(0)","(0)","(0)","(1)","(0)"
"81001164","(80010327,80010328)","(0)","(0)","(0)","(1)","(0)"
"81001165","(80010329,80010330)","(0)","(0)","(0)","(1)","(0)"
"81001166","(80010331,80010332)","(0)","(0)","(0)","(1)","(0)"
"81001167","(80010333,80010334)","(0)","(0)","(0)","(1)","(0)"
