"AttributeId","Action","ActionParams","AttArray","Condition","ReplaceSkill"
"11010000","modhp","(0,100,-1000,-1000,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010001","modhp","(0,100,-100,-100,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010002","modhp","(0,100,-1800,-1800,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010003","modhp","(0,100,-5000,-5000,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010004","modhp","(0,100,-8000,-8000,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010005","modhp","(0,100,-16000,-16000,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010006","modhp","(0,100,-3,-3,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010007","modhp","(0,100,-3,-3,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010008","modhp","(0,100,-10,-10,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010009","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,1,150,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010010","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,3,150,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010011","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,2,150,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010012","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,4,150,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010013","modhp","(0,100,0,0,3,0,0,0,0,0)","","13","(0,0,0,0,0,0,0,0,0,0)"
"11010014","modexponly","(0,100,100,38,0,0,0,0,0,0)","","13","(0,0,0,0,0,0,0,0,0,0)"
"11010015","modexponly","(0,100,200,38,0,0,0,0,0,0)","","13","(0,0,0,0,0,0,0,0,0,0)"
"11010016","modhp","(0,100,-10,-10,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010017","modhp","(0,100,-32000,-32000,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010018","modexponly","(0,100,100,38,0,0,0,0,0,0)","","13","(0,0,0,0,0,0,0,0,0,0)"
"11010019","modhp","(0,100,-20,-20,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010020","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,1,100,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010021","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,3,100,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010022","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,2,100,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010023","modatt","(0,100,0,0,0,0,0,0,0,0)","(4,4,100,0,1)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010024","modhp","(0,100,-1,-1,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
