"AttributeId","Type","Series","Race","Level","BeginActions","EndActions","EffectActions","CycActions","EventCondition","EventActions","DuringTime","JumpTime","BuffPercent","CanCannel","ExistWhenDeath","DelByResetSkill","TimeEndKeep","MaxPileDepth","SameLevelCover","DiffLevelCover ","SameLevelSameSenderWrap ","SameLevelDifSenderWrap","SameLevelTimeCumulative","DiffevelTimeCumulative","SaveType","Sync","OtherPlayerCanSee","IsShowInExhibition","ResourceID	","DisplayPriority","InvalidMapTypeArray","ValidMapTypeArray","IsShowAbNormalBuff","MapEndClear","InvalidBoss","NotInvalidFakerPlayer","IsFashionBuff","MountStatusHidden","NeedRefresh"
"10010000","0","500","0","1","(11010000,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010000","","","","","","","","","",""
"10010001","0","501","0","1","(11010001,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010001","","","","","","","","","",""
"10010002","0","502","0","1","(11010002,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010002","","(14)","","","","","","","",""
"10010003","0","503","0","1","(11010003,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010003","","(14)","","","","","","","",""
"10010004","0","504","0","1","(11010004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010004","","(14)","","","","","","","",""
"10010005","0","505","0","1","(11010005,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010005","","(14)","","","","","","","",""
"10010006","0","506","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010006,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","300","3","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010006","2","(14)","","","","","","","",""
"10010007","0","506","0","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010007,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","3","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010007","2","(14)","","","","","","","",""
"10010008","0","508","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010008,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","60","3","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010008","2","(14)","","","","","","","",""
"10010009","0","509","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010009,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010009","3","","","","","","","","",""
"10010010","0","510","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010010,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010010","3","","","","","","","","",""
