"AttributeId","Icon","Effects","ComponentIndex","Sockets","EffectsX","EffectsY","EffectsZ","EffectsRoll","EffectsPitch","EffectsYaw","ColorR","ColorG","ColorB","ColorA","MeshName","MeshSlot","MeshAnim","MeshLocation","MeshRotation","NpcId","ScaleX","ScaleY","ScaleZ","MoveLength","MoveTime","MoveAcceleration","ActionType","IsStealth ","IsPose","ShapeshiftId","ChangeBase","GhostNum","GhostMesh","GhostBp","GhostShapeshiftId","IsChangeMount","IsPlayChangeMountAnim","IsChangeWing","IsPlayChangeWingAnim","IsPlayChangePatronSaintAnim","ShowIcon","BuffName","BuffDescription","FriendLegionSeeColor","EnemyLegionSeeColor","TrailParticleEffects","TrailComponentIndex","TrailParticleSockets","AdsorbentSocket","CameraVague","IsShowBuffWithFashion","ChangeShapeId"
"12010000","91222000","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","0","0","0","","","","","","","","",""
"12010001","91222000","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","0","0","0","","","","","","","","",""
"12010002","91222001","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","0","0","0","","","","","","","","",""
"12010003","91222002","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","0","0","0","","","","","","","","",""
"12010004","91222003","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","0","0","0","","","","","","","","",""
"12010005","91222609","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","0","0","0","","","","","","","","",""
"12010006","91222004","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","1","90020004","90070043","","","","","","","","",""
"12010007","91222005","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","1","90020005","90070044","","","","","","","","",""
"12010008","91222006","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","1","90020006","90070045","","","","","","","","",""
"12010009","91222014","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","1","90020014","90025014","","","","","","","","",""
"12010010","91222015","(91110004,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(""Effect_Point_Body"","""","""","""","""","""","""","""","""","""")","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","0","0","","","","","","0","","","","0","0","","0","","","","","","","","","","","","","","1","90020015","90025015","","","","","","","","",""
