"AttributeId","TerrName","TerrImage","TerrLevel","Score","BidMoney","BidAddMoney","MaintainGlow","MaintainGold","ContainZoneId","DailyRewards","TerritoryAddition","TerritoryBuff"
"121000000","90052101","0","0","","","","","","","(31000061,1,31102209,1,31010045,10)","",""
"121000001","90050238","91260351","1","3500","5000","2500","4000","10000","(74000011,74000021,74000031,74000041,74000051,74000061,74000071,74000081,74000091,74000101,74000111,74000121,74000131,74000141,74000151)","(31090157,20)","0.1","10010026"
"121000002","90050239","91260352","2","10000","10000","5000","8000","10000","(74000161,74000171,74000181,74000191,74000201,74000211,74000221)","(31090157,30)","0.1","10010026"
"121000003","90050240","91260353","3","25000","20000","10000","16000","10000","(74000231,74000241,74000251,74000261,74000271)","(31090157,40)","0.1","10010026"
"121000004","90050241","91260354","4","50000","50000","25000","40000","10000","(74000281,74000291,74000301,74000311,74000321,74000331)","(31090157,50)","0.1","10010026"
"121000005","90203629","91260848","1","3500","10000","5000","8000","10000","(74000011,74000021,74000031,74000041,74000051,74000061,74000071,74000081,74000091,74000101,74000111,74000121,74000131,74000141,74000151)","(31090158,40)","0.1","10010026"
"121000006","90203628","91260849","2","10000","20000","10000","16000","10000","(74000161,74000171,74000181,74000191,74000201,74000211,74000221)","(31090158,60)","0.1","10010026"
"121000007","90203630","91260846","3","25000","50000","25000","40000","10000","(74000231,74000241,74000251,74000261,74000271)","(31090158,80)","0.1","10010026"
"121000008","90203624","91260843","4","50000","100000","50000","80000","10000","(74000281,74000291,74000301,74000311,74000321,74000331)","(31090158,100)","0.1","10010026"
"121000009","90203625","91260844","1","3500","10000","5000","8000","10000","(74000011,74000021,74000031,74000041,74000051,74000061,74000071,74000081,74000091,74000101,74000111,74000121,74000131,74000141,74000151)","(31090158,40)","0.1","10010026"
"121000010","90203627","91260847","2","10000","20000","10000","16000","10000","(74000161,74000171,74000181,74000191,74000201,74000211,74000221)","(31090158,60)","0.1","10010026"
"121000011","90203626","91260845","3","25000","50000","25000","40000","10000","(74000231,74000241,74000251,74000261,74000271)","(31090158,80)","0.1","10010026"
