"AttributeId","RightAnswer","Region","SeasonNum","Level","NormalRewardArray","SpecialRewardArray","exp","BigRewardTag"
"153000000","90111000","0","1","1","(31041033,2)","(31010058,5)","100","1"
"153000001","","0","1","2","(31020004,10)","(31020003,10)","200","0"
"153000002","","0","1","3","(0)","(31020002,5)","300","-1"
"153000003","","0","1","4","(31010176,20)","(31010043,5)","400","0"
"153000004","","0","1","5","(31020007,10)","(31020008,10)","500","0"
"153000005","","0","1","6","(0)","(31000028,10)","600","-1"
"153000006","","0","1","7","(31010176,20)","(31000004,2)","700","0"
"153000007","","0","1","8","(0)","(31000040,20)","800","-1"
"153000008","","0","1","9","(31020061,2)","(31010107,10)","900","0"
"153000009","","0","1","10","(31059001,2)","(31041034,2)","1000","1"
"153000010","","0","1","11","(0)","(31010044,4)","1100","-1"
"153000011","","0","1","12","(31000040,10)","(31000029,5)","1200","0"
"153000012","","0","1","13","(0)","(31000086,10)","1300","-1"
"153000013","","0","1","14","(31020004,20)","(31000105,10)","1400","0"
"153000014","","0","1","15","(0)","(31020061,2)","1500","-1"
"153000015","","0","1","16","(31010176,20)","(31000005,2)","1600","0"
"153000016","","0","1","17","(31020003,3)","(31000012,1)","1700","0"
"153000017","","0","1","18","(31010043,5)","(31000027,5)","1800","0"
"153000018","","0","1","19","(0)","(31000094,2)","1900","-1"
"153000019","","0","1","20","(31102206,2)","(31010176,500)","2000","1"
"153000020","","0","1","21","(31000029,2)","(31000099,10)","2100","0"
"153000021","","0","1","22","(0)","(31059001,2)","2200","-1"
"153000022","","0","1","23","(31010176,20)","(31020061,3)","2300","0"
"153000023","","0","1","24","(31000105,10)","(31000105,10)","2400","0"
"153000024","","0","1","25","(0)","(31020001,10)","2500","-1"
"153000025","","0","1","26","(31110101,5)","(31010043,10)","2600","0"
"153000026","","0","1","27","(0)","(31000106,5)","2700","-1"
"153000027","","0","1","28","(31010176,20)","(31010176,300)","2800","0"
"153000028","","0","1","29","(0)","(31000095,2)","2900","-1"
"153000029","","0","1","30","(31130339,1)","(31020056,2)","3000","1"
"153000030","","0","1","31","(0)","(31000012,1)","3100","-1"
"153000031","","0","1","32","(31110001,5)","(31000171,1)","3200","0"
"153000032","","0","1","33","(31010043,5)","(31000101,1)","3300","0"
"153000033","","0","1","34","(0)","(31000112,1)","3400","-1"
"153000034","","0","1","35","(31010176,30)","(31000099,10)","3500","0"
"153000035","","0","1","36","(31020008,10)","(31020005,2)","3600","0"
"153000036","","0","1","37","(0)","(31000099,10)","3700","-1"
"153000037","","0","1","38","(31020061,4)","(31020003,6)","3800","0"
"153000038","","0","1","39","(0)","(31010176,300)","3900","-1"
"153000039","","0","1","40","(31010044,2)","(31020055,2)","4000","1"
"153000040","","0","1","41","(0)","(31020005,4)","4100","-1"
"153000041","","0","1","42","(31000099,10)","(31020008,10)","4200","0"
"153000042","","0","1","43","(0)","(31010044,2)","4300","-1"
"153000043","","0","1","44","(31010176,30)","(31061003,1)","4400","0"
