"AttributeId","ActivityTyp","TargetValue","AddValue","VIPAddNum","TagType","SubTabArray","ActivityOrder","ShowFlagArray","DesStringTemplateId","OpenTimeDescription","ExpTitleIcon","ExpTitleIconNum","MustDoRewardClass","PeopleTitleIcon","RewardClassArray","DynamicMoneyShow","StaticMoneyShow","ItemShow","WidgetJumpArray","IsCanFindBack","EffectLevelRange","DynamicFindBackInfo","StaticFindBackInfo","SiliverBackCost","DiamondBackCost","ItemFindBackArray","MapTemplateId","FuncUnlockName","SubscribeRewardId","InMapList"
"103000001","0","","","","1","(0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","4","(1,1)","90090742","0","","","5","91232811","(0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","(0,1950)","","(31080092,1,31080115,1)","(91232615,90090139,92300003,0,-1)","1","(0,999)","(0,600)","","3000","6","","71030001","ExpDailyRaid","",""
"103000002","4","1","5","(0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1)","1","(0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","12","(1,1)","90090743","0","","","5","91232809","(0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31080052,1)","(91232619,90090143,92300003,5,-1)","1","(0,999)","","(2,300000)","25000","50","","71030002","MoneyDailyRaid","",""
"103000003","1","10","1","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1)","10","(1,1)","90090744","0","","","5","91232811","(0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5)","(0,110)","(5,2000)","(31080093,1,31080055,1,31130408,1)","(91232616,90090140,92130004,-1,-1)","1","(0,999)","(0,500)","","2500","5","","","DailyMission","",""
"103000004","-1","","","","","(0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","0","(1,0)","90090745","0","","","4","91290181","(0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","(0,90000)","(31050006,1,31050001,1,31050002,1,31050003,1)","(91232617,90090141,92300003,-1,-1)","0","(0,999)","","","","","","71110001","ZhongXing","",""
"103000005","-1","","","","","(0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","0","(1,0)","90090745","0","","","4","91290182","(0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","(0,150000)","(31080093,1,31020008,1)","(91232617,90090141,92300003,-1,-1)","0","(0,999)","","","","","","71110002","ZhongXing","",""
"103000006","-1","","","","","(0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","0","(1,0)","90090745","0","","","4","91290182","(0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","(0,280000)","(31080093,1,31020008,1)","(91232617,90090141,92300003,-1,-1)","0","(0,999)","","","","","","71110003","ZhongXing","",""
"103000007","-1","","","","","(0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","0","(1,0)","90090745","0","","","4","91290182","(0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","(0,450000)","(31080093,1,31020008,1)","(91232617,90090141,92300003,-1,-1)","0","(0,999)","","","","","","71110004","ZhongXing","",""
"103000008","-1","","","","","(0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","0","(1,0)","90090745","0","","","4","91290182","(0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","(0,560000)","(31080093,1,31020008,1)","(91232617,90090141,92300003,-1,-1)","0","(0,999)","","","","","","71110005","ZhongXing","",""
"103000009","3","30","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0)","16","(1,1)","90090746","0","","","3","91232811","(0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0)","","","(31080093,1)","(91232618,90090142,92290006,-1,-1)","1","(0,999)","(0,50)","","500","1","","71090001","BattlefieldActivity","",""
"103000010","5","","","","","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","0","(0,1)","90090747","0","","","3","91290182","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","0","(91232620,90090144,92290001,-1,-1)","0","(0,999)","","","","","","","Activity","",""
