"AttributeId","Name","Describe","Icon","Type","ItemGet","CurLevel","MaxLevel","UpgradeCost","AddExpCost","UpgradeNeedNum","AttArray","NpcId","AdditionBuff","AdditionBuffName","AdditionBuffDescribe","CooperateBuff","CooperateBuffDescribe","CooperateUnlockNeed","StarID","EquNeedLv","ShowBuff"
"145000001","90022018","","91290489","1","","0","0","","","","(4,8,100000,0,1,4,5,6667,0,1,4,6,8000,0,1,4,7,20000,0,1,4,9,2667,0,1,4,10,2667,0,1,4,11,1334,0,1,4,12,1334,0,1)","76990301","(10992057,0,10992058,10992061,10992060,10992059)","(90077937,90077938,90077939,90077940,90077941,90077942)","(90077961,90077964,90077967,90077970,90077973,90077976)","(10020467,10020468,10020469,10020470)","(90078015,90078016,90078017,90078018)","(31131125,1,31131126,1,31131127,1)","145052001","",""
"145000002","90022019","","91290490","2","","","","","","","(4,8,125000,0,1,4,5,8334,0,1,4,6,10000,0,1,4,7,25000,0,1,4,9,3334,0,1,4,10,3334,0,1,4,11,1667,0,1,4,12,1667,0,1)","76990302","(10992062,0,10992063,10992066,10992065,10992064)","(90077943,90077944,90077945,90077946,90077947,90077948)","(90077961,90077964,90077979,90077982,90077985,90077988)","(10020471,10020473,10020475,10020476)","(90078019,90078020,90078021,90078022)","(31131125,1,31131126,1,31131127,1)","145053001","",""
"145000003","90022020","","91290491","3","","","","","","","(4,8,50000,0,1,4,5,3334,0,1,4,6,4000,0,1,4,7,10000,0,1,4,9,1334,0,1,4,10,1334,0,1,4,11,667,0,1,4,12,667,0,1)","76990303","(10992067,0,10992068,10992071,10992070,10992069)","(90077949,90077950,90077951,90077952,90077953,90077954)","(90077961,90077964,90077991,90077994,90077997,90078000)","(10020457,10020458,10020460,10020461)","(90078023,90078024,90078025,90078026)","(31131125,1,31131126,1,31131127,1)","145050001","",""
"145000004","90022021","","91290492","4","","","","","","","(4,8,75000,0,1,4,5,5000,0,1,4,6,6000,0,1,4,7,15000,0,1,4,9,2000,0,1,4,10,2000,0,1,4,11,1000,0,1,4,12,1000,0,1)","76990304","(10992072,0,10992073,10992076,10992075,10992074)","(90077955,90077956,90077957,90077958,90077959,90077960)","(90077961,90077964,90078003,90078006,90078009,90078012)","(10020462,10020463,10020465,10020466)","(90078027,90078028,90078029,90078030)","(31131125,1,31131126,1,31131127,1)","145051001","",""
"145001001","90022043","","91222898","1","(31131101,3)","0","19","(31131101,3)","(31131129,1)","50","(4,8,300000,0,1,4,9,16000,0,1,4,11,4000,0,1,4,12,4000,0,1)","","(10020400)","(90077937)","(90077961)","","","","","",""
"145001002","90022043","","91222898","1","(31131101,3)","1","19","(31131101,6)","(31131129,1)","100","(4,8,660000,0,1,4,9,35200,0,1,4,11,8800,0,1,4,12,8800,0,1)","","(10020401)","(90077937)","(90077962)","","","","","",""
"145001003","90022043","","91222898","1","(31131101,3)","2","19","(31131101,9)","(31131129,1)","150","(4,8,1084800,0,1,4,9,57856,0,1,4,11,14464,0,1,4,12,14464,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001004","90022043","","91222898","1","(31131101,3)","3","19","(31131101,12)","(31131129,1)","200","(4,8,1577568,0,1,4,9,84136,0,1,4,11,21034,0,1,4,12,21034,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001005","90022043","","91222898","1","(31131101,3)","4","19","(31131101,15)","(31131129,1)","250","(4,8,2144251,0,1,4,9,114360,0,1,4,11,28590,0,1,4,12,28590,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001006","90022043","","91222898","1","(31131101,3)","5","19","(31131101,18)","(31131129,1)","300","(4,8,2790270,0,1,4,9,148814,0,1,4,11,37203,0,1,4,12,37203,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001007","90022043","","91222898","1","(31131101,3)","6","19","(31131101,21)","(31131129,1)","350","(4,8,3520271,0,1,4,9,187747,0,1,4,11,46936,0,1,4,12,46936,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001008","90022043","","91222898","1","(31131101,3)","7","19","(31131101,24)","(31131129,1)","400","(4,8,4337872,0,1,4,9,231353,0,1,4,11,57838,0,1,4,12,57838,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001009","90022043","","91222898","1","(31131101,3)","8","19","(31131101,27)","(31131129,1)","450","(4,8,5245410,0,1,4,9,279755,0,1,4,11,69938,0,1,4,12,69938,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001010","90022043","","91222898","1","(31131101,3)","9","19","(31131101,30)","(31131129,1)","500","(4,8,6243701,0,1,4,9,332997,0,1,4,11,83249,0,1,4,12,83249,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001011","90022043","","91222898","1","(31131101,3)","10","19","(31131101,33)","(31131129,1)","550","(4,8,7331839,0,1,4,9,391031,0,1,4,11,97757,0,1,4,12,97757,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001012","90022043","","91222898","1","(31131101,3)","11","19","(31131101,36)","(31131129,1)","600","(4,8,8507027,0,1,4,9,453708,0,1,4,11,113427,0,1,4,12,113427,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001013","90022043","","91222898","1","(31131101,3)","12","19","(31131101,39)","(31131129,1)","650","(4,8,9764479,0,1,4,9,520772,0,1,4,11,130193,0,1,4,12,130193,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001014","90022043","","91222898","1","(31131101,3)","13","19","(31131101,42)","(31131129,1)","700","(4,8,11097378,0,1,4,9,591860,0,1,4,11,147965,0,1,4,12,147965,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001015","90022043","","91222898","1","(31131101,3)","14","19","(31131101,45)","(31131129,1)","750","(4,8,12496922,0,1,4,9,666502,0,1,4,11,166625,0,1,4,12,166625,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001016","90022043","","91222898","1","(31131101,3)","15","19","(31131101,48)","(31131129,1)","800","(4,8,13952448,0,1,4,9,744130,0,1,4,11,186032,0,1,4,12,186032,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001017","90022043","","91222898","1","(31131101,3)","16","19","(31131101,51)","(31131129,1)","850","(4,8,15451639,0,1,4,9,824087,0,1,4,11,206021,0,1,4,12,206021,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001018","90022043","","91222898","1","(31131101,3)","17","19","(31131101,54)","(31131129,1)","900","(4,8,16980814,0,1,4,9,905643,0,1,4,11,226410,0,1,4,12,226410,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001019","90022043","","91222898","1","(31131101,3)","18","19","(31131101,57)","(31131129,1)","950","(4,8,18525281,0,1,4,9,988015,0,1,4,11,247003,0,1,4,12,247003,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145001020","90022043","","91222898","1","(31131101,3)","19","19","","","","(4,8,20069748,0,1,4,9,1070386,0,1,4,11,267596,0,1,4,12,267596,0,1)","","(10020402)","(90077937)","(90077963)","","","","","",""
"145002001","90022044","","91222898","1","(31131102,3)","0","19","(31131102,3)","(31131129,1)","50","(4,8,300000,0,1,4,7,60000,0,1,4,10,8000,0,1,4,12,4000,0,1)","","(10020406)","(90077938)","(90077964)","","","","","",""
"145002002","90022044","","91222898","1","(31131102,3)","1","19","(31131102,6)","(31131129,1)","100","(4,8,660000,0,1,4,7,132000,0,1,4,10,17600,0,1,4,12,8800,0,1)","","(10020407)","(90077938)","(90077965)","","","","","",""
"145002003","90022044","","91222898","1","(31131102,3)","2","19","(31131102,9)","(31131129,1)","150","(4,8,1084800,0,1,4,7,216960,0,1,4,10,28928,0,1,4,12,14464,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002004","90022044","","91222898","1","(31131102,3)","3","19","(31131102,12)","(31131129,1)","200","(4,8,1577568,0,1,4,7,315513,0,1,4,10,42068,0,1,4,12,21034,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002005","90022044","","91222898","1","(31131102,3)","4","19","(31131102,15)","(31131129,1)","250","(4,8,2144251,0,1,4,7,428850,0,1,4,10,57180,0,1,4,12,28590,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002006","90022044","","91222898","1","(31131102,3)","5","19","(31131102,18)","(31131129,1)","300","(4,8,2790270,0,1,4,7,558054,0,1,4,10,74407,0,1,4,12,37203,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002007","90022044","","91222898","1","(31131102,3)","6","19","(31131102,21)","(31131129,1)","350","(4,8,3520271,0,1,4,7,704054,0,1,4,10,93873,0,1,4,12,46936,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002008","90022044","","91222898","1","(31131102,3)","7","19","(31131102,24)","(31131129,1)","400","(4,8,4337872,0,1,4,7,867574,0,1,4,10,115676,0,1,4,12,57838,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002009","90022044","","91222898","1","(31131102,3)","8","19","(31131102,27)","(31131129,1)","450","(4,8,5245410,0,1,4,7,1049082,0,1,4,10,139877,0,1,4,12,69938,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002010","90022044","","91222898","1","(31131102,3)","9","19","(31131102,30)","(31131129,1)","500","(4,8,6243701,0,1,4,7,1248740,0,1,4,10,166498,0,1,4,12,83249,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002011","90022044","","91222898","1","(31131102,3)","10","19","(31131102,33)","(31131129,1)","550","(4,8,7331839,0,1,4,7,1466367,0,1,4,10,195515,0,1,4,12,97757,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
