"AttributeId","Type","OpenLevel","NeedRoleLevel","NeedWorldLevel","NeedMission"
"16700001","1","4","","","15000596"
"16700002","1","6","","","15001146"
"16710001","2","10","","1",""
"16710002","2","12","","400",""
"16720001","3","20","","1",""
"16720002","3","40","","400",""
"16730001","4","10","","1",""
"16740001","5","5","","1",""
"16740002","5","6","","400",""
"16750001","6","20","","1",""
"16750002","6","30","","400",""
"16760001","7","10","","1",""
"16770001","8","6","","1",""
"16770002","8","7","","400",""
"16780001","9","20","","1",""
