"AttributeId","NextDialogId","FinnalStepId","LeftOrRight","DialogWordRes"
"17000001","0","17000001","0","90009006"
"17000002","0","17000002","0","90009007"
"17000003","0","17000003","0","90009008"
"17000004","0","17000004","0","90009009"
"17000005","0","17000005","0","90009010"
"17000006","0","17000006","0","90009011"
"17000007","0","17000007","0","90009012"
"17000008","0","17000008","0","90009013"
"17000009","0","17000009","0","90009014"
"17000010","0","17000010","0","90009015"
"17000011","0","17000011","0","90009016"
"17000012","0","17000012","0","90009017"
"17000013","0","17000013","0","90009018"
"17000014","0","17000014","0","90009019"
"17000015","0","17000015","0","90009020"
"17000016","0","17000016","0","90009021"
"17000017","0","17000017","0","90009022"
"17000018","0","17000018","0","90009023"
"17000019","0","17000019","0","90009024"
"17000020","0","17000020","0","90009025"
"17000021","0","17000021","0","90009026"
"17000022","0","17000022","0","90009027"
"17000023","0","17000023","0","90009028"
"17000024","0","17000024","0","90009029"
"17000025","0","17000025","0","90009030"
"17000026","0","17000026","0","90009031"
"17000027","0","17000027","0","90009032"
"17000028","0","17000028","0","90009033"
"17002081","0","17002081","0","90009071"
"17002082","0","17002082","0","90009073"
"17002101","17002102","17002105","0","90002500"
"17002102","17002103","17002105","1","90002501"
"17002103","17002104","17002105","0","90002502"
"17002104","17002105","17002105","0","90002503"
"17002105","0","17002105","1","90002504"
"17002106","17002107","17002108","0","90002505"
"17002107","17002108","17002108","1","90002506"
"17002108","0","17002108","0","90002507"
"17002109","17002110","17002110","0","90002508"
"17002110","0","17002110","0","90002509"
"17002111","0","17002110","0","90002510"
"17002112","0","17002110","1","90002511"
"17002113","0","17002110","0","90002512"
"17002114","17002115","17002117","0","90002513"
"17002115","17002116","17002117","1","90002514"
"17002116","17002117","17002117","0","90002515"
"17002117","0","17002117","1","90002516"
"17002118","17002119","17002119","0","90002517"
"17002119","0","17002119","1","90002518"
"17002120","0","17002119","0","90002519"
"17002121","0","17002119","0","90002520"
"17002122","0","17002119","0","90002521"
"17002123","0","17002123","0","90002522"
"17002124","0","17002123","0","90002523"
"17002125","0","17002123","0","90002524"
"17002126","0","17002123","0","90002525"
"17002127","0","17002123","0","90002526"
"17002128","17002129","17002129","1","90002527"
"17002129","0","17002129","0","90002528"
"17002130","0","17002129","1","90002529"
"17002131","0","17002129","0","90002530"
"17002132","0","17002129","1","90002531"
"17002133","17002134","17002137","0","90002532"
"17002134","17002135","17002137","0","90002533"
"17002135","17002137","17002137","1","90002534"
"17002136","17002137","17002137","0","90002535"
"17002137","0","17002137","1","90002536"
"17002138","17002139","17002140","1","90002537"
"17002139","17002140","17002140","0","90002538"
"17002140","0","17002140","0","90002539"
"17002141","0","17002140","0","90002540"
"17002142","0","17002140","0","90002541"
"17002143","17002144","17002144","0","90002542"
"17002144","0","17002144","1","90002543"
"17002145","0","17002144","0","90002544"
"17002146","0","17002144","1","90002545"
"17002147","17002148","17002151","0","90002546"
"17002148","17002149","17002151","0","90002547"
"17002149","17002150","17002151","0","90002548"
"17002150","17002151","17002151","1","90002549"
"17002151","0","17002151","0","90002550"
"17002152","0","17002151","0","90002551"
"17002153","0","17002151","0","90002552"
"17002154","0","17002151","0","90002553"
"17002155","17002156","17002157","1","90002554"
"17002156","17002157","17002157","0","90002555"
"17002157","0","17002157","0","90002556"
"17002158","0","17002157","0","90002557"
"17002159","17002160","17002162","1","90002558"
"17002160","17002161","17002162","0","90002559"
"17002161","17002162","17002162","0","90002560"
"17002162","0","17002162","0","90002561"
"17002163","17002164","17002164","0","90002562"
"17002164","0","17002164","1","90002563"
"17002165","17002166","17002168","0","90002564"
"17002166","17002167","17002168","1","90002565"
"17002167","17002168","17002168","0","90002566"
"17002168","0","17002168","1","90002567"
"17002169","17002170","17002172","0","90002568"
"17002170","17002171","17002172","1","90002569"
"17002171","17002172","17002172","0","90002570"
"17002172","0","17002172","1","90002571"
"17002173","0","17002172","0","90002572"
"17002174","0","17002174","1","90002573"
"17002175","17002176","17002176","0","90002574"
"17002176","0","17002176","0","90002575"
"17002177","0","17002176","1","90002576"
"17002178","17002179","17002179","1","90002577"
"17002179","0","17002179","0","90002578"
"17002180","0","17002179","1","90002579"
"17002181","0","17002179","0","90002580"
"17002182","17002183","17002183","1","90002581"
"17002183","0","17002183","0","90002582"
"17002184","17002185","17002186","1","90002583"
"17002185","17002186","17002186","0","90002584"
"17002186","0","17002186","1","90002585"
"17002187","0","17002186","0","90002586"
"17002188","0","17002186","1","90002587"
"17002189","0","17002186","0","90002588"
"17002190","0","17002186","1","90002589"
"17002191","0","17002186","0","90002590"
"17002192","17002193","17002194","0","90002591"
"17002193","17002194","17002194","1","90002592"
"17002194","0","17002194","0","90002593"
"17002195","0","17002194","0","90002594"
"17002196","17002197","17002200","1","90002595"
"17002197","17002198","17002200","0","90002596"
"17002198","17002199","17002200","1","90002597"
"17002199","17002200","17002200","0","90002598"
"17002200","0","17002200","1","90002599"
"17002201","0","17002200","1","90002600"
"17002202","0","17002200","0","90002601"
"17002203","0","17002200","1","90002602"
"17002204","0","17002200","0","90002603"
"17002205","0","17002200","1","90002604"
"17002206","0","17002200","0","90002605"
"17002207","0","17002200","1","90002606"
"17002208","0","17002200","0","90002607"
"17002209","0","17002200","1","90002608"
"17002210","0","17002200","0","90002609"
"17002211","17002212","17002215","1","90002610"
"17002212","17002213","17002215","0","90002611"
"17002213","17002214","17002215","1","90002612"
"17002214","17002215","17002215","0","90002613"
"17002215","0","17002215","0","90002614"
"17002216","17002217","17002217","0","90002615"
"17002217","0","17002217","1","90002616"
"17002218","0","17002217","0","90002617"
"17002219","17002220","17002220","1","90002618"
"17002220","0","17002220","0","90002619"
"17002221","0","17002220","0","90002620"
"17002222","0","17002220","0","90002621"
"17002223","0","17002220","1","90002622"
"17002224","0","17002220","0","90002623"
"17002225","0","17002220","0","90002624"
"17002226","17002227","17002231","0","90002625"
"17002227","17002228","17002231","1","90002626"
"17002228","17002229","17002231","0","90002627"
"17002229","17002230","17002231","0","90002628"
"17002230","17002231","17002231","0","90002629"
"17002231","0","17002231","0","90002630"
"17002232","0","17002231","0","90002631"
"17002233","17002234","17002235","0","90002632"
"17002234","17002235","17002235","1","90002633"
"17002235","0","17002235","0","90002634"
"17002236","17002237","17002239","1","90002635"
"17002237","17002238","17002239","0","90002636"
"17002238","17002239","17002239","1","90002637"
"17002239","0","17002239","0","90002638"
"17002240","17002241","17002241","0","90002639"
"17002241","0","17002241","1","90002640"
"17002242","0","17002241","0","90002641"
