"AttributeId","Type","Pos","PosType","ItemId"
"155000001","1","0","1","91291003"
"155000002","1","1","2","31090165"
"155000003","1","2","2","31090166"
"155000004","1","3","2","31090167"
"155000005","1","4","3","91291004"
"155000006","1","5","2","31090165"
"155000007","1","6","2","31090166"
"155000008","1","7","2","31090165"
"155000009","1","8","2","31090165"
"155000010","1","9","2","31090166"
"155000011","1","10","2","31090167"
"155000012","1","11","2","31090165"
"155000013","1","12","2","31090166"
"155000014","1","13","2","31090165"
"155000015","1","14","2","31090165"
"155000016","1","15","2","31090165"
"155000017","1","16","2","31090167"
"155000018","1","17","3","91291004"
"155000019","1","18","2","31090166"
"155000020","1","19","2","31090165"
"155000021","1","20","2","31090166"
"155000022","1","21","2","31090165"
"155000023","1","22","2","31090166"
"155000024","1","23","2","31090165"
"155000025","1","24","2","31090165"
"155000026","1","25","2","31090167"
"155000027","1","26","2","31090165"
"155000028","1","27","2","31090166"
"155000029","2","1","","31000100"
"155000030","2","2","","31000170"
"155000031","2","3","","31020056"
"155000032","2","4","","31020055"
"155000033","2","5","","31020054"
"155000034","3","0","","31090528"
