"AttributeId","RightAnswer","Region","SeasonNum","Level","NormalRewardArray","SpecialRewardArray","exp","BigRewardTag"
"159000001","90111000","0","1","1","(31041033,2)","(31000178,5)","100","1"
"159000002","","0","1","2","(31020004,10)","(31020003,10)","200","0"
"159000003","","0","1","3","(0)","(31020002,5)","300","-1"
"159000004","","0","1","4","(31010176,300)","(31010043,5)","400","0"
"159000005","","0","1","5","(31010177,1)","(31020008,10)","500","0"
"159000006","","0","1","6","(0)","(31000028,10)","600","-1"
"159000007","","0","1","7","(31010176,300)","(31000004,2)","700","0"
"159000008","","0","1","8","(0)","(31000040,20)","800","-1"
"159000009","","0","1","9","(31020061,2)","(31010107,10)","900","0"
"159000010","","0","1","10","(31059001,2)","(31000063,1)","1000","1"
"159000011","","0","1","11","(0)","(31010044,4)","1100","-1"
"159000012","","0","1","12","(31000040,10)","(31000029,5)","1200","0"
"159000013","","0","1","13","(0)","(31000086,10)","1300","-1"
"159000014","","0","1","14","(31140140,1)","(31000105,10)","1400","0"
"159000015","","0","1","15","(0)","(31020061,2)","1500","-1"
"159000016","","0","1","16","(31010176,300)","(31000005,2)","1600","0"
"159000017","","0","1","17","(31020003,3)","(31000012,1)","1700","0"
"159000018","","0","1","18","(31010043,5)","(31000027,5)","1800","0"
"159000019","","0","1","19","(0)","(31000094,2)","1900","-1"
"159000020","","0","1","20","(31102206,2)","(31010176,500)","2000","1"
"159000021","","0","1","21","(31000029,2)","(31000099,10)","2100","0"
"159000022","","0","1","22","(0)","(31059001,2)","2200","-1"
"159000023","","0","1","23","(31010176,300)","(31020061,3)","2300","0"
"159000024","","0","1","24","(31000105,10)","(31000105,10)","2400","0"
"159000025","","0","1","25","(0)","(31020001,10)","2500","-1"
"159000026","","0","1","26","(31110101,5)","(31010043,10)","2600","0"
"159000027","","0","1","27","(0)","(31000106,5)","2700","-1"
"159000028","","0","1","28","(31010176,300)","(31020056,2)","2800","0"
"159000029","","0","1","29","(0)","(31000095,2)","2900","-1"
"159000030","","0","1","30","(31130339,1)","(31000178,5)","3000","1"
"159000031","","0","1","31","(0)","(31000012,1)","3100","-1"
"159000032","","0","1","32","(31110001,5)","(31000096,1)","3200","0"
"159000033","","0","1","33","(31010043,5)","(31000030,2)","3300","0"
"159000034","","0","1","34","(0)","(31000112,1)","3400","-1"
"159000035","","0","1","35","(31010176,600)","(31000099,10)","3500","0"
"159000036","","0","1","36","(31020008,10)","(31130337,2)","3600","0"
"159000037","","0","1","37","(0)","(31000099,10)","3700","-1"
"159000038","","0","1","38","(31020061,4)","(31000031,2)","3800","0"
"159000039","","0","1","39","(0)","(31000178,2)","3900","-1"
"159000040","","0","1","40","(31010044,2)","(31010176,500)","4000","1"
"159000041","","0","1","41","(0)","(31020005,4)","4100","-1"
"159000042","","0","1","42","(31000099,10)","(31020008,10)","4200","0"
"159000043","","0","1","43","(0)","(31010044,2)","4300","-1"
"159000044","","0","1","44","(31010176,600)","(31061003,1)","4400","0"
"159000045","","0","1","45","(0)","(31000029,5)","4500","-1"
"159000046","","0","1","46","(31000012,1)","(31000112,1)","4600","0"
"159000047","","0","1","47","(0)","(31000099,10)","4700","-1"
"159000048","","0","1","48","(31000028,10)","(31020061,4)","4800","0"
"159000049","","0","1","49","(0)","(31020008,10)","4900","-1"
"159000050","","0","1","50","(31102246,1)","(31000063,1)","5000","1"
"159000051","","0","1","51","(0)","(31010043,10)","5100","-1"
"159000052","","0","1","52","(0)","(31140132,10)","5200","-1"
"159000053","","0","1","53","(31000029,5)","(31000037,2)","5300","0"
"159000054","","0","1","54","(31010176,600)","(31000033,2)","5400","0"
"159000055","","0","1","55","(0)","(31020005,2)","5500","-1"
"159000056","","0","1","56","(31061003,2)","(31010107,10)","5600","0"
"159000057","","0","1","57","(0)","(31000032,2)","5700","-1"
"159000058","","0","1","58","(31000105,5)","(31020001,10)","5800","0"
"159000059","","0","1","59","(0)","(31010044,4)","5900","-1"
"159000060","","0","1","60","(31130463,1)","(31010176,500)","6000","1"
"159000061","","0","1","61","(0)","(31020061,4)","6100","-1"
"159000062","","0","1","62","(31020061,3)","(31000031,2)","6200","0"
"159000063","","0","1","63","(0)","(31000012,1)","6300","-1"
