"AttributeId","quality_level","AttType","MaxUpgradeLevel","BasicAtt","UpgradeAttEach","UpgradeId","BuffIdArray","ItemTemplateId","MergeId","MergeCost","Type","UnlockLevel","UnlockCost","UpgradeLevel"
"53000001","0","0","0","0","0","54099991","()","31061001","","","0","","",""
"53000002","0","0","0","0","0","54099992","()","31061002","","","0","","",""
"53000003","0","0","0","0","0","54099993","()","31061003","","","0","","",""
"53000004","0","0","0","0","0","54099994","()","31061004","","","0","","",""
"53000005","0","0","0","0","0","54099995","()","31061005","","","0","","",""
"53000006","0","0","19","0","0","54100001","()","31061022","","","0","30","(31061027,1)",""
"53000007","0","0","9","0","0","54101001","()","31061023","","","1","100","(31061028,1)","5"
"53000008","0","0","9","0","0","54102001","()","31061024","","","2","300","(31061029,1)",""
"53000009","0","0","9","0","0","54103001","","31061025","","","3","800","(31061030,1)","10"
"53010001","1","1","99","(4,27,0.05,0,1)","(4,27,0.005,0,1)","54010001","","31060002","","","0","","",""
"53010002","1","2","99","(4,28,0.05,0,1)","(4,28,0.005,0,1)","54010001","","31060003","","","0","","",""
"53010003","1","3","99","(4,29,0.05,0,1)","(4,29,0.005,0,1)","54010001","","31060004","","","0","","",""
"53010004","1","4","99","(4,30,0.05,0,1)","(4,30,0.005,0,1)","54010001","","31060005","","","0","","",""
"53010005","1","5","99","(4,13,0.05,0,1)","(4,13,0.005,0,1)","54010001","","31060006","","","0","","",""
"53010006","1","6","99","(4,14,0.05,0,1)","(4,14,0.005,0,1)","54010001","","31060007","","","0","","",""
"53010007","1","7","99","(4,43,0.05,0,1)","(4,43,0.005,0,1)","54010001","","31060008","","","0","","",""
"53010008","1","8","99","(4,44,0.05,0,1)","(4,44,0.005,0,1)","54010001","","31060009","","","0","","",""
"53010101","2","1","99","(4,27,0.06,0,1)","(4,27,0.006,0,1)","54020001","","31060102","","","0","","",""
"53010102","2","2","99","(4,28,0.06,0,1)","(4,28,0.006,0,1)","54020001","","31060103","","","0","","",""
"53010103","2","3","99","(4,29,0.06,0,1)","(4,29,0.006,0,1)","54020001","","31060104","","","0","","",""
"53010104","2","4","99","(4,30,0.06,0,1)","(4,30,0.006,0,1)","54020001","","31060105","","","0","","",""
"53010105","2","5","99","(4,13,0.06,0,1)","(4,13,0.006,0,1)","54020001","","31060106","","","0","","",""
"53010106","2","6","99","(4,14,0.06,0,1)","(4,14,0.006,0,1)","54020001","","31060107","","","0","","",""
"53010107","2","7","99","(4,43,0.06,0,1)","(4,43,0.006,0,1)","54020001","","31060108","","","0","","",""
"53010108","2","8","99","(4,44,0.06,0,1)","(4,44,0.006,0,1)","54020001","","31060109","","","0","","",""
"53010201","3","1","99","(4,27,0.07,0,1)","(4,27,0.007,0,1)","54030001","","31060202","","","0","","",""
"53010202","3","2","99","(4,28,0.07,0,1)","(4,28,0.007,0,1)","54030001","","31060203","","","0","","",""
"53010203","3","3","99","(4,29,0.07,0,1)","(4,29,0.007,0,1)","54030001","","31060204","","","0","","",""
"53010204","3","4","99","(4,30,0.07,0,1)","(4,30,0.007,0,1)","54030001","","31060205","","","0","","",""
"53010205","3","5","99","(4,13,0.07,0,1)","(4,13,0.007,0,1)","54030001","","31060206","","","0","","",""
"53010206","3","6","99","(4,14,0.07,0,1)","(4,14,0.007,0,1)","54030001","","31060207","","","0","","",""
"53010207","3","7","99","(4,43,0.07,0,1)","(4,43,0.007,0,1)","54030001","","31060208","","","0","","",""
"53010208","3","8","99","(4,44,0.07,0,1)","(4,44,0.007,0,1)","54030001","","31060209","","","0","","",""
"53010301","4","1","99","(4,27,0.09,0,1)","(4,27,0.009,0,1)","54040001","","31060302","","","0","","",""
"53010302","4","2","99","(4,28,0.09,0,1)","(4,28,0.009,0,1)","54040001","","31060303","","","0","","",""
"53010303","4","3","99","(4,29,0.09,0,1)","(4,29,0.009,0,1)","54040001","","31060304","","","0","","",""
"53010304","4","4","99","(4,30,0.09,0,1)","(4,30,0.009,0,1)","54040001","","31060305","","","0","","",""
"53010305","4","5","99","(4,13,0.09,0,1)","(4,13,0.009,0,1)","54040001","","31060306","","","0","","",""
"53010306","4","6","99","(4,14,0.09,0,1)","(4,14,0.009,0,1)","54040001","","31060307","","","0","","",""
"53010307","4","7","99","(4,43,0.09,0,1)","(4,43,0.009,0,1)","54040001","","31060308","","","0","","",""
"53010308","4","8","99","(4,44,0.09,0,1)","(4,44,0.009,0,1)","54040001","","31060309","","","0","","",""
"53010401","5","1","99","(4,27,0.12,0,1)","(4,27,0.012,0,1)","54050001","","31060402","","","0","","",""
"53010402","5","2","99","(4,28,0.12,0,1)","(4,28,0.012,0,1)","54050001","","31060403","","","0","","",""
"53010403","5","3","99","(4,29,0.12,0,1)","(4,29,0.012,0,1)","54050001","","31060404","","","0","","",""
"53010404","5","4","99","(4,30,0.12,0,1)","(4,30,0.012,0,1)","54050001","","31060405","","","0","","",""
"53010405","5","5","99","(4,13,0.12,0,1)","(4,13,0.012,0,1)","54050001","","31060406","","","0","","",""
"53010406","5","6","99","(4,14,0.12,0,1)","(4,14,0.012,0,1)","54050001","","31060407","","","0","","",""
"53010407","5","7","99","(4,43,0.12,0,1)","(4,43,0.012,0,1)","54050001","","31060408","","","0","","",""
"53010408","5","8","99","(4,44,0.12,0,1)","(4,44,0.012,0,1)","54050001","","31060409","","","0","","",""
"53010501","6","1","99","(4,27,0.15,0,1)","(4,27,0.015,0,1)","54060001","","31060502","","","0","","",""
"53010502","6","2","99","(4,28,0.15,0,1)","(4,28,0.015,0,1)","54060001","","31060503","","","0","","",""
"53010503","6","3","99","(4,29,0.15,0,1)","(4,29,0.015,0,1)","54060001","","31060504","","","0","","",""
"53010504","6","4","99","(4,30,0.15,0,1)","(4,30,0.015,0,1)","54060001","","31060505","","","0","","",""
"53010505","6","5","99","(4,13,0.15,0,1)","(4,13,0.015,0,1)","54060001","","31060506","","","0","","",""
"53010506","6","6","99","(4,14,0.15,0,1)","(4,14,0.015,0,1)","54060001","","31060507","","","0","","",""
"53010507","6","7","99","(4,43,0.15,0,1)","(4,43,0.015,0,1)","54060001","","31060508","","","0","","",""
"53010508","6","8","99","(4,44,0.15,0,1)","(4,44,0.015,0,1)","54060001","","31060509","","","0","","",""
