"AttributeId","UpgradeCost","RecoveryReward","Notice_id","DiamondRecoveryMoney","DiamondRecoveryCost","UpgradeNeedNum"
"54010001","(10,144)","(10,45)","","","",""
"54010002","(10,148)","(10,117)","","(10,189)","(4,3)",""
"54010003","(10,154)","(10,191)","","(10,337)","(4,7)",""
"54010004","(10,164)","(10,268)","","(10,491)","(4,11)",""
"54010005","(10,176)","(10,350)","","(10,655)","(4,15)",""
"54010006","(10,192)","(10,438)","","(10,831)","(4,19)",""
"54010007","(10,212)","(10,534)","","(10,1023)","(4,24)",""
"54010008","(10,234)","(10,640)","","(10,1235)","(4,29)",""
"54010009","(10,260)","(10,757)","","(10,1469)","(4,35)",""
"54010010","(10,288)","(10,887)","","(10,1729)","(4,42)",""
"54010011","(10,320)","(10,1031)","","(10,2017)","(4,49)",""
"54010012","(10,356)","(10,1191)","","(10,2337)","(4,57)",""
"54010013","(10,394)","(10,1369)","","(10,2693)","(4,66)",""
"54010014","(10,436)","(10,1566)","","(10,3087)","(4,76)",""
"54010015","(10,480)","(10,1784)","","(10,3523)","(4,86)",""
"54010016","(10,528)","(10,2024)","","(10,4003)","(4,98)",""
"54010017","(10,580)","(10,2288)","","(10,4531)","(4,112)",""
"54010018","(10,634)","(10,2578)","","(10,5111)","(4,126)",""
"54010019","(10,692)","(10,2895)","93000163","(10,5745)","(4,142)",""
"54010020","(10,752)","(10,3241)","","(10,6437)","(4,159)",""
"54010021","(10,816)","(10,3617)","","(10,7189)","(4,178)",""
"54010022","(10,884)","(10,4025)","","(10,8005)","(4,198)",""
"54010023","(10,954)","(10,4467)","","(10,8889)","(4,221)",""
"54010024","(10,1028)","(10,4944)","","(10,9843)","(4,244)",""
"54010025","(10,1104)","(10,5458)","","(10,10871)","(4,270)",""
"54010026","(10,1184)","(10,6010)","","(10,11975)","(4,298)",""
"54010027","(10,1268)","(10,6602)","","(10,13159)","(4,327)",""
"54010028","(10,1354)","(10,7236)","","(10,14427)","(4,359)",""
"54010029","(10,1444)","(10,7913)","93000163","(10,15781)","(4,393)",""
"54010030","(10,1536)","(10,8635)","","(10,17225)","(4,429)",""
"54010031","(10,1632)","(10,9403)","","(10,18761)","(4,467)",""
"54010032","(10,1732)","(10,10219)","","(10,20393)","(4,508)",""
"54010033","(10,1834)","(10,11085)","","(10,22125)","(4,551)",""
"54010034","(10,1940)","(10,12002)","","(10,23959)","(4,597)",""
"54010035","(10,2048)","(10,12972)","","(10,25899)","(4,646)",""
"54010036","(10,2160)","(10,13996)","","(10,27947)","(4,697)",""
