"AttributeId","TaskType","TaskText","Value","Reward"
"158100001","0","90305783","1","(31132001,200)"
"158100002","0","90305783","2","(31132001,240)"
"158100003","0","90305783","3","(31132001,300)"
"158200001","1","90305784","1","(31132001,240)"
"158200002","1","90305784","2","(31132001,300)"
"158200003","1","90305784","3","(31132001,360)"
"158300001","2","90305785","30","(31132001,200)"
"158300002","2","90305785","50","(31132001,230)"
"158300003","2","90305785","100","(31132001,300)"
"158400001","3","90305786","10","(31132001,200)"
"158400002","3","90305786","20","(31132001,250)"
"158400003","3","90305786","30","(31132001,300)"
"158500001","4","90305787","1","(31132001,200)"
"158500002","4","90305787","2","(31132001,400)"
"158600001","5","90305788","1","(31132001,200)"
"158600002","5","90305788","2","(31132001,400)"
"158700001","6","90305789","1","(31132001,400)"
