"AttributeId","Level","Type","Slot","ItemConsume","ItemGet","Describe","AttArray"
"144010101","1","1","4","(31140202,5,31140201,2)","(31140202,5,31140201,2)","90085094","(4,8,55200,0,1,4,7,13100,0,1,4,12,800,0,1)"
"144010102","2","1","4","(31140202,15,31140201,4)","(31140202,20,31140201,6)","90085094","(4,8,165600,0,1,4,7,39200,0,1,4,12,2400,0,1)"
"144010103","3","1","4","(31140202,45,31140201,6)","(31140202,65,31140201,12)","90085094","(4,8,386300,0,1,4,7,91300,0,1,4,12,5500,0,1)"
"144010104","4","1","4","(31140202,135,31140201,8)","(31140202,200,31140201,20)","90085094","(4,8,827600,0,1,4,7,195400,0,1,4,12,11700,0,1)"
"144010105","5","1","4","(31140202,405,31140201,10)","(31140202,605,31140201,30)","90085094","(4,8,1710200,0,1,4,7,403600,0,1,4,12,24100,0,1)"
"144010106","1","1","5","(31140202,5,31140201,2)","(31140202,5,31140201,2)","90085094","(4,8,47800,0,1,4,7,15400,0,1,4,10,700,0,1)"
"144010107","2","1","5","(31140202,15,31140201,4)","(31140202,20,31140201,6)","90085095","(4,8,143300,0,1,4,7,46100,0,1,4,10,2000,0,1)"
"144010108","3","1","5","(31140202,45,31140201,6)","(31140202,65,31140201,12)","90085095","(4,8,334300,0,1,4,7,107500,0,1,4,10,4500,0,1)"
"144010109","4","1","5","(31140202,135,31140201,8)","(31140202,200,31140201,20)","90085095","(4,8,716200,0,1,4,7,230200,0,1,4,10,9500,0,1)"
"144010110","5","1","5","(31140202,405,31140201,10)","(31140202,605,31140201,30)","90085095","(4,8,1479900,0,1,4,7,475500,0,1,4,10,19500,0,1)"
"144010111","1","1","1","(31140202,5,31140201,2)","(31140202,5,31140201,2)","90085095","(4,8,49700,0,1,4,7,11200,0,1,4,12,2400,0,1)"
"144010112","2","1","1","(31140202,15,31140201,4)","(31140202,20,31140201,6)","90085095","(4,8,149000,0,1,4,7,33500,0,1,4,12,7100,0,1)"
"144010113","3","1","1","(31140202,45,31140201,6)","(31140202,65,31140201,12)","90085096","(4,8,347500,0,1,4,7,78100,0,1,4,12,16400,0,1)"
"144010114","4","1","1","(31140202,135,31140201,8)","(31140202,200,31140201,20)","90085096","(4,8,744400,0,1,4,7,167300,0,1,4,12,35000,0,1)"
"144010115","5","1","1","(31140202,405,31140201,10)","(31140202,605,31140201,30)","90085096","(4,8,1538200,0,1,4,7,345700,0,1,4,12,72200,0,1)"
"144010116","1","1","8","(31140202,5,31140201,2)","(31140202,5,31140201,2)","90085096","(4,8,35700,0,1,4,7,7000,0,1,4,10,3100,0,1)"
"144010117","2","1","8","(31140202,15,31140201,4)","(31140202,20,31140201,6)","90085096","(4,8,107100,0,1,4,7,21000,0,1,4,10,9200,0,1)"
"144010118","3","1","8","(31140202,45,31140201,6)","(31140202,65,31140201,12)","90085096","(4,8,249900,0,1,4,7,48900,0,1,4,10,21300,0,1)"
"144010119","4","1","8","(31140202,135,31140201,8)","(31140202,200,31140201,20)","90085097","(4,8,535500,0,1,4,7,104700,0,1,4,10,45500,0,1)"
"144010120","5","1","8","(31140202,405,31140201,10)","(31140202,605,31140201,30)","90085097","(4,8,1106700,0,1,4,7,216200,0,1,4,10,93900,0,1)"
"144010121","1","1","7","(31140202,5,31140201,2)","(31140202,5,31140201,2)","90085097","(4,8,44100,0,1,4,9,3200,0,1,4,11,800,0,1)"
"144010122","2","1","7","(31140202,15,31140201,4)","(31140202,20,31140201,6)","90085097","(4,8,132300,0,1,4,9,9500,0,1,4,11,2300,0,1)"
"144010123","3","1","7","(31140202,45,31140201,6)","(31140202,65,31140201,12)","90085097","(4,8,308600,0,1,4,9,22100,0,1,4,11,5200,0,1)"
"144010124","4","1","7","(31140202,135,31140201,8)","(31140202,200,31140201,20)","90085097","(4,8,661100,0,1,4,9,47200,0,1,4,11,10900,0,1)"
"144010125","5","1","7","(31140202,405,31140201,10)","(31140202,605,31140201,30)","90085098","(4,8,1366100,0,1,4,9,97300,0,1,4,11,22300,0,1)"
"144010201","1","2","4","(31140203,5,31140201,2)","(31140203,5,31140201,2)","90085098","(4,8,160900,0,1,4,7,38000,0,1,4,12,2300,0,1)"
"144010202","2","2","4","(31140203,15,31140201,4)","(31140203,20,31140201,6)","90085098","(4,8,482700,0,1,4,7,113900,0,1,4,12,6900,0,1)"
"144010203","3","2","4","(31140203,45,31140201,6)","(31140203,65,31140201,12)","90085099","(4,8,1126300,0,1,4,7,265700,0,1,4,12,16000,0,1)"
"144010204","4","2","4","(31140203,135,31140201,8)","(31140203,200,31140201,20)","90085099","(4,8,2413400,0,1,4,7,569200,0,1,4,12,34100,0,1)"
"144010205","5","2","4","(31140203,405,31140201,10)","(31140203,605,31140201,30)","90085099","(4,8,4987600,0,1,4,7,1176200,0,1,4,12,70300,0,1)"
"144010206","1","2","5","(31140203,5,31140201,2)","(31140203,5,31140201,2)","90085100","(4,8,139300,0,1,4,7,44800,0,1,4,10,1900,0,1)"
"144010207","2","2","5","(31140203,15,31140201,4)","(31140203,20,31140201,6)","90085100","(4,8,417800,0,1,4,7,134300,0,1,4,10,5600,0,1)"
"144010208","3","2","5","(31140203,45,31140201,6)","(31140203,65,31140201,12)","90085100","(4,8,974700,0,1,4,7,313200,0,1,4,10,12900,0,1)"
"144010209","4","2","5","(31140203,135,31140201,8)","(31140203,200,31140201,20)","90085094","(4,8,2088400,0,1,4,7,670900,0,1,4,10,27400,0,1)"
"144010210","5","2","5","(31140203,405,31140201,10)","(31140203,605,31140201,30)","90085094","(4,8,4315800,0,1,4,7,1386300,0,1,4,10,56400,0,1)"
"144010211","1","2","1","(31140203,5,31140201,2)","(31140203,5,31140201,2)","90085094","(4,8,144700,0,1,4,7,32600,0,1,4,12,6800,0,1)"
"144010212","2","2","1","(31140203,15,31140201,4)","(31140203,20,31140201,6)","90085094","(4,8,434100,0,1,4,7,97700,0,1,4,12,20400,0,1)"
"144010213","3","2","1","(31140203,45,31140201,6)","(31140203,65,31140201,12)","90085094","(4,8,1012900,0,1,4,7,227800,0,1,4,12,47500,0,1)"
"144010214","4","2","1","(31140203,135,31140201,8)","(31140203,200,31140201,20)","90085094","(4,8,2170500,0,1,4,7,488000,0,1,4,12,101700,0,1)"
"144010215","5","2","1","(31140203,405,31140201,10)","(31140203,605,31140201,30)","90085095","(4,8,4485700,0,1,4,7,1008300,0,1,4,12,210100,0,1)"
"144010216","1","2","8","(31140203,5,31140201,2)","(31140203,5,31140201,2)","90085095","(4,8,104200,0,1,4,7,20400,0,1,4,10,8900,0,1)"
"144010217","2","2","8","(31140203,15,31140201,4)","(31140203,20,31140201,6)","90085095","(4,8,312500,0,1,4,7,61100,0,1,4,10,26600,0,1)"
