"AttributeId","ResourceID","EquipNameID","GetEquipStrIDArr"
"22000001","","",""
"22000002","91200042","90091262","(90091256,90091257,90091258)"
"22000003","91200043","90091263","(90091256,90091257,90091258)"
"22000004","91200044","90091264","(90091256,90091257,90091258)"
"22000005","91200045","90091265","(90091256,90091257,90091258)"
"22000006","91200046","90091266","(90091256,90091257,90091258)"
"22000007","91200047","90091267","(90091256,90091257,90091258)"
"22000008","91200048","90091268","(90091256,90091257,90091258)"
"22000009","91200049","90091269","(90091256,90091257,90091258)"
"22000010","91200050","90091270","(90091256,90091257,90091258)"
"22000011","91200051","90091271","(90091261)"
"22000012","91200110","90091272","(90091260)"
"22000013","91200110","90091272","(90091260)"
"22000014","","90091273",""
"22000015","","90091274",""
"22000016","91200054","90091275","(90091259)"
"22000017","","90096811",""
"22000018","","90096812",""
"22000019","91290608","90096810","(90200769)"
