"AttributeId","EquipSlot","AttArray","MeshID","BuffIdArray","FeaturesDes","UpgradeMaterial","upgrade_num","GradeLimit","RegionArr","NeedFasionId"
"64000000","2","0","1","","(90016036,90016037,90016038)","(31101063,1)","20","0","",""
"64000001","2","(4,8,6000,0,1,4,7,1500,0,1,4,24,0.06,0,1,4,26,0.03,0,1)","","","(90016036,90016037,90016038)","(31101063,1)","20","0","",""
"64000002","2","(4,8,12000,0,1,4,7,3000,0,1,4,24,0.12,0,1,4,26,0.06,0,1)","","","(90016036,90016037,90016038)","(31101063,1)","20","0","",""
"64000003","2","(4,8,18000,0,1,4,7,4500,0,1,4,24,0.18,0,1,4,26,0.09,0,1)","","","(90016036,90016037,90016038)","(31101063,1)","20","0","",""
"64000004","2","(4,8,24000,0,1,4,7,6000,0,1,4,24,0.24,0,1,4,26,0.12,0,1)","","","(90016036,90016037,90016038)","(31101063,1)","20","0","",""
"64000005","2","(4,8,30000,0,1,4,7,7500,0,1,4,24,0.3,0,1,4,26,0.15,0,1)","","","(90016036,90016037,90016038)","(31101063,1)","20","4","",""
"64000006","2","(4,8,36000,0,1,4,7,9000,0,1,4,24,0.36,0,1,4,26,0.18,0,1)","","","(90016036,90016037,90016038)","(31101063,2)","20","4","",""
"64000007","2","(4,8,48000,0,1,4,7,12000,0,1,4,24,0.48,0,1,4,26,0.24,0,1)","","","(90016036,90016037,90016038)","(31101063,3)","20","4","",""
"64000008","2","(4,8,66000,0,1,4,7,16500,0,1,4,24,0.66,0,1,4,26,0.33,0,1)","","","(90016036,90016037,90016038)","(31101063,4)","20","4","",""
"64000009","2","(4,8,90000,0,1,4,7,22500,0,1,4,24,0.9,0,1,4,26,0.45,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000010","2","(4,8,120000,0,1,4,7,30000,0,1,4,24,1.2,0,1,4,26,0.6,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000011","2","(4,8,150000,0,1,4,7,37500,0,1,4,24,1.5,0,1,4,26,0.75,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000012","2","(4,8,180000,0,1,4,7,45000,0,1,4,24,1.8,0,1,4,26,0.9,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000013","2","(4,8,210000,0,1,4,7,52500,0,1,4,24,2.1,0,1,4,26,1.05,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000014","2","(4,8,240000,0,1,4,7,60000,0,1,4,24,2.4,0,1,4,26,1.2,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000015","2","(4,8,270000,0,1,4,7,67500,0,1,4,24,2.7,0,1,4,26,1.35,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000016","2","(4,8,300000,0,1,4,7,75000,0,1,4,24,3,0,1,4,26,1.5,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000017","2","(4,8,330000,0,1,4,7,82500,0,1,4,24,3.3,0,1,4,26,1.65,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000018","2","(4,8,360000,0,1,4,7,90000,0,1,4,24,3.6,0,1,4,26,1.8,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000019","2","(4,8,390000,0,1,4,7,97500,0,1,4,24,3.9,0,1,4,26,1.95,0,1)","","","(90016036,90016037,90016038)","(31101063,5)","20","4","",""
"64000020","2","(4,8,420000,0,1,4,7,105000,0,1,4,24,4.2,0,1,4,26,2.1,0,1)","","","(90016036,90016037,90016038)","0","20","4","",""
"64000100","1","0","1","","(90016039,90016040)","(31101064,1)","20","0","",""
"64000101","1","(4,5,600,0,1,4,6,720,0,1,4,23,0.06,0,1,4,25,0.03,0,1)","","","(90016039,90016040)","(31101064,1)","20","0","",""
"64000102","1","(4,5,1200,0,1,4,6,1440,0,1,4,23,0.12,0,1,4,25,0.06,0,1)","","","(90016039,90016040)","(31101064,1)","20","0","",""
"64000103","1","(4,5,1800,0,1,4,6,2160,0,1,4,23,0.18,0,1,4,25,0.09,0,1)","","","(90016039,90016040)","(31101064,1)","20","0","",""
"64000104","1","(4,5,2400,0,1,4,6,2880,0,1,4,23,0.24,0,1,4,25,0.12,0,1)","","","(90016039,90016040)","(31101064,1)","20","0","",""
"64000105","1","(4,5,3000,0,1,4,6,3600,0,1,4,23,0.3,0,1,4,25,0.15,0,1)","","","(90016039,90016040)","(31101064,1)","20","4","",""
"64000106","1","(4,5,3600,0,1,4,6,4320,0,1,4,23,0.36,0,1,4,25,0.18,0,1)","","","(90016039,90016040)","(31101064,2)","20","4","",""
"64000107","1","(4,5,4800,0,1,4,6,5760,0,1,4,23,0.48,0,1,4,25,0.24,0,1)","","","(90016039,90016040)","(31101064,3)","20","4","",""
