"AttributeId","NameStringId","UpgradeMax","AddStarMax","UpgradeNow","AddStarNow","AttArray","AddStarMatirialId","StarShopId","AddStarMatirialNum","AddStarMoneyList","UpgradeMatirialId","UpgradeShopId","UpgradeMatirialNum","UpgradeMoneyList","ExhibitionNpcId","ExhibitionBuffArray","UnlockMaterialId","UnlockMaterialNum","SkillID","EventCondition","BuffArray","PurenessBasicAtt"
"45010001","90020233","20","10","1","0","(4,8,6600,0,1,4,7,2760,0,1,4,9,580,0,1,4,12,410,0,1,4,43,410,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","31000176","2","26020170","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010002","90020233","20","10","1","1","(4,8,7040,0,1,4,7,2950,0,1,4,9,620,0,1,4,12,440,0,1,4,43,440,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010003","90020233","20","10","1","2","(4,8,7480,0,1,4,7,3140,0,1,4,9,660,0,1,4,12,470,0,1,4,43,470,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010004","90020233","20","10","1","3","(4,8,7920,0,1,4,7,3330,0,1,4,9,700,0,1,4,12,500,0,1,4,43,500,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010005","90020233","20","10","1","4","(4,8,8360,0,1,4,7,3520,0,1,4,9,740,0,1,4,12,530,0,1,4,43,530,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010006","90020233","20","10","1","5","(4,8,8800,0,1,4,7,3710,0,1,4,9,780,0,1,4,12,560,0,1,4,43,560,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010007","90020233","20","10","1","6","(4,8,9240,0,1,4,7,3900,0,1,4,9,820,0,1,4,12,590,0,1,4,43,590,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010008","90020233","20","10","1","7","(4,8,9680,0,1,4,7,4090,0,1,4,9,860,0,1,4,12,620,0,1,4,43,620,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010009","90020233","20","10","1","8","(4,8,10120,0,1,4,7,4280,0,1,4,9,900,0,1,4,12,650,0,1,4,43,650,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010010","90020233","20","10","1","9","(4,8,10560,0,1,4,7,4470,0,1,4,9,940,0,1,4,12,680,0,1,4,43,680,0,1)","31000178","0","2","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
"45010011","90020233","20","10","1","10","(4,8,11000,0,1,4,7,4660,0,1,4,9,980,0,1,4,12,710,0,1,4,43,710,0,1)","0","0","","0","31000176","0","4","0","76980304","(10990018,10990045)","","","","(2,10,10,0,0,0,0,0,0,0)","(10280055)","(3,43,5000,0,1)"
