"AttributeId","FuncName","FuncShowName","Icon","Description","DetailIcon","ItemAwardArr","IsPreview","IsSpecialLogic","UnlockNeedMissionID","UnlockNeedLevel","IsNeedCrossServer","UnlockNeedGuideID","NeedOpenServerDays","PrecondFuncUnlock","Activate","ExhibitionNpcIdArray","ExhibitionNpcBuffArray","NewExhibitionNpcIdArray","TitleDescribeId","JumpToWidget","ShieldRegion"
"117000001","Arena","90069501","91232423","90069217","","(31010045,3)","1","0","15000729","","","","","","","(0,0,0,0,0,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463,76980463)","(10990018)","(0,0,0,76980477,76980478,0,76980477,76980478,0,76980477,76980478,0,76980477,76980478,0)","","",""
"117000002","Activity","90069502","91232425","90069218","","","0","0","15000596","","","","","","","(0,0,0,0,0,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341,76980341)","(10990018)","","","",""
"117000003","BossActivity","90069503","91232462","90069219","","","0","0","15000642","","","","","Activity","","","","","","",""
"117000004","GoldActivity","90069504","91232470","90069220","","","0","0","15000715","","","","","Activity","","","","","","",""
"117000005","DailyActivity","","","","","","0","0","15000715","","","","","Activity","","","","","","",""
"117000006","VIPActivityPanel","90069505","91232462","90069221","","","0","0","","999","","","","Activity","","","","","","",""
"117000007","BattlefieldActivity","90069506","91232468","90069222","91232694","(31000090,1)","1","0","15000911","","","","","Activity","","(0,0,0,0,0,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464,76980464)","(10990018)","","90040916","",""
"117000008","CrystalActivity","90069507","91232462","90069607","","","0","0","15000683","","","","","Activity","","","","","","",""
"117000009","SpecialActivity","90069508","91232462","90069224","","","0","0","","999","","","","Activity","","","","","","",""
"117000010","BaoWuActivity","","","","","","0","","15000692","","","","","Activity","","","","","","",""
"117000011","Raid","90069509","91232471","90069225","","","0","0","15000637","","","","","","","","","","","",""
"117000012","DramaRaid","90069510","91232429","90069226","","(31010060,5)","1","0","15000637","","","","","Raid","","","","(0,0,0,76980382,0,0,76980382,0,0,76980382,0,0,76980382,0,0)","","",""
"117000013","DailyRaid","90069511","91232469","90069227","","","0","0","15000688","","","","","Raid","","","","","","",""
"117000014","ExpDailyRaid","90069549","91232460","90069550","","(31000094,1)","1","0","15000698","","","","","DailyRaid","","","","(0,0,0,76980730,76980728,0,76980731,76980728,0,76980732,76980728,0,76980733,76980728,0)","","",""
"117000015","MoneyDailyRaid","90069551","91232461","90069552","","(31010004,3)","1","0","15000783","","","","","DailyRaid","","","","(0,0,0,76980734,76980729,0,76980735,76980729,0,76980736,76980729,0,76980737,76980729,0)","","",""
"117000016","MultiPlayerRaid","90069555","91232434","90069556","91232694","(31020004,5)","1","0","15000688","","","","","Raid","","(0,0,0,0,0,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334,76980334)","(10990018)","","90040281","",""
"117000017","MultiPlayerRaid2","90069557","91232434","90069558","","","0","","15000722","","","","","","","(0,0,0,0,0,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347,76980347)","(10990018)","","","",""
"117000018","MultiPlayerRaid3","90069559","91232434","90069560","","","0","","15000966","999","","","","","","(0,0,0,0,0,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354,76980354)","(10990018)","","","",""
"117000019","SkyRaid","90069553","91232471","90069554","91232694","(31000029,2)","1","","15000772","","","","","Raid","","(0,0,0,0,0,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339,76980339)","(10990018)","","90040290","",""
"117000020","DemonsTowerRaid","90069513","91232459","90069229","","","0","0","15000799","","","","","Raid","","","","","","",""
"117000021","MPStrongWay","90069515","91232416","90069231","","","0","0","15000651","","","","","","","","","","","",""
"117000022","DailyMustDo","90069516","91232417","90069232","","","0","0","15000637","","","","","","","","","","","",""
"117000023","Skill","","","","","","0","0","","1","","","","","","","","","","",""
"117000024","CommonSkill","","","","","","0","0","","1","","","","Skill","(1,13010001,13020001,13030001,13040001)","","","","","",""
"117000025","ActiveSkill1","90069517","","90069233","","","0","0","15000602","","","","","Skill","(1,13011001,13024001,13031001,13041001)","","","","","",""
"117000026","ActiveSkill2","90069518","","90069234","","","0","0","","11","","","","Skill","(1,13013001,13029001,13033001,13042001)","","","","","",""
