"AttributeId","ItemType","MaxUpgradeLevel","BasicAtt","UpgradeAttEach","UpgradeId","ItemTemplateId","StarBuffId","Way","ChangeLevel","StarBuffIdShow"
"68000001","31040048","189","(4,5,31667,0,1,4,6,38000,0,1)","(4,5,7917,0,1,4,6,9500,0,1)","69024001","31130445","","","(1,200,10)","(90077932,90077933,91290478)"
"68000002","31040047","189","(4,8,500000,0,1,4,11,6667,0,1)","(4,8,125000,0,1,4,11,1667,0,1)","69025001","31130446","","","(1,200,10)","(90077932,90077934,91290479)"
"68000003","31040045","189","(4,7,100000,0,1,4,12,6667,0,1)","(4,7,25000,0,1,4,12,1667,0,1)","69022001","31130447","","","(1,200,10)","(90077932,90077935,91290480)"
"68000004","31040046","189","(4,9,13334,0,1,4,10,13334,0,1)","(4,9,3334,0,1,4,10,3334,0,1)","69023001","31130448","","","(1,200,10)","(90077932,90077936,91290481)"
"68010001","31040048","189","(4,5,6334,0,1,4,6,7600,0,1)","(4,5,1584,0,1,4,6,1900,0,1)","69012001","31130449","(1,10,10020253,11,20,10020265,21,30,10020266,31,40,10020267,41,50,10020268,51,60,10020269,61,70,10020270,71,80,10020271,81,90,10020272,91,200,10020273)","","","(90077800,90077812,91290456,90077800,90077824,91290456,90077800,90077825,91290456,90077800,90077826,91290456,90077800,90077827,91290456,90077800,90077828,91290456,90077800,90077829,91290456,90077800,90077830,91290456,90077800,90077831,91290456,90077800,90077832,91290456)"
"68010002","31040047","189","(4,8,100000,0,1,4,11,1334,0,1)","(4,8,25000,0,1,4,11,334,0,1)","69013001","31130452","(1,10,10070081,11,20,10070082,21,30,10070083,31,40,10070084,41,50,10070085,51,60,10070086,61,70,10070087,71,80,10070088,81,90,10070089,91,200,10070090)","","","(90077801,90077813,91290457,90077801,90077833,91290457,90077801,90077834,91290457,90077801,90077835,91290457,90077801,90077836,91290457,90077801,90077837,91290457,90077801,90077838,91290457,90077801,90077839,91290457,90077801,90077840,91290457,90077801,90077841,91290457)"
"68010003","31040045","189","(4,7,20000,0,1,4,12,1334,0,1)","(4,7,5000,0,1,4,12,334,0,1)","69010001","31130455","(1,10,10020254,11,20,10020274,21,30,10020275,31,40,10020276,41,50,10020277,51,60,10020278,61,70,10020279,71,80,10020280,81,90,10020281,91,200,10020282)","","","(90077802,90077814,91290458,90077802,90077842,91290458,90077802,90077843,91290458,90077802,90077844,91290458,90077802,90077845,91290458,90077802,90077846,91290458,90077802,90077847,91290458,90077802,90077848,91290458,90077802,90077849,91290458,90077802,90077850,91290458)"
"68010004","31040046","189","(4,9,2667,0,1,4,10,2667,0,1)","(4,9,667,0,1,4,10,667,0,1)","69011001","31130458","(1,10,10020255,11,20,10020283,21,30,10020284,31,40,10020285,41,50,10020286,51,60,10020287,61,70,10020288,71,80,10020289,81,90,10020290,91,200,10020291)","","","(90077803,90077815,91290459,90077803,90077851,91290459,90077803,90077852,91290459,90077803,90077853,91290459,90077803,90077854,91290459,90077803,90077855,91290459,90077803,90077856,91290459,90077803,90077857,91290459,90077803,90077858,91290459,90077803,90077859,91290459)"
"68020001","31040048","189","(4,5,9500,0,1,4,6,11400,0,1)","(4,5,2375,0,1,4,6,2850,0,1)","69016001","31130450","(1,10,10020256,11,20,10020292,21,30,10020293,31,40,10020294,41,50,10020295,51,60,10020296,61,70,10020297,71,80,10020298,81,90,10020299,91,200,10020300)","","","(90077804,90077816,91290460,90077804,90077860,91290460,90077804,90077861,91290460,90077804,90077862,91290460,90077804,90077863,91290460,90077804,90077864,91290460,90077804,90077865,91290460,90077804,90077866,91290460,90077804,90077867,91290460,90077804,90077868,91290460)"
"68020002","31040047","189","(4,8,150000,0,1,4,11,2000,0,1)","(4,8,37500,0,1,4,11,500,0,1)","69017001","31130453","(1,10,10020257,11,20,10020301,21,30,10020302,31,40,10020303,41,50,10020304,51,60,10020305,61,70,10020306,71,80,10020307,81,90,10020308,91,200,10020309)","","","(90077805,90077817,91290461,90077805,90077869,91290461,90077805,90077870,91290461,90077805,90077871,91290461,90077805,90077872,91290461,90077805,90077873,91290461,90077805,90077874,91290461,90077805,90077875,91290461,90077805,90077876,91290461,90077805,90077877,91290461)"
