"AttributeId","UpgradeCost","RecoveryReward","DiamondRecoveryMoney","DiamondRecoveryCost"
"69010001","(26,1200)","(26,4800)","",""
"69010002","(26,1260)","(26,4800)","(26,6000)","(4,3)"
"69010003","(26,1320)","(26,5808)","(26,7260)","(4,5)"
"69010004","(26,1380)","(26,6864)","(26,8580)","(4,7)"
"69010005","(26,1440)","(26,7968)","(26,9960)","(4,10)"
"69010006","(26,1500)","(26,9120)","(26,11400)","(4,14)"
"69010007","(26,1560)","(26,10320)","(26,12900)","(4,19)"
"69010008","(26,1620)","(26,11568)","(26,14460)","(4,24)"
"69010009","(26,1680)","(26,12864)","(26,16080)","(4,29)"
"69010010","(26,1740)","(26,14208)","(26,17760)","(4,36)"
"69010011","(26,1800)","(26,15600)","(26,19500)","(4,43)"
"69010012","(26,1860)","(26,17040)","(26,21300)","(4,52)"
"69010013","(26,1920)","(26,18528)","(26,23160)","(4,61)"
"69010014","(26,1980)","(26,20064)","(26,25080)","(4,71)"
"69010015","(26,2040)","(26,21648)","(26,27060)","(4,82)"
"69010016","(26,2100)","(26,23280)","(26,29100)","(4,94)"
"69010017","(26,2160)","(26,24960)","(26,31200)","(4,107)"
"69010018","(26,2220)","(26,26688)","(26,33360)","(4,121)"
"69010019","(26,2280)","(26,28464)","(26,35580)","(4,136)"
"69010020","(26,2340)","(26,30288)","(26,37860)","(4,152)"
"69010021","(26,2400)","(26,32160)","(26,40200)","(4,169)"
"69010022","(26,2460)","(26,34080)","(26,42600)","(4,188)"
"69010023","(26,2520)","(26,36048)","(26,45060)","(4,208)"
"69010024","(26,2580)","(26,38064)","(26,47580)","(4,229)"
"69010025","(26,2640)","(26,40128)","(26,50160)","(4,251)"
"69010026","(26,2700)","(26,42240)","(26,52800)","(4,275)"
"69010027","(26,2760)","(26,44400)","(26,55500)","(4,300)"
"69010028","(26,2820)","(26,46608)","(26,58260)","(4,327)"
"69010029","(26,2880)","(26,48864)","(26,61080)","(4,355)"
"69010030","(26,2940)","(26,51168)","(26,63960)","(4,384)"
"69010031","(26,3000)","(26,53520)","(26,66900)","(4,415)"
"69010032","(26,3060)","(26,55920)","(26,69900)","(4,448)"
"69010033","(26,3120)","(26,58368)","(26,72960)","(4,482)"
"69010034","(26,3180)","(26,60864)","(26,76080)","(4,518)"
"69010035","(26,3240)","(26,63408)","(26,79260)","(4,555)"
"69010036","(26,3300)","(26,66000)","(26,82500)","(4,594)"
"69010037","(26,3360)","(26,68640)","(26,85800)","(4,635)"
"69010038","(26,3420)","(26,71328)","(26,89160)","(4,678)"
"69010039","(26,3480)","(26,74064)","(26,92580)","(4,723)"
"69010040","(26,3540)","(26,76848)","(26,96060)","(4,769)"
"69010041","(26,3600)","(26,79680)","(26,99600)","(4,817)"
"69010042","(26,3660)","(26,82560)","(26,103200)","(4,867)"
"69010043","(26,3720)","(26,85488)","(26,106860)","(4,919)"
"69010044","(26,3780)","(26,88464)","(26,110580)","(4,974)"
"69010045","(26,3840)","(26,91488)","(26,114360)","(4,1030)"
"69010046","(26,3900)","(26,94560)","(26,118200)","(4,1088)"
"69010047","(26,3960)","(26,97680)","(26,122100)","(4,1148)"
"69010048","(26,4020)","(26,100848)","(26,126060)","(4,1211)"
"69010049","(26,4080)","(26,104064)","(26,130080)","(4,1275)"
"69010050","(26,4140)","(26,107328)","(26,134160)","(4,1342)"
"69010051","(26,4200)","(26,110640)","(26,138300)","(4,1411)"
"69010052","(26,4260)","(26,114000)","(26,142500)","(4,1482)"
"69010053","(26,4320)","(26,117408)","(26,146760)","(4,1556)"
"69010054","(26,4380)","(26,120864)","(26,151080)","(4,1632)"
"69010055","(26,4440)","(26,124368)","(26,155460)","(4,1711)"
"69010056","(26,4500)","(26,127920)","(26,159900)","(4,1791)"
"69010057","(26,4560)","(26,131520)","(26,164400)","(4,1875)"
"69010058","(26,4620)","(26,135168)","(26,168960)","(4,1960)"
"69010059","(26,4680)","(26,138864)","(26,173580)","(4,2049)"
"69010060","(26,4740)","(26,142608)","(26,178260)","(4,2140)"
"69010061","(26,4800)","(26,146400)","(26,183000)","(4,2233)"
"69010062","(26,4860)","(26,150240)","(26,187800)","(4,2329)"
"69010063","(26,4920)","(26,154128)","(26,192660)","(4,2428)"
"69010064","(26,4980)","(26,158064)","(26,197580)","(4,2530)"
"69010065","(26,5040)","(26,162048)","(26,202560)","(4,2634)"
"69010066","(26,5100)","(26,166080)","(26,207600)","(4,2741)"
"69010067","(26,5160)","(26,170160)","(26,212700)","(4,2851)"
"69010068","(26,5220)","(26,174288)","(26,217860)","(4,2963)"
"69010069","(26,5280)","(26,178464)","(26,223080)","(4,3079)"
"69010070","(26,5340)","(26,182688)","(26,228360)","(4,3198)"
"69010071","(26,5400)","(26,186960)","(26,233700)","(4,3319)"
"69010072","(26,5460)","(26,191280)","(26,239100)","(4,3444)"
"69010073","(26,5520)","(26,195648)","(26,244560)","(4,3571)"
"69010074","(26,5580)","(26,200064)","(26,250080)","(4,3702)"
"69010075","(26,5640)","(26,204528)","(26,255660)","(4,3835)"
"69010076","(26,5700)","(26,209040)","(26,261300)","(4,3972)"
"69010077","(26,5760)","(26,213600)","(26,267000)","(4,4112)"
"69010078","(26,5820)","(26,218208)","(26,272760)","(4,4256)"
"69010079","(26,5880)","(26,222864)","(26,278580)","(4,4402)"
"69010080","(26,5940)","(26,227568)","(26,284460)","(4,4552)"
"69010081","(26,6000)","(26,232320)","(26,290400)","(4,4705)"
"69010082","(26,6060)","(26,237120)","(26,296400)","(4,4861)"
"69010083","(26,6120)","(26,241968)","(26,302460)","(4,5021)"
"69010084","(26,6180)","(26,246864)","(26,308580)","(4,5185)"
"69010085","(26,6240)","(26,251808)","(26,314760)","(4,5351)"
"69010086","(26,6300)","(26,256800)","(26,321000)","(4,5522)"
"69010087","(26,6360)","(26,261840)","(26,327300)","(4,5696)"
"69010088","(26,6420)","(26,266928)","(26,333660)","(4,5873)"
"69010089","(26,6480)","(26,272064)","(26,340080)","(4,6054)"
"69010090","(26,6540)","(26,277248)","(26,346560)","(4,6239)"
"69010091","(26,6600)","(26,282480)","(26,353100)","(4,6427)"
"69010092","(26,6660)","(26,287760)","(26,359700)","(4,6619)"
"69010093","(26,6720)","(26,293088)","(26,366360)","(4,6815)"
"69010094","(26,6780)","(26,298464)","(26,373080)","(4,7014)"
"69010095","(26,6840)","(26,303888)","(26,379860)","(4,7218)"
"69010096","(26,6900)","(26,309360)","(26,386700)","(4,7425)"
"69010097","(26,6960)","(26,314880)","(26,393600)","(4,7636)"
"69010098","(26,7020)","(26,320448)","(26,400560)","(4,7851)"
"69010099","(26,7080)","(26,326064)","(26,407580)","(4,8071)"
"69010100","(26,7080)","(26,331728)","(26,414660)","(4,8359)"
"69010101","(26,7080)","(26,337392)","(26,421740)","(4,8582)"
"69010102","(26,7080)","(26,343056)","(26,428820)","(4,8809)"
"69010103","(26,7080)","(26,348720)","(26,435900)","(4,9039)"
"69010104","(26,7080)","(26,354384)","(26,442980)","(4,9273)"
"69010105","(26,7080)","(26,360048)","(26,450060)","(4,9511)"
"69010106","(26,7080)","(26,365712)","(26,457140)","(4,9753)"
"69010107","(26,7080)","(26,371376)","(26,464220)","(4,9998)"
"69010108","(26,7080)","(26,377040)","(26,471300)","(4,10247)"
"69010109","(26,7080)","(26,382704)","(26,478380)","(4,10500)"
"69010110","(26,7080)","(26,388368)","(26,485460)","(4,10757)"
"69010111","(26,7080)","(26,394032)","(26,492540)","(4,11018)"
"69010112","(26,7080)","(26,399696)","(26,499620)","(4,11283)"
"69010113","(26,7080)","(26,405360)","(26,506700)","(4,11552)"
"69010114","(26,7080)","(26,411024)","(26,513780)","(4,11825)"
"69010115","(26,7080)","(26,416688)","(26,520860)","(4,12102)"
"69010116","(26,7080)","(26,422352)","(26,527940)","(4,12383)"
"69010117","(26,7080)","(26,428016)","(26,535020)","(4,12668)"
"69010118","(26,7080)","(26,433680)","(26,542100)","(4,12957)"
"69010119","(26,7080)","(26,439344)","(26,549180)","(4,13250)"
"69010120","(26,7080)","(26,445008)","(26,556260)","(4,13547)"
"69010121","(26,7080)","(26,450672)","(26,563340)","(4,13848)"
"69010122","(26,7080)","(26,456336)","(26,570420)","(4,14153)"
"69010123","(26,7080)","(26,462000)","(26,577500)","(4,14463)"
"69010124","(26,7080)","(26,467664)","(26,584580)","(4,14777)"
"69010125","(26,7080)","(26,473328)","(26,591660)","(4,15095)"
"69010126","(26,7080)","(26,478992)","(26,598740)","(4,15417)"
"69010127","(26,7080)","(26,484656)","(26,605820)","(4,15744)"
