"AttributeId","ItemId","GoodsNum","ClassLimit","Levellimit","NeedLegionLevel","NeedContribution","IsLock","TimelimitOnType","TimelimitOnTime","DurationTime","AddTime","RemoveTime","OldPrice","NewPrice","NeedItemId","LimitType","RoleMaxNum"," EffectiveTime","NeedVIPLevel","ChannelLimit"
"35000001","31000027","1","0","(1,999)","0","0","1","","","","0","0","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","0","2","2","","",""
"35000002","31090016","1","0","(1,999)","0","0","1","","","","0","0","(3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980)","(3,99,3,99,3,99,3,99,3,99,3,99,3,99,3,99,3,99)","0","3","1","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""",""14"","""",""15"","""",""16"","""",""17"","""")"
"35000003","31090017","1","0","(1,999)","0","0","1","","","","0","0","(3,1900,3,1900,3,1900,3,1900,3,1900,3,1900,3,1900,3,1900,3,1900)","(3,19,3,19,3,19,3,19,3,19,3,19,3,19,3,19,3,19)","0","1","1","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""",""14"","""",""15"","""",""16"","""",""17"","""")"
"35000004","31090037","1","0","(1,999)","0","0","1","","","","0","0","(3,210,3,210,3,210,3,210,3,210,3,210,3,210,3,210,3,210)","(3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63)","0","0","0","","",""
"35000005","31090019","1","0","(1,999)","0","0","1","","","","0","0","(3,1400,3,1400,3,1400,3,1400,3,1400,3,1400,3,1400,3,1400,3,1400)","(3,420,3,420,3,420,3,420,3,420,3,420,3,420,3,420,3,420)","0","1","1","","",""
"35000006","31091004","1","0","(1,999)","0","0","1","","","","0","0","(4,400,4,400,4,400,4,400,4,400,4,400,4,400,4,400,4,400)","(4,258,4,258,4,258,4,258,4,258,4,258,4,258,4,258,4,258)","0","0","0","","",""
"35000007","31091005","1","0","(1,999)","0","0","1","","","","0","0","(4,2000,4,2000,4,2000,4,2000,4,2000,4,2000,4,2000,4,2000,4,2000)","(4,498,4,498,4,498,4,498,4,498,4,498,4,498,4,498,4,498)","0","0","0","","",""
"35000008","31091045","1","0","(1,999)","0","0","1","","","","0","0","(3,88,3,88,3,88,3,88,3,88,3,88,3,88,3,88,3,88)","(3,88,3,88,3,88,3,88,3,88,3,88,3,88,3,88,3,88)","0","0","0","","",""
"35000009","31090037","1","0","(1,999)","0","0","1","","","","0","0","(3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68)","(3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68)","0","1","0","","",""
"35000010","31091046","1","0","(1,999)","0","0","1","","","","0","0","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","(3,88,3,88,3,88,3,88,3,88,3,88,3,88,3,88,3,88)","0","0","0","","",""
