"AttributeId","LevelMax","GradeName","SmallGradeImageId","RewardDescribeImageId","GradeUpCostMoney","GradeUpCostItem","GradeUpMission","GradeUpSkills","GradeUpProperty","GradeUpTalent"
"77001001","40","90096589","91260494","91260567","","(31130408,1)","15030501","(13018051,13018001,13018111,13018071)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001002","56","90096590","91260494","91260567","","(31130408,1)","15030502","(13018061,13018021,13018121,13018081)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001003","71","90096591","91260494","91260567","","(31130408,1)","15030503","(13018031,13018011,13018131,13018091)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001004","85","90096592","91260494","91260567","","(31130408,1)","15030504","(13018051,13018001,13018111,13018071)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001005","120","90096589","91260495","91260567","","(31130408,2)","15030509","(13018061,13018021,13018121,13018081)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001006","140","90096590","91260495","91260567","","(31130408,2)","15030510","(13018031,13018011,13018131,13018091)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001007","160","90096591","91260495","91260567","","(31130408,2)","15030511","(13018051,13018001,13018111,13018071)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001008","180","90096592","91260495","91260567","","(31130408,2)","15030512","(13018061,13018021,13018121,13018081)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001009","220","90096589","91260496","91260567","","(31130408,4)","15030517","(13018031,13018011,13018131,13018091)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001010","240","90096590","91260496","91260567","","(31130408,4)","15030518","(13018051,13018001,13018111,13018071)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001011","260","90096591","91260496","91260567","","(31130408,4)","15030519","(13018061,13018021,13018121,13018081)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001012","280","90096592","91260496","91260567","","(31130408,4)","15030520","(13018031,13018011,13018131,13018091)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77001013","320","90096589","91260497","91260568","","(31130408,7)","15030525","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77001014","340","90096590","91260497","91260568","","(31130408,7)","15030526","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77001015","360","90096591","91260497","91260568","","(31130408,7)","15030527","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77001016","380","90096592","91260497","91260568","","(31130408,7)","15030528","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77001017","420","90096589","91260498","91260568","","(31130408,11)","15030533","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77001018","440","90096590","91260498","91260568","","(31130408,11)","15030534","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77001019","460","90096591","91260498","91260568","","(31130408,11)","15030535","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77001020","480","90096592","91260498","91260568","","(31130408,11)","15030536","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77001021","520","90096589","91260499","91260568","","(31130408,16)","15030541","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77001022","540","90096590","91260499","91260568","","(31130408,16)","15030542","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77001023","560","90096591","91260499","91260568","","(31130408,16)","15030543","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77001024","580","90096592","91260499","91260568","","(31130408,16)","15030544","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77001025","620","90096589","91290470","91260568","","(31130408,22)","15030693","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77001026","640","90096590","91290470","91260568","","(31130408,22)","15030694","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77001027","660","90096591","91290470","91260568","","(31130408,22)","15030695","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77001028","680","90096592","91290470","91260568","","(31130408,22)","15030696","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77001029","720","90096589","91290665","91260568","","(31130408,29)","15030725","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77001030","740","90096590","91290665","91260568","","(31130408,29)","15030726","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77001031","760","90096591","91290665","91260568","","(31130408,29)","15030727","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77001032","780","90096592","91290665","91260568","","(31130408,29)","15030728","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77001033","820","90096589","91290470","91260568","","(31130408,37)","15030757","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
