"AttributeId","Type","Index","TargetStrID","TargetValue","RewardStrID","MoneyRewardArray","ImageRes","ShowOrder"
"111000001","0","0","90090379","1","90090364","(3,900)","91260143","1"
"111000002","0","1","90090380","100","90090365","(4,200)","91260143","1"
"111000003","0","2","90090381","150","90090366","(4,300)","91260143","1"
"111000004","0","3","90090382","200","90090367","(4,400)","91260143","1"
"111000005","0","4","90090383","250","90090368","(4,450)","91260143","1"
"111000006","0","5","90090384","300","90090368","(4,450)","91260143","1"
"111000007","0","6","90090385","350","90090368","(4,450)","91260143","1"
"111000008","0","7","90090386","400","90090368","(4,450)","91260143","1"
"111000009","0","8","90090387","450","90090368","(4,450)","91260143","1"
"111000010","0","9","90090388","500","90090368","(4,450)","91260143","1"
"111000011","0","10","90090398","550","90090368","(4,450)","91260143","1"
"111000012","0","11","90090399","600","90090368","(4,450)","91260143","1"
"111010001","1","0","90090389","1","90090374","(3,300)","91260142","0"
"111010002","1","1","90090390","2","90090375","(4,100)","91260142","0"
"111010003","1","2","90090391","3","90090375","(4,100)","91260142","0"
"111010004","1","3","90090369","4","90090375","(4,100)","91260142","0"
"111010005","1","4","90090370","5","90090375","(4,100)","91260142","0"
"111010006","1","5","90090371","6","90090375","(4,100)","91260142","0"
"111010007","1","6","90090372","7","90090375","(4,100)","91260142","0"
"111020001","2","0","90090392","0","90090378","(3,3000)","91260144","2"
"111020002","2","1","90091367","200000","90090377","(4,500)","91260144","2"
"111020003","2","2","90091368","500000","90090376","(4,1000)","91260144","2"
"111020004","2","3","90091369","1000000","90090373","(4,1500)","91260144","2"
"111020005","2","4","90091370","1500000","90090373","(4,1500)","91260144","2"
"111020006","2","5","90091371","2500000","90090373","(4,1500)","91260144","2"
"111020007","2","6","90091372","3500000","90090373","(4,1500)","91260144","2"
"111020008","2","7","90091373","5000000","90090373","(4,1500)","91260144","2"
"111020009","2","8","90091374","6500000","90090373","(4,1500)","91260144","2"
"111020010","2","9","90091375","8500000","90090373","(4,1500)","91260144","2"
"111020011","2","10","90091376","10500000","90090373","(4,1500)","91260144","2"
"111020012","2","11","90091377","12500000","90090373","(4,1500)","91260144","2"
"111020013","2","12","90091378","14500000","90090373","(4,1500)","91260144","2"
"111020014","2","13","90091379","16500000","90090373","(4,1500)","91260144","2"
"111020015","2","14","90091380","18500000","90090373","(4,1500)","91260144","2"
"111020016","2","15","90091381","20500000","90090373","(4,1500)","91260144","2"
"111020017","2","16","90091382","22500000","90090373","(4,1500)","91260144","2"
"111020018","2","17","90091383","24500000","90090373","(4,1500)","91260144","2"
"111020019","2","18","90091384","26500000","90090373","(4,1500)","91260144","2"
"111020020","2","19","90091385","30000000","90090373","(4,1500)","91260144","2"
