"AttributeId","GuideType","NextGuideID","TriggerNextGuideType","LiveTime","OperateType","NeedMoveDistance","NeedRotateAngle","TargetPointType","TargetPointPos","MovementState","MaskBtn","MaskBtnArray","NeedShieldBlackCloth","IsHaveBorder","IsHaveArrow","ArrowPosX","ArrowPosY","ArrowRotation","IsFlip","IsHaveGuideText","RoleHeadId","GuideText","GuideTextPosX","GuideTextPosY","FuncName","FuctionTitle","FuctionWord","FuctionImage","OpenSkillType","AnimPlayCount","AnimID","AnimAdpapter","CinematicAnimationLevelScene","CinematicAnimationPosArr","HideWidgetTag","IsJumpGuide","IgnoreUserInput","IgnoreUIInput","TopJoyStick","HiddenOtherPlayer","CloseAutoMission","OpenAutoMission","NeedUpdateUI","SpecialDoType","CanEnd","CameraCfg","AutoNextLostTime","GuideSoundId","GuideEndSoundIsNotCLose","GuideShineFrameAdjust","GuideOpenUI","BeginNeedShowOperate","NeedShowOperate","TargetLocation","OnMount","GuideEndOpenUi","NotPassCloseGuide","CloseGuideData","BroadcastEvent","NeedShowFaishon"
"100000000","4","0","3","","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","","","0","","","","","Level_Demonstration","(18465,32714,10000)","","0","1","0","0","","1","0","","","0","","","","","","","","","","","","","","",""
"100000001","3","0","2","","","","","","","","MainMissionBtn","","","1","1","0","0","0","0","1","91232699","90069001","750","500","","","","0","","","","","","","","0","1","0","0","","","","","","1","","","","","","","","","","","","","","",""
"100000110","2","100000111","0","2","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","90069612","90069391","0","1","1","FuncGet_Head","","","","","0","0","1","0","","1","","","","0","","","","","","","","","","","","","","Skill1",""
"100000111","2","100000112","3","","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","","90069391","0","1","1","FuncFly_SKill_1","2","","","","0","0","1","0","","","","","","0","","","","","","","","","","","","","","",""
"100000112","3","0","2","","","","","","","","GuideMaskButtonSkill1","","","1","1","0","0","0","0","1","91232699","90069396","1000","600","","","","","","","","","","","","0","0","0","0","","","1","1","","0","","","91925038","1","","","","","","","","","","",""
"100000120","2","100000121","0","2","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","90069612","90069392","0","2","1","FuncGet_Head","","","","","0","0","0","0","","1","","","","0","","","91925039","1","","","","","","","","","","Skill2",""
"100000121","2","0","3","","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","","90069392","0","2","1","FuncFly_SKill_2","2","","","","0","0","0","0","","","0","","","0","","","","","","","","","","","","","","",""
"100000130","2","100000131","0","2","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","90069612","90069393","0","3","1","FuncGet_Head","","","","","0","0","0","0","","1","","","","0","","","91925040","1","","","","","","","","","","Skill3",""
"100000131","2","0","3","","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","","90069393","0","3","1","FuncFly_SKill_3","2","","","","0","0","0","0","","","0","","","0","","","","","","","","","","","","","","",""
"100000170","2","100000171","0","2","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","90069553","90069554","91232434","","1","FuncGet_Head","","","","","1","0","1","0","","1","","","","0","","","91925288","1","","","","","","","","","","",""
"100000171","2","100000172","3","","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","","90069554","91232434","","1","FuncFly_FuBen","","","","","1","0","1","0","","","","","","0","","","","","","","","","","","","","","",""
"100000172","3","100000173","2","","","","","","","","OpenMustDoWidgetBtn","","","1","1","0","0","0","0","1","91232699","90067173","500","700","","","","","","","","","","","","1","1","0","0","","","","","","0","","","91925321","","","","","","","","","","","",""
"100000173","3","100000175","2","","","","","","","","MustDoLineGotoButton17","","","1","1","0","0","0","0","1","91232699","90067171","1100","500","","","","","","","","","","","","1","1","0","0","","","","","11","1","","","","","","","","","","","","","","",""
"100000174","3","100000175","2","","","","","","","","DailyRaidCardButton3","","","1","1","0","0","0","0","1","91232699","90069875","500","700","","","","","","","","","","","","1","1","0","0","","","","","","0","","","91925291","","","","","","","","","","","",""
"100000175","3","0","2","","","","","","","","TeamPlatformButton26","","","1","0","0","0","0","0","1","91232699","90069873","500","700","","","","","","","","","","","","1","1","0","0","","","0","","","0","","","91925096","1","","","","","","","","","","",""
"100000180","2","100000181","0","2","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","90069510","90069119","91232429","","1","FuncGet_Head","","","","(""MPWidgetRaidButtonPanel"")","1","0","1","0","","1","","","","0","","","91925057","1","","","","","","","","","","",""
"100000181","2","100000182","3","","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","","90069119","91232429","","1","FuncFly_FuBen","","","","(""MPWidgetRaidButtonPanel"")","1","0","1","0","","","","","","0","","","","","","","","","","","","","","",""
"100000182","3","100000183","2","","","","","","","","OpenMustDoWidgetBtn","","","1","1","0","0","0","0","1","91232699","90067173","500","700","","","","","","","","","","","","1","1","0","0","","","","","","0","","","91925321","","","","","","","","","","","",""
"100000183","3","100000184","2","","","","","","","","MustDoLineGotoButton6","","","1","1","0","0","0","0","1","91232699","90067164","1100","500","","","","","","","","","","","","1","1","0","0","","","","","11","1","","","","","","","","","","","","","","",""
"100000184","3","100000185","2","","","","","","","","DramaRaidCardButton1","","","1","1","0","0","0","0","1","91232699","90069478","500","700","","","","","","","","","","","","1","1","0","0","","","","","","0","","","91925059","","","","","","","","","","","",""
"100000185","3","0","2","","","","","","","","EnterRaidBtn","","","1","1","0","0","0","0","1","91232699","90069264","500","700","","","","","","","","","","","","1","1","0","0","","","0","","","0","","","91925060","1","","","","","","","","","","",""
"100000195","3","0","1","","","","","","","","TeamPlatformButton","","","1","0","0","0","0","0","1","91232699","90069469","500","700","","","","","","","","","","","","1","1","0","0","","","0","","","0","","","91925280","1","","","","","","","","","","",""
"100000210","2","100000211","0","2","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","90069513","90069108","91232459","","1","FuncGet_Head","","","","","1","1","1","0","","1","","","","0","","","91925117","1","","","","","","","","","","",""
"100000211","2","100000212","3","","","","","","","","","","","0","0","0","0","0","0","0","91232699","0","0","0","","","90069108","91232459","","1","FuncFly_FuBen","","","","","1","1","1","0","","","","","","0","","","","","","","","","","","","","","",""
"100000212","3","100000213","2","","","","","","","","OpenMustDoWidgetBtn","","","1","1","0","0","0","0","1","91232699","90067173","500","700","","","","","","","","","","","","1","1","0","0","","","","","","0","","","91925321","","","","","","","","","","","",""
