"AttributeId","TriggerGuideID","NeedLevel","NeedMission","MustNeedMission","NeedFuncUnlock","NewFuncUnlockFuncId","LandWelfareId","IsHitFirstGuide","NeedItem","NeedItemType","NeedMoney","RoleState","OpenWidget","FirstTimeDo","NeedGodHoodGrade","NeedTinderOrder","NeedShowWidgetName","NeedFlyMaxHedit","DeadCanGuide","NeedMapID","NeedMapState","NewGudieNeedRePlay","EndGuideNeedOpenMp","OpenGuideNoOpenMp","TriggerInPublicMap","ResetSkillType","KeepWidget","is_accord","LoginCheckGuideMission"
"118000000","100000000","","(0,15000596,3)","","","","","","","","","","","","","","","","","71000001","16","","1","","","","","",""
"118000001","100001810","","(0,15000596,3)","","","","","","","","","","","","","","","","","71000001","18","1","","","","","","",""
"118000100","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000200","100000550","","(0,15000613,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000201","100000551","","(0,15000613,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000300","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000400","100100019","","(0,15001044,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000500","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000600","100100002","","(0,15000637,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000700","100100003","","(0,15000631,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000800","100100004","","(0,15000632,6)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118000801","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118000900","100100005","","(0,15000808,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001000","100100006","","(0,15000861,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001100","100100007","","(0,15000899,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001200","100100008","","(0,15000917,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001300","100100009","","(0,15000969,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001400","100100010","","(0,15000982,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001500","100100011","","(0,15000998,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001600","100100012","","(0,15001010,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001700","100100013","","(0,15001048,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001800","100100014","","(0,15001069,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118001900","100100015","","(0,15001166,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118002000","100100016","","(0,15001205,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118002100","100100017","","(0,15001367,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118002200","100100024","","(0,15000598,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118002300","100100023","","","","","","","","","","","","","","5","","","","","71000001","18","","0","","","","1","",""
"118002400","100100023","","","","","","","","","","","","","","10","","","","","71000001","18","","0","","","","1","",""
"118002500","100100023","","","","","","","","","","","","","","15","","","","","71000001","18","","0","","","","1","",""
"118002600","100100023","","","","","","","","","","","","","","20","","","","","71000001","18","","0","","","","1","",""
"118002700","100100023","","","","","","","","","","","","","","25","","","","","71000001","18","","0","","","","1","",""
"118002800","100100023","","","","","","","","","","","","","","30","","","","","71000001","18","","0","","","","1","",""
"118002900","100100023","","","","","","","","","","","","","","35","","","","","71000001","18","","0","","","","1","",""
"118003000","100100023","","","","","","","","","","","","","","40","","","","","71000001","18","","0","","","","1","",""
"118003100","100100023","","","","","","","","","","","","","","45","","","","","71000001","18","","0","","","","1","",""
"118003200","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118003300","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
