"AttributeId","ClassType","InteractionType","CorrespondInteractionType","InitiativeGo","InviteRange","InteractionRange","HeadOffset","InviteTimeLimit","SocketName","AttachToOther","CanMove","InteractionPeopleNumber","InviteString","InteractionName","InteractionDescription","InteractionIcon","CanInitiatorView","IsAllowSingle","InteractiveLimilt"
"131000000","0","1","0","0","999999","0","","10","","","0","2","","","","","0","0",""
"131000001","0","2","3","0","1000","500","","10","Doubleridesocket","","1","2","90095196","","","","0","0",""
"131000002","0","3","2","1","1000","500","","10","Doubleridesocket","1","1","2","90095197","","","","0","0",""
"131000003","0","4","5","1","1000","200","(-90,50)","10","InteractionSocketName1","1","0","2","90095232","","","91232784","1","0",""
"131000004","0","5","4","0","1000","200","","10","","","0","2","","","","","0","0",""
"131000005","0","6","7","1","1000","200","","10","","","0","2","90095233","","","91232785","1","0",""
"131000006","0","7","6","0","1000","200","","10","InteractionSocketName1","1","0","2","","","","","0","0",""
"131000007","0","8","9","1","1000","200","(0,150)","10","InteractionSocketName1","1","0","2","90095234","","","91232787","1","0",""
"131000008","0","9","8","0","1000","200","","10","","","0","2","","","","","0","0",""
"131000009","0","10","11","1","1000","200","","10","InteractionSocketName1","1","0","2","90095235","","","91232788","1","0",""
"131000010","0","11","10","0","1000","200","(90,190)","10","","","0","2","","","","","0","0",""
"131000011","0","12","16","0","1000","200","","10","MarryRaidSocketBack","","1","2","90095196","","","","0","0",""
"131000012","0","13","16","0","1000","200","","10","MarryRaidSocketBack","","1","2","90095196","","","","0","0",""
"131000013","0","14","16","1","1000","200","","10","MarryRaidSocketFront","1","0","2","90095197","","","","0","0",""
"131000014","0","15","16","1","1000","200","","10","MarryRaidSocketFront","1","0","2","90095197","","","","0","0",""
"131000015","0","17","18","0","20000","200","(90,190)","30","","","0","2","90095235","","","","0","1",""
"131000016","0","18","17","1","20000","200","","30","InteractionSocketName1","1","0","2","","","","","0","1",""
"131000017","0","19","20","1","1000","200","","10","","","0","2","90095235","","","91232804","1","0","(1)"
"131000018","0","20","19","0","1000","200","","10","InteractionSocketName1","1","0","2","","","","","0","0","(1)"
