"AttributeId","level","ItemIdList","ItemNumList","AddonShopId","MoneyCostList","InheritAddonRatio","Noticeld","SuccessRate","EquipBuffArray"
"42000001","0","(31020008)","(2)","35011007","(2,0)","0","","100","(0,0,0,0,0)"
"42000002","1","(31020008)","(2)","35011007","(2,0)","(2,1,3,1)","","100","(0,0,0,0,0)"
"42000003","2","(31020008)","(2)","35011007","(2,0)","(2,3,3,1)","","100","(0,0,0,0,0)"
"42000004","3","(31020008)","(2)","35011007","(2,0)","(2,6,3,1)","","100","(0,0,0,0,0)"
"42000005","4","(31020008)","(2)","35011007","(2,0)","(2,10,3,1)","","100","(0,0,0,0,0)"
"42000006","5","(31020008)","(2)","35011007","(2,0)","(2,15,3,2)","","100","(0,0,0,0,0)"
"42000007","6","(31020008)","(2)","35011007","(2,0)","(2,21,3,2)","","100","(0,0,0,0,0)"
"42000008","7","(31020008)","(2)","35011007","(2,0)","(2,28,3,2)","","100","(0,0,0,0,0)"
"42000009","8","(31020008)","(2)","35011007","(2,0)","(2,36,3,3)","","100","(0,0,0,0,0)"
"42000010","9","(31020008)","(2)","35011007","(2,0)","(2,45,3,3)","","100","(0,0,0,0,0)"
"42000011","10","(31020008)","(3)","35011007","(2,0)","(2,55,3,3)","","80","(0,10260001,10260008,10260015,10260022)"
"42000012","11","(31020008)","(3)","35011007","(2,0)","(2,67,3,4)","","80","(0,10260001,10260008,10260015,10260022)"
"42000013","12","(31020008)","(3)","35011007","(2,0)","(2,81,3,4)","","80","(0,10260001,10260008,10260015,10260022)"
"42000014","13","(31020008)","(3)","35011007","(2,0)","(2,97,3,4)","","80","(0,10260001,10260008,10260015,10260022)"
"42000015","14","(31020008)","(3)","35011007","(2,0)","(2,115,3,5)","","80","(0,10260001,10260008,10260015,10260022)"
"42000016","15","(31020008)","(3)","35011007","(2,0)","(2,135,3,5)","","80","(0,10260001,10260008,10260015,10260022)"
"42000017","16","(31020008)","(3)","35011007","(2,0)","(2,157,3,6)","","80","(0,10260001,10260008,10260015,10260022)"
