"AttributeId","PropertyID","PropertyMaxLimit","GoldCost","DiamondCost","MaterialID","MaterialCost","GoldSuccinctEffectChance","DiamondSuccinctEffectChance","GoldSuccinctAttUpChance","GoldPropertyChangeRange","DiamondSuccinctAttUpChance","DiamondPropertyChangeRange","Noticeld","MaterialShopID"
"43010001","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010002","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010003","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010004","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010005","(5,6,9)","(90,100,50,200,250,110,510,610,280)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010006","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010007","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010008","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010009","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010010","(5,6,9)","(90,100,50,200,250,110)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010011","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
