"AttributeId","item_name","ItemObtainDescription","ItemDescription","item_type","sub_type","item_color","level_limit","sexual_limit","class_type","grade_level_limit","max_pile_num","SellMoney","locked","AutoUse","IsShowRecommend","IsValuable","AuctionLabType","AuctionLabSubType","AuctionMinMoneyArray","AuctionRecommendMoneyArray","AuctionMaxMoneyArray","AuctionAutoRecoverMoneyArray","AuctionCanSellMoneyArray","TradingLabType","TradingSubLabType","TradingBaseMoneyArray","TradingFinalMoneyArray","TradingAuctionTime","TradingAwaitTime","picture_name_res","button_picture_res","button_picture_res_array","item_color_type","back_image","mesh_res","DropModeID","skill_array","buff_trigger_id","advanced_type","advanced_id","god_assembled","god_assembled_id","logic_id","game_location","game_rotation","game_scale","login_location","login_rotation","login_scale","GetWayWidgetJumpArray","GetWayUnlockIdArray","ShowNpc","Notice_id","FuncUnlockid","goods_id","StoreJumpSpecialItemId","EquipOnNeedAtt","DropRecordModel","ExtraTidyWeight","EffectiveTime","LegionDonateAddIntegral","LegionDonateReduceIntegral","FashionId","Illusionid","AwakenID","AwakenPower","IsShowOpen","AutoPickTime","DecomposeTip","AuctionNotice"
"31000001","90020001","90026501","90025001","4","4","1","(1,99)","0","0","0","9999","(2,5)","1","0","0","","0","","","","","","","","","","","14400","120","91222001","91222001","","3","0","","76999999","0","(10010002)","0","0","","","32000001","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095019,92600001,3,-1,-1,90095029,92480009,-1,-1)","(0,90090727,117000022,90090740)","0","","","","","","","200000000","","","","","","","","","1","",""
"31000002","90020002","90026501","90025002","4","5","1","(100,199)","0","0","0","9999","(2,10)","1","0","0","","0","","","","","","","","","","","14400","120","91222002","91222002","","3","0","","76999999","0","(10010003)","0","0","","","32000002","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095019,92600001,3,-1,-1,90095029,92480009,-1,-1)","(0,90090727,117000022,90090740)","0","","","","","","","200010000","","","","","","","","","1","",""
"31000003","90020003","90026501","90025003","4","6","1","(200,299)","0","0","0","9999","(2,15)","1","0","0","","0","","","","","","","","","","","14400","120","91222003","91222003","","3","0","","76999999","0","(10010004)","0","0","","","32000003","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095019,92600001,3,-1,-1,90095029,92480009,-1,-1)","(0,90090727,117000022,90090740)","0","","","","","","","200020000","","","","","","","","","1","",""
"31000004","90020004","90027514","90025004","4","11","3","(1,999)","0","0","0","999","(2,100)","1","0","0","","0","","","","","","","","","","","14400","120","91222004","91222004","","3","0","","76999999","0","(10010006)","0","0","","","32000004","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90091013,92600001,10,-1)","(117000148,90091014)","0","","","","","","","580000000","","","","","","","","","1","",""
"31000005","90020005","90026505","90025005","4","11","4","(1,999)","0","0","0","999","(2,200)","1","0","0","","0","","","","","","","","","","","14400","120","91222005","91222005","","3","0","","76999999","0","(10010007)","0","0","","","32000005","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090013,92600001,0,1)","(117000148,90090733)","0","","","(35020002)","","","","580000000","","","","","","","","","1","",""
"31000006","90020006","90026502","90025006","4","11","4","(1,999)","0","0","0","999","(2,200)","1","0","0","","0","","","","","","","","","","","14400","120","91222006","91222006","","3","0","","76999999","0","(10010008)","0","0","","","32000006","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","","","0","","","","","","","580000000","","","","","","","","","1","",""
"31000007","90020007","90026501","90025007","4","9","1","(300,399)","0","0","0","9999","(2,20)","1","0","0","","0","","","","","","","","","","","14400","120","91222609","91222609","","3","0","","76999999","0","(10010005)","0","0","","","32000007","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095019,92600001,3,-1,-1,90095029,92480009,-1,-1)","(0,90090727,117000022,90090740)","0","","","","","","","200030000","","","","","","","","","1","",""
"31000008","90020008","90026501","90025008","4","10","1","(400,999)","0","0","0","9999","(2,25)","1","0","0","","0","","","","","","","","","","","14400","120","91222610","91222610","","3","0","","76999999","0","(10010017)","0","0","","","32000008","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095019,92600001,3,-1,-1,90095029,92480009,-1,-1)","(0,90090727,117000022,90090740)","0","","","","","","","200040000","","","","","","","","","1","",""
"31000009","90020009","90026504","90025009","4","0","4","(1,999)","0","0","0","999","(2,500)","1","0","0","","0","","","","","","","","","","","14400","120","91222009","91222009","","3","0","","76999999","0","0","0","0","","","32000009","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","","","0","","117000054","","","","","874000000","","","","","","","","","1","",""
"31000010","90020010","90026504","90025010","4","0","4","(1,999)","0","0","0","999","(2,500)","1","0","0","","0","","","","","","","","","","","14400","120","91222010","91222010","","3","0","","76999999","0","0","0","0","","","32000010","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","","","0","","117000055","","","","","874000000","","","","","","","","","1","",""
"31000011","90020011","90026505","90025011","5","18","4","(1,999)","0","0","0","999","(2,10)","1","0","0","","0","","","","","","","","","","","14400","120","91222011","91222011","","3","0","","76999999","0","0","0","0","","","32000011","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090013,92600001,0,2,-1,90091259,0,0,0)","(117000148,90090733,0,90091316)","0","","","","","","","874000000","","","","","","","","","1","",""
"31000012","90020012","90027560","90025012","4","34","4","(1,999)","0","0","0","99","(2,200)","1","0","1","","0","","","","","","","","","","","14400","120","91222012","91222012","","3","0","","76999999","0","(10010014)","0","0","","","32000012","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090013,92600001,0,1,-1,90091294,92800002,-1,-1)","(117000148,90090733,0,90091295)","0","","","","","","","600080000","","","","","","","","","1","",""
"31000013","90020013","90203332","90025013","4","34","5","(1,999)","0","0","0","99","(2,300)","1","0","1","","0","","","","","","","","","","","14400","120","91222013","91222013","","3","0","","76999999","0","(10010015)","0","0","","","32000013","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90091308,92520011,-1,-1,-1,90069605,92340011,-1,-1)","(0,90091309,117000063,90203330)","0","","","","","","","600100000","","","","","","","","","1","",""
"31000014","90020014","90026508","90025014","4","11","4","(1,999)","0","0","0","99","(2,300)","1","0","0","","0","","","","","","","","","","","14400","120","91222014","91222014","","3","0","","76999999","0","(10010009)","0","0","","","32000014","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","","","0","","","(35020005)","","","","590000000","","","","","","","","","1","",""
"31000015","90020015","90026508","90025015","4","11","4","(1,999)","0","0","0","99","(2,300)","1","0","0","","0","","","","","","","","","","","14400","120","91222015","91222015","","3","0","","76999999","0","(10010010)","0","0","","","32000015","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","","","0","","","(35020006)","","","","590000000","","","","","","","","","1","",""
"31000016","90020016","90026508","90025016","4","11","4","(1,999)","0","0","0","99","(2,300)","1","0","0","","0","","","","","","","","","","","14400","120","91222016","91222016","","3","0","","76999999","0","(10010011)","0","0","","","32000016","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","","","0","","","(35020007)","","","","590000000","","","","","","","","","1","",""
"31000017","90020017","90026508","90025017","4","11","4","(1,999)","0","0","0","99","(2,300)","1","0","0","","0","","","","","","","","","","","14400","120","91222017","91222017","","3","0","","76999999","0","(10010012)","0","0","","","32000017","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","","","0","","","(35020008)","","","","590000000","","","","","","","","","1","",""
"31000018","90020018","90026509","90025018","4","1","4","(1,999)","0","0","0","99","(2,100)","1","0","1","","0","","","","","","","","","","","14400","120","91222018","91222018","","3","0","","76999999","0","0","0","0","","","32000018","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090023,92230004,1,-1,-1,90069605,92340011,-1,-1)","(117000044,90090700,117000063,90203330)","0","","","","","","","790000000","","","","","","","","","1","",""
"31000019","90020019","90026509","90025019","4","1","4","(1,999)","0","0","0","99","(2,100)","1","0","1","","0","","","","","","","","","","","14400","120","91222019","91222019","","3","0","","76999999","0","0","0","0","","","32000019","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090023,92230004,1,-1,-1,90069605,92340011,-1,-1)","(117000044,90090700,117000063,90203330)","0","","","","","","","790000000","","","","","","","","","1","",""
"31000020","90020020","90026509","90025020","4","1","4","(1,999)","0","0","0","99","(2,100)","1","0","1","","0","","","","","","","","","","","14400","120","91222020","91222020","","3","0","","76999999","0","0","0","0","","","32000020","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090023,92230004,1,-1,-1,90069605,92340011,-1,-1)","(117000044,90090700,117000063,90203330)","0","","","","","","","790000000","","","","","","","","","1","",""
"31000021","90020021","90026509","90025021","4","1","4","(1,999)","0","0","0","99","(2,100)","1","0","1","","0","","","","","","","","","","","14400","120","91222021","91222021","","3","0","","76999999","0","0","0","0","","","32000021","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090023,92230004,1,-1,-1,90069605,92340011,-1,-1)","(117000044,90090700,117000063,90203330)","0","","","","","","","790000000","","","","","","","","","1","",""
"31000022","90020022","90203341","90025022","4","2","4","(1,999)","0","0","0","99","(2,100)","1","1","0","","0","","","","","","","","","","","14400","120","91222022","91222022","","3","0","","76999999","0","0","0","0","","","32000022","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90090023,92230004,1,-1)","(117000044,90090700£©","0","","","","","","","790100000","","","","","","","","","1","",""
"31000023","90020023","90203333","90025023","4","17","4","(1,999)","0","0","0","9999","(2,10)","1","0","0","","0","","","","","","","","","","","14400","120","91222023","91222023","","3","0","0","76999999","0","0","0","0","","","32000023","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095029,92480009,-1,-1,-1,90069605,92340011,-1,-1)","(117000022,90090740,117000063,90203330)","0","","117000051","","","","","210000000","","","","","","","","","1","",""
"31000024","90020024","90203333","90025024","4","17","4","(1,999)","0","0","0","9999","(2,10)","1","0","0","","0","","","","","","","","","","","14400","120","91222024","91222024","","3","0","0","76999999","0","0","0","0","","","32000024","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095029,92480009,-1,-1,-1,90069605,92340011,-1,-1)","(117000022,90090740,117000063,90203330)","0","","117000051","","","","","210000000","","","","","","","","","1","",""
"31000025","90020025","90203333","90025025","4","17","4","(1,999)","0","0","0","9999","(2,10)","1","0","0","","0","","","","","","","","","","","14400","120","91222025","91222025","","3","0","0","76999999","0","0","0","0","","","32000025","(0,0,0)","(0,0,0)","(1,1,1)","(0,0,0)","(0,0,0)","(1,1,1)","(-1,90095029,92480009,-1,-1,-1,90069605,92340011,-1,-1)","(117000022,90090740,117000063,90203330)","0","","117000051","","","","","210000000","","","","","","","","","1","",""
