"AttributeId","level","EquipSlot","ItemIdList","ItemNumList","MoneyCostList","FailGetItemList","Rate","InheritUpgradeRatio","NoticeId","ProtectItemInfo","BarserkerWeaponBuffArray","BarserkerEquipBuffArrayCommon","BarserkerEquipBuffArrayIce","BarserkerEquipBuffArrayFire","BarserkerEquipBuffArrayLight","BarserkerEquipBuffArrayDark","WizardWeaponBuffArray","WizardEquipBuffArrayCommon","WizardEquipBuffArrayIce","WizardEquipBuffArrayFire","WizardEquipBuffArrayLight","WizardEquipBuffArrayDark","GuardianWeaponBuffArray","GuardianEquipBuffArrayCommon","GuardianEquipBuffArrayIce","GuardianEquipBuffArrayFire","GuardianEquipBuffArrayLight","GuardianEquipBuffArrayDark","AssassinWeaponBuffArray","AssassinEquipBuffArrayCommon","AssassinEquipBuffArrayIce","AssassinEquipBuffArrayFire","AssassinEquipBuffArrayLight","AssassinEquipBuffArrayDark"
"41000001","0","1","","","(30000005,1)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000002","1","1","","","(30000005,2)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000003","2","1","","","(30000005,3)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000004","3","1","","","(30000005,4)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000005","4","1","","","(30000005,5)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000006","5","1","","","(30000005,6)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000007","6","1","","","(30000005,7)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000008","7","1","","","(30000005,8)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000009","8","1","","","(30000005,9)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000010","9","1","","","(30000005,10)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
