"AttributeId","EquipSlot","Consume","RandomSkillSet","ShowSkillName","ShowSkillDescribe","Type","SubType","SkillID","RealType","RealValue","ResId"
"16300001","22000002","(31141065,1)","(16303001,160000,16303002,40000,16303003,160000,16303004,40000,16303005,160000,16303006,40000,16303007,160000,16303008,40000,16303009,160000,16303010,40000)","","","","","","","",""
"16300002","22000003","(31141065,1)","(16302001,160000,16302002,40000,16302003,160000,16302004,40000,16302005,160000,16302006,40000,16302007,160000,16302008,40000,16302009,160000,16302010,40000)","","","","","","","",""
"16300003","22000004","(31141065,1)","(16303001,160000,16303002,40000,16303003,160000,16303004,40000,16303005,160000,16303006,40000,16303007,160000,16303008,40000,16303009,160000,16303010,40000)","","","","","","","(16303003,16304001,16303004,16304002)",""
"16300004","22000005","(31141065,1)","(16303001,160000,16303002,40000,16303003,160000,16303004,40000,16303005,160000,16303006,40000,16303007,160000,16303008,40000,16303009,160000,16303010,40000)","","","","","","","(16303003,16305001,16303004,16305002)",""
"16300005","22000006","(31141065,1)","(16301001,160000,16301002,40000,16301003,160000,16301004,40000,16301005,160000,16301006,40000,16301007,160000,16301008,40000,16301009,160000,16301010,40000)","","","","","","","",""
"16300006","22000007","(31141065,1)","(16301001,160000,16301002,40000,16301003,160000,16301004,40000,16301005,160000,16301006,40000,16301007,160000,16301008,40000,16301009,160000,16301010,40000)","","","","","","","(16301003,16304005,16301004,16304006)",""
"16300007","22000008","(31141065,1)","(16303001,160000,16303002,40000,16303003,160000,16303004,40000,16303005,160000,16303006,40000,16303007,160000,16303008,40000,16303009,160000,16303010,40000)","","","","","","","(16303003,16306001,16303004,16306002)",""
"16300008","22000009","(31141065,1)","(16302001,160000,16302002,40000,16302003,160000,16302004,40000,16302005,160000,16302006,40000,16302007,160000,16302008,40000,16302009,160000,16302010,40000)","","","","","","","(16302003,16304003,16302004,16304004)",""
"16300009","22000010","(31141065,1)","(16302001,160000,16302002,40000,16302003,160000,16302004,40000,16302005,160000,16302006,40000,16302007,160000,16302008,40000,16302009,160000,16302010,40000)","","","","","","","(16302003,16305003,16302004,16305004)",""
"16300010","22000011","(31141065,1)","(16302001,160000,16302002,40000,16302003,160000,16302004,40000,16302005,160000,16302006,40000,16302007,160000,16302008,40000,16302009,160000,16302010,40000)","","","","","","","(16302003,16306003,16302004,16306004)",""
"16300011","22000012","(31141065,1)","(16301001,160000,16301002,40000,16301003,160000,16301004,40000,16301005,160000,16301006,40000,16301007,160000,16301008,40000,16301009,160000,16301010,40000)","","","","","","","(16301003,16305005,16301004,16305006)",""
"16300012","22000013","(31141065,1)","(16301001,160000,16301002,40000,16301003,160000,16301004,40000,16301005,160000,16301006,40000,16301007,160000,16301008,40000,16301009,160000,16301010,40000)","","","","","","","(16301003,16306005,16301004,16306006)",""
"16301001","","(31141065,1)","","90038304","90038707","1","1","","1","(0,250)","91293767"
"16301002","","(31141065,1)","","90038305","90038708","1","2","","1","(0,1000)","91293768"
"16301003","","(31141065,1)","","90038299","90038699","2","1","","2","(1,26030017,2,26030018,3,26030019,4,26030020)","91293769"
"16301004","","(31141065,1)","","90038300","90038700","2","2","","2","(1,26030021,2,26030022,3,26030023,4,26030024)","91293770"
"16301005","","(31141065,1)","","90038316","90038719","3","1","","3","(21,2500,0,23,10,1)","91293771"
"16301006","","(31141065,1)","","90038317","90038720","3","2","","3","(21,10000,0,23,40,1)","91293772"
"16301007","","(31141065,1)","","90038324","90038727","4","1","","3","(22,2500,0,24,10,1)","91293773"
"16301008","","(31141065,1)","","90038325","90038728","4","2","","3","(22,10000,0,24,40,1)","91293774"
"16301009","","(31141065,1)","","90038326","90038729","5","1","","3","(43,2500,0)","91293775"
"16301010","","(31141065,1)","","90038327","90038730","5","2","","3","(43,10000,0)","91293776"
"16302001","","(31141065,1)","","90038306","90038709","6","1","","1","(1,250)","91293787"
"16302002","","(31141065,1)","","90038307","90038710","6","2","","1","(1,1000)","91293788"
"16302003","","(31141065,1)","","90038297","90038697","7","1","","2","(1,26030009,2,26030010,3,26030011,4,26030012)","91293779"
"16302004","","(31141065,1)","","90038298","90038698","7","2","","2","(1,26030013,2,26030014,3,26030015,4,26030016)","91293780"
"16302005","","(31141065,1)","","90038318","90038721","8","1","","3","(18,2500,0,24,10,1)","91293781"
"16302006","","(31141065,1)","","90038319","90038722","8","2","","3","(18,10000,0,24,40,1)","91293782"
"16302007","","(31141065,1)","","90038322","90038725","9","1","","3","(20,2500,0,24,10,1)","91293785"
"16302008","","(31141065,1)","","90038323","90038726","9","2","","3","(20,10000,0,24,40,1)","91293786"
