"AttributeId","JewelType","JewelLevel","JewelValue","JewelAtt","ComposeId","NextLevelItemId"
"67000001","1","1","(3,10)","(4,5,10,0,1,4,6,12,0,1)","36090001","31110002"
"67000002","1","2","(3,30)","(4,5,20,0,1,4,6,25,0,1)","36090002","31110003"
"67000003","1","3","(3,90)","(4,5,50,0,1,4,6,60,0,1)","36090003","31110004"
"67000004","1","4","(3,270)","(4,5,75,0,1,4,6,90,0,1,4,9,45,0,1)","36090004","31110005"
"67000005","1","5","(3,810)","(4,5,170,0,1,4,6,200,0,1,4,9,100,0,1)","36090005","31110006"
"67000006","1","6","(3,2430)","(4,5,350,0,1,4,6,420,0,1,4,9,210,0,1)","36090006","31110007"
"67000007","1","7","(3,7290)","(4,5,660,0,1,4,6,800,0,1,4,9,400,0,1,4,11,200,0,1)","36090007","31110008"
"67000008","1","8","(3,21870)","(4,5,1220,0,1,4,6,1470,0,1,4,9,740,0,1,4,11,370,0,1)","36090008","31110009"
"67000009","1","9","(3,65610)","(4,5,2200,0,1,4,6,2640,0,1,4,9,1320,0,1,4,11,660,0,1)","36090009","31110010"
"67000010","1","10","(3,196830)","(4,5,3510,0,1,4,6,4210,0,1,4,9,2110,0,1,4,11,1060,0,1,4,25,0.005,0,1)","36090010","31110011"
"67000011","1","11","(3,590490)","(4,5,5270,0,1,4,6,6320,0,1,4,9,3160,0,1,4,11,1580,0,1,4,25,0.01,0,1)","36090011","31110012"
"67000012","1","12","(3,1771470)","(4,5,7630,0,1,4,6,9160,0,1,4,9,4580,0,1,4,11,2290,0,1,4,25,0.015,0,1)","36090012","31110013"
"67000013","1","13","(3,5314410)","(4,5,10690,0,1,4,6,12820,0,1,4,9,6410,0,1,4,11,3210,0,1,4,25,0.02,0,1)","36090013","31110014"
"67000014","1","14","(3,15943230)","(4,5,14420,0,1,4,6,17310,0,1,4,9,8660,0,1,4,11,4330,0,1,4,25,0.025,0,1)","36090014","31110015"
"67000015","1","15","(3,47829690)","(4,5,18750,0,1,4,6,22500,0,1,4,9,11250,0,1,4,11,5630,0,1,4,25,0.03,0,1)","36090015","0"
"67000101","2","1","(3,10)","(4,8,75,0,1,4,7,28,0,1)","36090101","31110102"
"67000102","2","2","(3,30)","(4,8,150,0,1,4,7,60,0,1)","36090102","31110103"
"67000103","2","3","(3,90)","(4,8,380,0,1,4,7,140,0,1)","36090103","31110104"
"67000104","2","4","(3,270)","(4,8,570,0,1,4,7,210,0,1,4,10,50,0,1)","36090104","31110105"
"67000105","2","5","(3,810)","(4,8,1240,0,1,4,7,470,0,1,4,10,100,0,1)","36090105","31110106"
"67000106","2","6","(3,2430)","(4,8,2600,0,1,4,7,980,0,1,4,10,210,0,1)","36090106","31110107"
"67000107","2","7","(3,7290)","(4,8,4940,0,1,4,7,1850,0,1,4,10,400,0,1,4,12,200,0,1)","36090107","31110108"
"67000108","2","8","(3,21870)","(4,8,9140,0,1,4,7,3420,0,1,4,10,740,0,1,4,12,370,0,1)","36090108","31110109"
"67000109","2","9","(3,65610)","(4,8,16450,0,1,4,7,6140,0,1,4,10,1320,0,1,4,12,660,0,1)","36090109","31110110"
"67000110","2","10","(3,196830)","(4,8,26310,0,1,4,7,9830,0,1,4,10,2110,0,1,4,12,1060,0,1,4,26,0.005,0,1)","36090110","31110111"
"67000111","2","11","(3,590490)","(4,8,39470,0,1,4,7,14740,0,1,4,10,3160,0,1,4,12,1580,0,1,4,26,0.01,0,1)","36090111","31110112"
"67000112","2","12","(3,1771470)","(4,8,57220,0,1,4,7,21370,0,1,4,10,4580,0,1,4,12,2290,0,1,4,26,0.015,0,1)","36090112","31110113"
"67000113","2","13","(3,5314410)","(4,8,80110,0,1,4,7,29910,0,1,4,10,6410,0,1,4,12,3210,0,1,4,26,0.02,0,1)","36090113","31110114"
"67000114","2","14","(3,15943230)","(4,8,108150,0,1,4,7,40380,0,1,4,10,8660,0,1,4,12,4330,0,1,4,26,0.025,0,1)","36090114","31110115"
"67000115","2","15","(3,47829690)","(4,8,140590,0,1,4,7,52490,0,1,4,10,11250,0,1,4,12,5630,0,1,4,26,0.03,0,1)","36090115","0"
