"AttributeId","Region","SeasonNum","RankName","RankIcon","LowScore","HighScore","WinScore","LoseScore","PeaceScore","WinReward","LoseReward","PeaceReward","SeasonReward","ReservedScore","BigGradeFlag","ExpandTime","UpgradeNotify","UpgradeReward","TitleReward","RobotRate","RobotTemplateID"
"108000001","0","1","90203952","91290622","0","100","100","50","50","(0)","(0)","(0)","(3,31140137,2,3,31010107,10,3,31000061,1)","0","90203632","5","1","(3,31061004,1,3,31102202,1,3,31010062,1)","0","100","(76991070,76991071,76991072,76991073)"
"108000002","0","1","90203953","91290623","100","200","100","50","50","(0)","(0)","(0)","(3,31140137,2,3,31010107,10,3,31000061,1)","0","0","5","1","(3,31061004,1,3,31102212,1,3,31010062,1)","0","100","(76991070,76991071,76991072,76991073)"
"108000003","0","1","90203954","91290624","200","300","100","50","50","(0)","(0)","(0)","(3,31140137,2,3,31010107,10,3,31000061,1)","0","0","5","1","(3,31061004,1,3,31102222,1,3,31010062,1)","0","100","(76991070,76991071,76991072,76991073)"
"108000004","0","1","90203955","91290625","300","500","100","20","40","(0)","(0)","(0)","(3,31140137,3,3,31010107,20,3,31000061,1)","90","90203633","5","1","(3,31061005,1,3,31102207,1,3,31010062,1)","0","100","(76991074,76991075,76991076,76991077)"
"108000005","0","1","90203956","91290626","500","700","100","20","40","(0)","(0)","(0)","(3,31140137,3,3,31010107,20,3,31000061,1)","150","0","5","1","(3,31061005,1,3,31102217,1,3,31010062,1)","0","100","(76991074,76991075,76991076,76991077)"
"108000006","0","1","90203957","91290627","700","900","100","20","40","(0)","(0)","(0)","(3,31140137,3,3,31010107,20,3,31000061,1)","210","0","5","1","(3,31061005,1,3,31102227,1,3,31010062,1)","0","100","(76991074,76991075,76991076,76991077)"
"108000007","0","1","90203958","91290628","900","1100","100","20","40","(0)","(0)","(0)","(3,31140137,3,3,31010107,20,3,31000061,1)","270","0","5","1","(3,31061005,1,3,31102237,1,3,31010062,1)","0","100","(76991074,76991075,76991076,76991077)"
"108000008","0","1","90203959","91290629","1100","1300","100","20","40","(0)","(0)","(0)","(3,31140137,3,3,31010107,20,3,31000061,1)","330","0","5","1","(3,31061005,1,3,31102247,1,3,31010062,1)","0","100","(76991074,76991075,76991076,76991077)"
"108000009","0","1","90203960","91290630","1300","1600","100","0","10","(0)","(0)","(0)","(3,31140137,5,3,31010107,30,3,31000061,1)","390","90203634","5","1","(3,31090501,1,3,31102203,1,3,31010062,1)","0","100","(76991078,76991079,76991080,76991081)"
"108000010","0","1","90203961","91290631","1600","1900","100","0","10","(0)","(0)","(0)","(3,31140137,5,3,31010107,30,3,31000061,1)","480","0","5","1","(3,31090501,1,3,31102213,1,3,31010062,1)","0","100","(76991078,76991079,76991080,76991081)"
