"AttributeId","Level","MaxMemNum","MaxJobNum","CreateNeedLevel","CreateNeedMoney","LegionMaintainMoney","RecruitInWorldCD","RemoveRecruitCDCost","ChiefDismissedOfflineHour","MainConstructionIcon","MainConstructionName","MainConstructionLevelUpCostMoney","MainConstructionLevelUpCostItems","MainConstructionDescribe","Construction_1_Icon","Construction_1_Name","Construction_1_LevelUpCostMoney","Construction_1_LevelUpCostItems","Construction_1_Describe","Construction_2_Icon","Construction_2_Name","Construction_2_LevelUpCostMoney","Construction_2_LevelUpCostItems","Construction_2_Describe","Construction_3_Icon","Construction_3_Name","Construction_3_LevelUpCostMoney","Construction_3_LevelUpCostItems","Construction_3_Describe","DonateMoneyCost","DonateMoneyGet","BattleAchievementGet","BattleAchievementGetLimit","DonateMoneyGetContribution","DonateItemsID","DonateItemGetMoney","DonateItemGetBattleAchievement","DonateItemGetBattleAchievementLimit","DonateItemGetContribution","GetContributionScale","BonfireNpcId","BonfireNpcFireBuff","BonfireAdditionNum","MemDailyAwards","LegionBossGetAwardList","CreateNeedVipLevel","CityWarRewardNum","LegionWelfareMaxNum","LegioWelfareItemId","LegioWelfareShowItemIdList","LegionWelfareLowestGiveNum","WorldBossRankWelfareNum","CrossBossRankWelfareNum","LegionBossRankWelfareNum","OverlordRankWelfareNum","CrossOverlordRankWelfareNum","AttackCityWelfareNum"
"38000001","1","40","(10,3)","35","(4,350)","10000","3600","(4,10)","48","91200025","90090132","300000","(200,200,200,200)","90090984","91200026","90090133","150000","(100,100,100,100)","90090985","91200027","90090134","150000","(100,100,100,100)","90090986","91200028","90090135","150000","(100,100,100,100)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301001","(10192001)","0","(31010139,1,31020007,5)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","24","24","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000002","2","45","(10,3)","35","(3,380)","10000","3600","(4,10)","48","91200025","90090132","600000","(400,400,400,400)","90090984","91200026","90090133","300000","(200,200,200,200)","90090985","91200027","90090134","300000","(200,200,200,200)","90090986","91200028","90090135","300000","(200,200,200,200)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301002","(10192002)","20","(31010139,2,31020007,6)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","24","24","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000003","3","50","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","1100000","(750,750,750,750)","90090984","91200026","90090133","550000","(375,375,375,375)","90090985","91200027","90090134","550000","(375,375,375,375)","90090986","91200028","90090135","550000","(375,375,375,375)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301003","(10192003)","40","(31010139,4,31020007,7)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","30","30","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,2,4,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000004","4","55","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","1800000","(1250,1250,1250,1250)","90090984","91200026","90090133","900000","(625,625,625,625)","90090985","91200027","90090134","900000","(625,625,625,625)","90090986","91200028","90090135","900000","(625,625,625,625)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301004","(10192004)","60","(31010139,6,31020007,8)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","30","30","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,2,4,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000005","5","58","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","3000000","(2000,2000,2000,2000)","90090984","91200026","90090133","1500000","(1000,1000,1000,1000)","90090985","91200027","90090134","1500000","(1000,1000,1000,1000)","90090986","91200028","90090135","1500000","(1000,1000,1000,1000)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301005","(10192005)","80","(31010139,8,31020007,9)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","30","30","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,2,4,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000006","6","60","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","4800000","(3000,3000,3000,3000)","90090984","91200026","90090133","2400000","(1500,1500,1500,1500)","90090985","91200027","90090134","2400000","(1500,1500,1500,1500)","90090986","91200028","90090135","2400000","(1500,1500,1500,1500)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301006","(10192006)","100","(31010139,10,31020007,10)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","35","35","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000007","7","62","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","8000000","(5000,5000,5000,5000)","90090984","91200026","90090133","4000000","(2500,2500,2500,2500)","90090985","91200027","90090134","4000000","(2500,2500,2500,2500)","90090986","91200028","90090135","4000000","(2500,2500,2500,2500)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301007","(10192007)","120","(31010139,12,31020007,11)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","35","35","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000008","8","64","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","14400000","(9000,9000,9000,10000)","90090984","91200026","90090133","7200000","(4500,4500,4500,5000)","90090985","91200027","90090134","7200000","(4500,4500,4500,5000)","90090986","91200028","90090135","7200000","(4500,4500,4500,5000)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301008","(10192008)","140","(31010139,14,31020007,12)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","40","40","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000009","9","66","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","24000000","(15000,15000,15000,15000)","90090984","91200026","90090133","12000000","(7500,7500,7500,7500)","90090985","91200027","90090134","12000000","(7500,7500,7500,7500)","90090986","91200028","90090135","12000000","(7500,7500,7500,7500)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301009","(10192009)","160","(31010139,16,31020007,13)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","40","40","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000010","10","68","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","40000000","(25000,25000,25000,25000)","90090984","91200026","90090133","20000000","(12500,12500,12500,12500)","90090985","91200027","90090134","20000000","(12500,12500,12500,12500)","90090986","91200028","90090135","20000000","(12500,12500,12500,12500)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301010","(10192010)","180","(31010139,18,31020007,14)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","40","40","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,2,4,6,1,7,9,1)"
"38000011","11","70","(10,3)","35","(2,2000000)","10000","3600","(4,10)","48","91200025","90090132","0","(0,0,0,0)","90090984","91200026","90090133","0","(0,0,0,0)","90090985","91200027","90090134","0","(0,0,0,0)","90090986","91200028","90090135","0","(0,0,0,0)","90090987","(2,10000)","500","50","2000","50","(31000023,31000024,31000026,31000025)","(200,200,200,200)","(20,20,20,20)","2000","(20,20,20,20)","(20,5,20,0.5,0.00005,0.05)","76301011","(10192011)","200","(31010139,20,31020007,15)","(76300000,300,76300001,300,76300002,300,76300003,300,76300004,300,76300005,300,76300006,300)","0","40","40","31090605","(31051010,31000051,31020008,31020002,31000011,31010139)","2000","(1,9,1)","(1,9,1)","(1,3,3,4,6,2,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,5,4,6,3,7,9,1)","(1,3,2,4,6,1,7,9,1)"
