"AttributeId","UnlockLevel","Buff","Name","Icon","Describe","UpLevelCost1","UpLevelCost2","UnlockContribution"
"128000001","1","10180001","90090930","91200301","90090940","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000002","2","10180002","90090931","91200302","90090941","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000003","3","10180003","90090932","91200303","90090942","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000004","4","10180004","90090933","91200304","90090943","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000005","5","10180005","90090934","91200305","90090944","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000006","6","10180006","90090935","91200306","90090945","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000007","7","10180007","90090936","91200307","90090946","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000008","8","10180008","90090937","91200308","90090947","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000009","9","10180009","90090938","91200309","90090948","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
"128000010","10","10180010","90090939","91200310","90090949","(15,500,50)","(2,2000,50)","(20,2000,50,5000,100,8000,200,12000,300,24000,450,48000,600,96000,800,1920000,900,3840000,999,7680000)"
