"AttributeId","DropId","MoneyList"
"79000001","70100001","(2,50)"
"79000002","70100002","(2,75)"
"79000003","70100003","(2,100)"
"79000004","70100004","(2,125)"
"79000005","70100005","(2,150)"
"79000006","70100006","(2,175)"
"79000007","70100007","(2,200)"
"79000008","70100008","(2,225)"
"79000009","70100009","(2,250)"
"79000010","70100010","(2,275)"
"79000011","70100011","(2,300)"
"79000012","70100012","(2,325)"
"79000013","70100013","(2,350)"
"79000014","70100014","(2,375)"
"79000015","70100015","(2,400)"
"79000016","70100016","(2,425)"
"79000017","70100016","(2,450)"
"79000018","70100016","(2,475)"
"79000019","70100016","(2,500)"
"79000020","70100016","(2,525)"
"79000021","70100016","(2,550)"
"79000022","70100016","(2,575)"
"79000023","70100016","(2,600)"
"79000024","70100016","(2,625)"
"79000025","70100016","(2,650)"
"79000026","70100016","(2,675)"
"79000027","70100016","(2,700)"
"79000028","70100016","(2,725)"
"79000029","70100016","(2,750)"
"79000030","70100016","(2,775)"
"79000031","70100016","(2,800)"
"79000032","70100016","(2,825)"
"79000033","70100016","(2,850)"
"79100001","70200001","(2,100)"
"79100002","70200002","(2,150)"
"79100003","70200003","(2,200)"
"79100004","70200004","(2,250)"
"79100005","70200005","(2,300)"
"79100006","70200006","(2,350)"
"79100007","70200007","(2,400)"
"79100008","70200008","(2,450)"
"79100009","70200009","(2,500)"
"79100010","70200010","(2,550)"
"79100011","70200011","(2,600)"
"79100012","70200012","(2,650)"
"79100013","70200013","(2,700)"
"79100014","70200014","(2,750)"
"79100015","70200015","(2,800)"
"79100016","70200016","(2,850)"
"79100017","70200016","(2,900)"
"79100018","70200016","(2,950)"
"79100019","70200016","(2,1000)"
"79100020","70200016","(2,1050)"
"79100021","70200016","(2,1100)"
"79100022","70200016","(2,1150)"
"79100023","70200016","(2,1200)"
"79100024","70200016","(2,1250)"
"79100025","70200016","(2,1300)"
"79100026","70200016","(2,1350)"
"79100027","70200016","(2,1400)"
"79100028","70200016","(2,1450)"
"79100029","70200016","(2,1500)"
"79100030","70200016","(2,1550)"
"79100031","70200016","(2,1600)"
"79100032","70200016","(2,1650)"
