"AttributeId","PlayType","NeedEnergy","Icon","Title","Content","ExIcon","BossId","BornX","BornY","BornZ","BornYaw","BornPitch","BornRoll"
"84000001","1","10","","","","","(76080001)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000002","1","20","","","","","(76080002)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000003","1","35","","","","","(76080003)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000004","1","50","","","","","(76080004)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000005","1","10","","","","","(76080005)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000006","1","20","","","","","(76080006)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000007","1","35","","","","","(76080007)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000008","1","50","","","","","(76080008)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000009","1","10","","","","","(76080009)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000010","1","20","","","","","(76080010)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000011","1","35","","","","","(76080011)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000012","1","50","","","","","(76080012)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000013","1","10","","","","","(76080013)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000014","1","20","","","","","(76080014)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000015","1","35","","","","","(76080015)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000016","1","50","","","","","(76080016)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000017","1","10","","","","","(76080017)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000018","1","20","","","","","(76080018)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000019","1","35","","","","","(76080019)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000020","1","50","","","","","(76080020)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000021","1","10","","","","","(76080021)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000022","1","20","","","","","(76080022)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000023","1","35","","","","","(76080023)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
"84000024","1","50","","","","","(76080024)","(25305,25305,25305,25305,0)","(17435,17435,17435,17435,0)","(772,772,772,772,0)","(90,90,90,90,0)","(0,0,0,0,0)","(0,0,0,0,0)"
