"AttributeId","PointAry","SafeName","IsAllowPK","Priority","BackgroundMusic","AreaType","DependentTerritory","MissionId"
"74000001","(26811,12369,26811,36522,3554,36522,3554,11659)","90052001","0","3","","2","",""
"74000011","(6924,45293,28701,45293,28701,66862,7014,66862)","90052003","0","3","91920012","2","","15000632"
"74000021","(6924,45293,28701,45293,28701,66862,7014,66862)","90052003","0","3","","2","",""
"74000031","(39950,49880,39950,85259,87856,85259,87856,49974)","90052004","0","3","91920005","2","",""
"74000041","(7199,92937,14465,84067,32381,97939,25400,107349)","90052005","1","3","","0","",""
"74000051","(0,86584,28571,86584,28571,113412,0,113412)","90052006","1","2","","0","121000004",""
"74000061","(19447,103266,10316,113533,376,104751,9486,94449)","90052007","1","3","","0","",""
"74000071","(33520,33207,51439,33207,51439,45153,33654,45153)","90052008","0","3","","3","",""
"74000081","(58475,13811,82898,21868,73421,43343,49847,31672)","90052009","1","3","","0","121000001",""
"74000091","(58475,13811,64612,0,89892,7748,82898,21868)","90052010","1","3","","0","",""
"74000101","(94670,7415,121343,17146,108004,53628,81405,43958)","90052011","1","2","","0","121000003",""
"74000111","(103149,29061,98114,22956,103467,13841,108878,22232)","90052012","1","3","","0","",""
"74000121","(100294,43093,102579,34781,110640,38372,106246,46131)","90052013","1","3","","0","",""
"74000131","(44732,93753,69000,90492,71218,103104,48907,109149)","90052014","1","3","","0","121000002",""
"74000141","(48907,109149,57519,107627,61520,116021,53691,116542)","90052015","1","3","","0","",""
"74000151","(57519,107627,61520,116021,78133,110193,71218,103104)","90052016","1","3","","0","",""
"74000161","(1580,136420,17030,123050,33790,137510,17080,150970)","90052082","1","1","","0","121000005",""
"74000171","(730,163440,32910,151860,45460,182580,26060,198910)","90052085","1","1","","0","121000007",""
"74000181","(39210,121440,60780,123860,60650,142370,38700,145560)","90052083","1","1","","0","121000008",""
"74000191","(60650,142370,77880,153600,72650,179900,50570,175820,49170,146460)","90052086","1","1","","0","",""
"74000201","(79160,145430,92430,144290,89370,118500,68180,128840)","90052084","1","1","","0","121000006",""
"74000211","(91440,149450,112940,154790,95110,179440,80430,167060)","90052087","1","1","","0","121000009",""
"74000221","(62150,227000,86950,207970,69750,188520,43200,194280)","90052088","1","1","","0","",""
"74000231","(170060,195410,195550,194780,215730,159900,199470,147700,169900,160210)","90052089","1","1","","0","121000010",""
"74000241","(140020,146910,160510,110310,180070,112970,171000,156300)","90052090","1","1","","0","121000011",""
"74000251","(116870,157080,114680,191500,162700,191810,161770,168190,136890,151450)","90052091","1","1","","0","121000012",""
"74000261","(116560,143160,136890,140660,128290,100770,105770,110620)","90052092","1","1","","0","121000013",""
"74000271","(189300,140660,229660,140660,229540,107810,189140,111250)","90052093","1","1","","0","121000014",""
"74000281","(112060,95180,142100,95480,139230,55330,116130,55030)","90052094","1","1","","0","121000015",""
"74000291","(123460,41950,153400,51270,165300,39070,152810,9920,127430,13690)","90052095","1","1","","0","121000016",""
"74000301","(173920,54140,209720,53450,209810,14980,174520,13990)","90052096","1","1","","0","121000017",""
"74000311","(209810,14980,220720,35010,237870,38380,248380,17560,219730,6350)","90052097","1","1","","0","121000018",""
"74000321","(229050,103420,248560,93960,234680,51830,198170,73140)","90052098","1","1","","0","121000019",""
"74000331","(163820,105090,196260,92290,171120,57220,150300,68590)","90052099","1","1","","0","121000020",""
"74000341","(-2892,6937,68245,-9955,117870,17628,97149,84146,66133,119913,-4344,111598)","90050004","1","1","91920007","0","",""
"74000351","(654,122197,93702,119506,113247,160861,65519,226434,-4302,166385)","90050005","1","1","91920010","0","",""
"74000361","(105882,104211,230372,107185,207712,193152,113672,185504)","90050006","1","1","91920015","0","",""
"74000371","(118002,8521,245627,5089,245759,102095,111139,99192)","90050007","1","1","91920018","0","",""
"74000381","(653,-1399,247957,10085,246170,99410,197679,194606,106312,186694,63946,226508,-1388,175465)","90052100","1","1","91920004","0","",""
"74000391","(23957,25550,24376,25125,24381,25969,24801,25565)","90054089","0","3","","3","",""
"74000400","(1120,5850,31090,6030,31090,32090,1010,32090)","90050234","1","1","","1","",""
"74000401","(14481,18310,14946,17282,15990,16861,17056,17312,17477,18370,17026,19437,15968,19865,14901,19399)","90054089","0","3","","3","",""
"74000411","(14481,18310,14946,17282,15990,16861,17056,17312,17477,18370,17026,19437,15968,19865,14901,19399)","90054089","0","3","","3","",""
"74000420","(92210,-3610,18650,-3490,18990,17560,-2210,17750)","90050215","1","1","","1","",""
"74000421","(3400,4600,4900,6100,6400,4600,4900,3100)","90054089","0","1","","3","",""
"74000422","(9800,4600,11300,6100,12800,4600,11300,3100)","90054089","0","1","","3","",""
"74000423","(3400,11060,4900,12560,6400,11060,4900,9560)","90054089","0","1","","3","",""
"74000424","(9800,11060,11300,12560,12800,11060,11300,9560)","90054089","0","1","","3","",""
"74000425","(2050,5880,36520,5510,35770,37380,3930,37380)","90050179","1","1","","1","",""
"74000426","(26180,18530,27840,16720,29560,18370,27460,19960)","90054089","0","2","","3","",""
"74000427","(19450,27560,22220,27810,21900,30890,19610,30860)","90054089","0","2","","3","",""
"74000428","(14110,16900,17750,17210,16240,20030,14050,19150)","90054089","0","2","","3","",""
"74000429","(80000,87000,80000,1,1,1,1,87000)","90202842","0","1","","1","",""
"74000430","(32220,39600,28460,39820,28190,36540,31910,36090)","90054089","0","2","","3","",""
"74000431","(8935,11010,12835,11010,12835,15110,8935,15110)","90054089","0","2","","3","",""
"74000432","(46,2192,46,16000,21831,16000,21831,2192)","90054089","1","1","","1","",""
"74000433","(26265,66638,22071,66638,21937,62327,26233,62558)","90054089","0","2","","3","",""
"74000434","(37516,41560,11489,41560,36701,67161,11489,67287)","90203714","1","1","","1","",""
