"AttributeId","Type","SubType","WorldID","IslandId","Order","MapLevel","IsGuideMap","MapName","Description","Res","MiniMapId","FubenIcon","FubenBgImg","FubenAssessment","NpcPointId","MaxPlayerCount","MinNextLine","BornLocation","BornRotation","RandomBormLocation","FlyAutoLocation","AutoType","AutoLocation","MonsterBrushId","AwardBrushId","BigAward","SpecialAward","BrushMaxCount","MapPlayId","OnlineAward","OfflineAward","NextMapId","TreasureNpcId","TreasureMaxCount","TreasureDropId","TreasureRefrushBoss","TreasureMultipleMax","BossBrushId","SearchRefrushBossValue","TransportPrice","MapStartX","MapStartY","MapEndX","MapEndY","TowerWidth","TowerLength","SeeAllNpc","ReenterCD","RelivePoint","SafePoint","MapFirstBuffIdArray","MapBuffIdArray","MapBuffSlowIdArray","IsAllowPK","MustUseWing","BeginJoinTime","EndJoinTime","BeginMapTime","EndMapTime","EnterWeek","BeginCanJoin","EnterLevel","EnterVIPLevel","UnLockMissionID","EnterRaidCostItem","MoppingUpCostItem","Preconditions","UnlockCondition","Difficulty","DifficultyName","EnterCount","GroupType","ConsumeEnterCounterCond","HaveExtraEnterWay","ExtraBuyCount","ExtraBuyCountNeedMoney","ExtraBuyCountNeedMoneyStr","ExtraEnterCount","ExtraEnterNeedMoney","MPPanelType","InfoPanelType","WinCond","SettleLevelType","SettleLevelDropIdArr","TimeBegin","AutoTransferTime","TimeRequire","TriggerList","RecommandFightingPower","MoppingUpUnlockCond","ProtectNpc","BossID","PlotTips","DropItems","DropItemsNum","ResultDialogType","ResultDialogPopDelayTime","ResultDialogLiveTime","RandomAwardItems","FirstWinAwardDropId","FirstWinAwardItems","FirstWinAwardItemsNum","FirstWinAwardMoney","RewardSettlementType","AwardItems","AwardItemsNum","AwardMoneyFactor","AwardMoney","AssistAwardItems","MoppingUpRandomAwardItems","MoppingUpAwardMoney","MoppingUpTime","DefaultPkMode","BackgroundMusic","MapWidgetJumpArray","HpOperateWhenIn","HpOperateWhenOut","MapReviveType","AutoReviveCD","DeadToLiveCD","DistanceOfShowHeadPanel","BestRecordOrderType","Noticeld","ExpTitleIcon","IsSceneCamera","RaidWinCharacterRotation","RaidWidgetLocation","RaidBossAniParams","EnterGradeLevel","RecommendLevel","CaptainRewardItems","NotCanRevive","NextRefreshTime","BreakLineLogin","ReviveEndClearTarget","LoginEndAutoFight","VipEnterSceneBuff","HookWaitTime","NeedFightLeaveSafe","JoinTopTip","CameraData","VipMoppingConfig","VipMoppingDrop"
"71000001","41","","","","","","0","90050004","","91300001","(72000001,72000002,72000003,72000004)","","","","82010001","2000","0","(23145,13645,212)","(0,0,-35)","","(0,0,0)","0","","","","","","","","","79000001","","","","","","","","","(1,0)","0","0","327670","327670","2560","2560","","","(18439,32726,2239,0,0,-35,58140,80389,2828,0,0,-90,20417,98412,268,0,0,-45,72557,31365,2326,0,0,-45,95684,22105,688,0,0,-45,54097,107896,1656,0,0,-45,27547,135756,1248,0,0,160,32926,15976,2597,0,0,130,41290,134900,1840,0,0,0,51888,169620,1529,0,0,-20,80131,132365,639,0,0,-70,100133,165631,659,0,0,-160,55935,193136,5595,0,0,20,200393,151631,4593,0,0,120,157706,128811,1782,0,0,30,157354,178730,2121,0,0,-140,117924,113003,1671,0,0,-50,210011,128587,3038,0,0,120,126672,70908,1083,0,0,30,141764,30222,795,0,0,0,192974,39170,3289,0,0,-20,219988,18558,3999,0,0,0,213492,80982,1839,0,0,-90,159668,76756,1639,0,0,-50)","(74000001,74000011,74000021,74000031,74000041,74000051,74000061,74000071,74000081,74000091,74000101,74000111,74000121,74000131,74000141,74000151,74000161,74000171,74000181,74000191,74000201,74000211,74000221,74000231,74000241,74000251,74000261,74000271,74000281,74000291,74000301,74000311,74000321,74000331,74000341,74000351,74000361,74000371,74000381)","","","","1","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","0","0","","","","0","","","","0","","0","0","","","","0","","0","","(0)","","","","0","0","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","0","0","","0","","","","0","0","0","","","","","","","","","0","","","","","0","-1","","","0","1","0","30","15","2000","0","","","","","","","","","","","","","","","","","","","","",""
"71000002","1","","","","","","0","90050004","90054001","91300001","(72000101,72000102,72000103,72000104,72000105,72000001,72000002,72000003,72000004)","","","","82010001","460","","(19260,40979,212)","(0,0,-45)","","(0,0,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","248000","248000","2000","2000","","","(28914,36231,452,0,0,0)","(74000001,74000002)","","","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","0","","","","","0","","","","0","","0","0","","","","0","","1","","(0)","","","","0","0","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","0","0","","0","","","","0","0","0","","","","","","","","","0","","","","","0","-1","91920003","","0","1","0","30","15","2000","0","","","","","","","","","","","","","","","","","","","","",""
"71010001","6","","","","","","0","90050035","90054003","91310033","(72012100,0)","91231148","91231071","","0","40","","(12576,24794,87,0)","(0,0,-90)","","(12576,24794,87,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","26000","26000","20000","20000","","","(12570,18700,44)","","","(10090003,0)","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","90","","","","","0","117000019","0","","1","","2","0","","","","0","","1","(2)","(1)","(0,420,300)","","","10","600","(81002001,81002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","15200","0","","76040002","","(31000028,31000029,31080052,31080051)","(0,0,0,0,0)","0","5","10","70060005","","","","","","","","0","","(31010179,5)","","","0","0","91920022","(-1,-1,92300004,1,-1)","1","1","1","30","15","50000","2","","91240638","","","","","","","(31010179,5)","","","","","","","","","","","",""
"71010002","26","3","","","2","","0","90050035","90054003","91310033","(72012100,0)","91231148","91231071","","0","40","","(13500,13650,4500,0)","(0,0,85)","","(13418,10763,4600,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","100000","100000","30000","30000","","","(13500,13650,4500,0)","","","(10090003,0)","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","130","","","","","0","117000019","0","","2","71010002","2","1","(0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2)","(4,100,4,150)","(""0-4-100-4-150"",""1-4-100-4-150"",""2-4-100-4-150"",""3-4-100-4-150"",""4-4-100-4-150"",""5-4-100-4-150"",""6-4-100-4-150"",""7-4-100-4-150"",""8-4-100-4-150"")","0","(4,50)","1","(1,4,2)","(1)","(0,120,75)","(70025082,70025062,70025063)","","30","720","(81002001,81002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","0","","76040002","","(31000028,31000029,31000027,31000105,31000108)","(0,0,0,0,0)","0","5","10","70060005","","","","","","","","0","","(31010179,5)","","","0","0","91920022","(-1,-1,92300003,3,-1)","1","1","1","30","15","50000","2","93000034","91240638","","","","","","","(31010179,5)","","","","","","(0,0,0,0,10520100,10520100,10520101,10520101,10520101,10520101,10520101,10520101,10520101,10520101,10520101,10520101,10520101)","","","","","(210,5)","(70025082,70025062,70025063)"
"71010003","-1","","","","","","0","90050035","90054003","91310033","(72012101,0)","91231148","91231071","","0","40","","(13418,10763,4600,0)","(0,0,85)","","(13418,10763,4600,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","100000","100000","30000","30000","","","(13418,10763,4600,0)","","","(10090003,0)","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","90","","","","","71010002","117000019","-1","","2","71010002","1","0","","","","0","(4,50)","1","(1,4,2)","(1)","(0,480,300)","","","10","720","(81002003,81002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","0","","76040102","","(31000027,31000028,31000029,31000105,31000106)","(0,0,0,0,0)","0","5","10","70060005","","","","","","","","0","","(31010179,5)","","","0","0","91920022","(-1,-1,92300004,1,-1)","1","1","1","30","15","50000","2","93000034","91240638","","","","","","","(31010179,5)","","","","","","","","","","","",""
"71010004","-1","","","","","","0","90050035","90054003","91310033","(72012102,0)","91231148","91231071","","0","40","","(13418,10763,4600,0)","(0,0,85)","","(13418,10763,4600,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","100000","100000","30000","30000","","","(13418,10763,4600,0)","","","(10090003,0)","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","90","","","","","71010003","117000019","-1","","2","71010002","1","0","","","","0","(4,50)","1","(1,4,2)","(1)","(0,480,300)","","","10","720","(81002005,81002006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","0","","76040202","","(31000027,31000028,31000029,31000105,31000106)","(0,0,0,0,0)","0","5","10","70060005","","","","","","","","0","","(31010179,5)","","","0","0","91920022","(-1,-1,92300004,1,-1)","1","1","1","30","15","50000","2","93000034","91240638","","","","","","","(31010179,5)","","","","","","","","","","","",""
"71010005","-1","","","","","","0","90050035","90054003","91310033","(72012103,0)","91231148","91231071","","0","40","","(13418,10763,4600,0)","(0,0,85)","","(13418,10763,4600,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","100000","100000","30000","30000","","","(13418,10763,4600,0)","","","(10090003,0)","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","90","","","","","71010004","117000019","-1","","2","71010002","1","0","","","","0","(4,50)","1","(1,4,2)","(1)","(0,480,300)","","","10","720","(81002007,81002008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","0","","76040302","","(31000027,31000028,31000029,31000105,31000106)","(0,0,0,0,0)","0","5","10","70060005","","","","","","","","0","","(31010179,5)","","","0","0","91920022","(-1,-1,92300004,1,-1)","1","1","1","30","15","50000","2","93000034","91240638","","","","","","","(31010179,5)","","","","","","","","","","","",""
"71010006","-1","","","","","","0","90050035","90054003","91310033","(72012104,0)","91231148","91231071","","0","40","","(13418,10763,4600,0)","(0,0,85)","","(13418,10763,4600,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","100000","100000","30000","30000","","","(13418,10763,4600,0)","","","(10090003,0)","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","90","","","","","71010005","117000019","-1","","2","71010002","1","0","","","","0","(4,50)","1","(1,4,2)","(1)","(0,480,300)","","","10","720","(81002009,81002010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","0","","76040402","","(31000027,31000028,31000029,31000105,31000106)","(0,0,0,0,0)","0","5","10","70060005","","","","","","","","0","","(31010179,5)","","","0","0","91920022","(-1,-1,92300004,1,-1)","1","1","1","30","15","50000","2","93000034","91240638","","","","","","","(31010179,5)","","","","","","","","","","","",""
"71010100","5","","","","","","0","90052124","","91310052","(72000200,0)","","","","82013100","2000","0","(43638,16797,2100)","(0,0,-35)","","(0,0,0)","0","","","","","","","","","","","","","","","","","","(1,0)","0","0","248000","248000","2000","2000","","","(43569,16686,3125,0,0,-30,47300,33646,610,0,0,0,55098,30265,1080,0,0,-40,41409,32001,410,0,0,30,38062,40067,1131,0,0,0,49835,54574,1110,0,0,40,71230,59239,2405,0,0,-110,93812,45950,2660,0,0,-140,71858,37618,710,0,0,149,62637,47305,1433,0,0,-169,77901,72550,2230,0,0,-75,64603,70625,2065,0,0,-159,52455,75614,2620,0,0,30,58050,89800,1618,0,0,-139,50905,94554,1110,0,0,-80,33500,76096,1180,0,0,30,50032,66853,1620,0,0,-40,87096,89821,1445,0,0,20,93015,87932,1080,0,0,120,75470,91015,141,0,0,120,79828,78353,832,0,0,-20)","(74000476,74000435,74000436,74000437,74000438,74000439,74000440,74000441,74000442,74000443,74000444,74000445,74000446,74000447,74000448,74000449,74000450,74000451,74000452,74000453,74000454,74000455)","","","","1","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","0","0","15001515","","","0","","","","0","","0","0","","","","0","","0","","(0)","","","","0","0","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","0","0","","0","","","","0","0","0","","","","","","","","","0","","","","","0","-1","","","0","1","0","30","15","2000","0","","","","","","","","","","","","","","","","","","","","",""
"71020001","3","","","","1","","0","90050019","90054007","91310005","(72001101,0)","91231006","91231057","(90050023,2,90050022,2)","0","40","","(16589,18220,-5061,0)","(0,0,-90)","","(16589,18220,-5061,0)","3","","","","","","","","","","","","","","","","","","(1,0)","0","0","100000","100000","10000","10000","","","(100,100,100,20,30,40)","","","(10090003,0)","","0","","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""9999-0-0 0:0:0"",""9999-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(""0-0-0 0:0:0"",""0-0-0 0:0:0"")","(0,0,0,0,0,0,0)","1","30","","","","(31000086,1)","","","0","90096079","3","71020001","2","1","(0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5)","(4,10,4,20,4,30,4,40,4,50)","(""0-4-10-4-20-4-30-4-40-4-50"",""1-4-10-4-20-4-30-4-40-4-50"",""2-4-10-4-20-4-30-4-40-4-50"",""3-4-10-4-20-4-30-4-40-4-50"",""4-4-10-4-20-4-30-4-40-4-50"",""5-4-10-4-20-4-30-4-40-4-50"",""6-4-10-4-20-4-30-4-40-4-50"",""7-4-10-4-20-4-30-4-40-4-50"",""8-4-10-4-20-4-30-4-40-4-50"")","0","(4,5)","1","(1,4)","(1)","(0,190,60)","(70010021,70025085,70025086)","","10","600","(81000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","10000","60","","76010102","","(31081061,31010060)","(0,0,0)","0","5","10","70010216","","(31000086)","(2)","","","","","0","","","70025086","-1","0","-1","91920006","(-1,-1,92300002,0,-1)","1","1","0","30","15","2000","2","93000034","91240637","","","","(1.5,4.5)","","","","","","","","","","","","(1,90306037)","","",""
