"AttributeId","MarkType","NameStringId","NpcId","RegionLevel","MapGoalX","MapGoalY","MapGoalZ","MiniMapX","MiniGoalY","MiniGoalZ","NpcPriority","IfShow","MissionId","SafePoint"
"73000001","3","90050041","","","67260","32970","260","67260","32970","260","5","1","",""
"73001001","1","90041001","76000142","","15311","19739","2238","15311","19739","2238","1","0","",""
"73001002","1","90041002","76000143","","21354","30237","2178","21354","30237","2178","1","0","",""
"73001003","1","90041003","76000144","","20540","31306","2158","20540","31306","2158","1","0","",""
"73001004","1","90041006","76000147","","15931","22817","2248","15931","22817","2248","1","0","",""
"73001005","1","90041007","76000148","","21207","31588","2168","21207","31588","2168","1","0","",""
"73001006","1","90041008","76000149","","21362","31850","2158","21362","31850","2158","1","0","",""
"73001007","1","90041012","76000153","","15507","19494","2238","15507","19494","2238","1","0","",""
"73001008","1","90041013","76000154","","17570","21820","2248","17570","21820","2248","1","0","",""
"73001009","1","90041014","76000155","","8121","23903","2448","8121","23903","2448","1","0","",""
"73001010","1","90041015","76000156","","21254","16411","3120","21254","16411","3120","1","0","",""
"73001011","1","90041016","76000157","","21879","34493","2168","21879","34493","2168","1","0","",""
"73001012","1","90041017","76000158","","23402","47857","436","23402","47857","436","1","0","",""
"73001013","1","90041018","76000159","","21620","52700","428","21620","52700","428","1","0","",""
"73001014","1","90041019","76000160","","18999","53201","438","18999","53201","438","1","0","",""
"73001015","1","90041020","76000161","","22338","55722","438","22338","55722","438","1","0","",""
"73001016","1","90041021","76000162","","18584","55598","788","18584","55598","788","1","0","",""
"73001017","1","90041022","76000163","","18636","56158","788","18636","56158","788","1","0","",""
"73001018","1","90041023","76000164","","22603","55553","2637","22603","55553","2637","1","0","",""
"73001019","1","90041024","76000165","","20600","57210","428","20600","57210","428","1","0","",""
"73001020","1","90041025","76000166","","24081","58632","438","24081","58632","438","1","0","",""
"73001021","1","90041026","76000167","","24075","58438","448","24075","58438","448","1","0","",""
"73001022","1","90041027","76000168","","20210","59482","438","20210","59482","438","1","0","",""
"73001023","1","90041028","76000169","","27252","61960","438","27252","61960","438","1","0","",""
"73001024","1","90041029","76000170","","27279","62860","438","27279","62860","438","1","0","",""
"73001025","1","90041030","76000171","","60544","20058","2289","60544","20058","2289","1","0","",""
"73001026","1","90041031","76000172","","59152","21828","2274","59152","21828","2274","1","0","",""
"73001027","1","90041032","76000173","","63461","21136","2354","63461","21136","2354","1","0","",""
"73001028","1","90041033","76000174","","70138","26123","2268","70138","26123","2268","1","0","",""
"73001029","1","90041034","76000175","","73255","23581","2291","73255","23581","2291","1","0","",""
"73001030","1","90041035","76000176","","72413","23351","2318","72413","23351","2318","1","0","",""
"73001031","1","90041036","76000177","","73360","30820","2318","73360","30820","2318","1","0","",""
"73001032","1","90041037","76000178","","74040","31260","2318","74040","31260","2318","1","0","",""
"73001033","1","90041038","76000179","","73690","31200","2308","73690","31200","2308","1","0","",""
"73001034","1","90041039","76000180","","73140","31500","2318","73140","31500","2318","1","0","",""
"73001035","1","90041040","76000181","","78154","18204","3808","78154","18204","3808","1","0","",""
"73001036","1","90041041","76000182","","79035","12596","3808","79035","12596","3808","1","0","",""
"73001037","1","90041042","76000183","","73500","12579","3808","73500","12579","3808","1","0","",""
"73001038","1","90041043","76000184","","69874","14981","4751","69874","14981","4751","1","0","",""
"73001039","1","90041044","76000185","","69408","7598","5258","69408","7598","5258","1","0","",""
"73001040","1","90041045","76000186","","73183","7511","5258","73183","7511","5258","1","0","",""
"73001041","1","90041046","76000187","","63980","29330","2318","63980","29330","2318","1","0","",""
"73001042","1","90041047","76000188","","49721","98060","538","49721","98060","538","1","0","",""
"73001043","1","90041048","76000189","","52469","98022","539","52469","98022","539","1","0","",""
"73001044","1","90041049","76000190","","53722","104030","548","53722","104030","548","1","0","",""
"73001045","1","90041050","76000191","","59715","102366","532","59715","102366","532","1","0","",""
"73001046","1","90041051","76000192","","63235","97681","538","63235","97681","538","1","0","",""
"73001047","1","90041052","76000193","","65909","100980","528","65909","100980","528","1","0","",""
"73001048","1","90041053","76000194","","52970","106899","1688","52970","106899","1688","1","0","",""
"73001049","1","90041054","76000195","","55812","108662","1680","55812","108662","1680","1","0","",""
"73001050","1","90041055","76000196","","65678","113709","1688","65678","113709","1688","1","0","",""
"73001051","1","90041056","76000197","","67264","111028","1688","67264","111028","1688","1","0","",""
"73001052","1","90041057","76000198","","59960","96820","538","59960","96820","538","1","0","",""
"73001053","1","90041058","76000199","","94279","45081","988","94279","45081","988","1","0","",""
"73001054","1","90041059","76000200","","95689","42869","1219","95689","42869","1219","1","0","",""
"73001055","1","90041060","76000201","","100940","41830","1268","100940","41830","1268","1","0","",""
"73001056","1","90041061","76000202","","105950","39160","1268","105950","39160","1268","1","0","",""
"73001057","1","90041062","76000203","","105568","40660","1268","105568","40660","1268","1","0","",""
"73001058","1","90041063","76000204","","103969","41005","1268","103969","41005","1268","1","0","",""
"73001059","1","90041064","76000205","","103747","43058","1268","103747","43058","1268","0","0","",""
"73001060","1","90041065","76000206","","99060","38330","1268","99060","38330","1268","1","0","",""
"73001061","1","90041066","76000207","","95630","35490","1268","95630","35490","1268","1","0","",""
"73001062","1","90041067","76000208","","96291","22870","668","96291","22870","668","1","0","",""
"73001063","1","90041068","76000209","","101788","23365","1958","101788","23365","1958","1","0","",""
"73001064","1","90041069","76000210","","101763","23552","1958","101763","23552","1958","1","0","",""
"73001065","1","90041070","76000211","","101522","23405","1958","101522","23405","1958","1","0","",""
"73001066","1","90041071","76000212","","105479","24700","1948","105479","24700","1948","1","0","",""
"73001067","1","90041072","76000213","","106848","22300","1958","106848","22300","1958","1","0","",""
"73001068","1","90041073","76000214","","104290","21540","1948","104290","21540","1948","1","0","",""
"73001069","1","90041074","76000215","","106100","20290","1948","106100","20290","1948","1","0","",""
"73001070","1","90041075","76000216","","105364","16823","2171","105364","16823","2171","1","0","",""
"73001071","1","90041076","76000217","","104422","15247","2283","104422","15247","2283","1","0","",""
