"AttributeId","MiniMapNameResId","MiniMapResId","MiniMapImageStartX","MiniMapImageStartY","MiniMapRealStartX","MiniMapRealStartY","MiniMapImageLenthX","MiniMapImageLenthY","MiniMapRealLenthX","MiniMapRealLenthY","MiniMapBorderPos","MiniMarkIdList","MiniDropItemIdList"
"72000001","90050004","91230000","0","0","-41898","-4215","1280","910","184681","131249","(-100000,-100000,112767,119547)","(73004332,73004375,73004278,73004279,73004280,73004275,73004276,73004277,73004268,73004269,73001197,73001196,73001195,73001194,73001193,73001192,73001191,73001190,73001189,73001188,73001187,73001186,73001185,73001184,73001183,73001182,73001181,73001180,73001179,73001178,73001177,73001176,73001175,73001174,73001173,73001172,73001171,73001170,73001169,73001168,73001167,73001166,73001165,73001164,73001163,73001162,73001161,73001160,73001159,73001158,73001157,73001156,73001155,73001154,73001153,73001152,73001151,73001150,73001149,73001148,73001147,73001146,73001145,73001144,73001143,73001142,73001141,73001140,73001139,73001138,73001135,73001132,73001130,73001127,73001125,73001122,73001121,73001120,73001119,73001118,73001117,73001116,73001115,73001114,73001113,73001112,73001111,73001110,73001109,73001108,73001107,73001106,73001105,73001104,73001103,73001102,73001101,73001100,73001098,73001097,73001096,73001095,73001094,73001093,73001092,73001091,73001090,73001089,73001088,73001087,73001086,73001085,73001084,73001083,73001082,73001081,73001080,73001079,73001078,73001077,73001076,73001075,73001074,73001073,73001072,73001071,73001070,73001069,73001068,73001067,73001066,73001065,73001064,73001063,73001062,73001061,73001060,73001059,73001058,73001057,73001056,73001055,73001054,73001053,73001052,73001051,73001050,73001049,73001048,73001047,73001046,73001045,73001044,73001043,73001042,73001041,73001040,73001039,73001038,73001037,73001036,73001035,73001034,73001033,73001032,73001031,73001030,73001029,73001028,73001027,73001026,73001025,73001024,73001023,73001022,73001021,73001020,73001019,73001018,73001017,73001016,73001015,73001014,73001013,73001012,73001011,73001010,73001009,73001008,73001007,73001006,73001005,73001004,73001003,73001002,73001001)","(31080102)"
"72000002","90050005","91230001","0","0","-36654","103267","1280","910","181681","128986","(-100000,119547,112767,300000)","(73004377,73004274,73004272,73002187,73002186,73002185,73002184,73002183,73002182,73002181,73002180,73002179,73002178,73002177,73002176,73002175,73002174,73002173,73002172,73002171,73002170,73002169,73002168,73002167,73002166,73002165,73002164,73002163,73002162,73002161,73002160,73002159,73002158,73002157,73002156,73002155,73002154,73002153,73002152,73002151,73002150,73002149,73002148,73002147,73002146,73002145,73002144,73002143,73002142,73002141,73002140,73002139,73002138,73002137,73002136,73002135,73002134,73002132,73002129,73002126,73002123,73002120,73002117,73002116,73002115,73002114,73002113,73002112,73002111,73002110,73002109,73002108,73002107,73002106,73002105,73002104,73002103,73002102,73002101,73002100,73002099,73002098,73002097,73002096,73002095,73002094,73002093,73002092,73002091,73002090,73002089,73002088,73002087,73002086,73002085,73002084,73002083,73002082,73002081,73002080,73002079,73002078,73002077,73002076,73002075,73002074,73002073,73002072,73002071,73002070,73002069,73002068,73002067,73002066,73002065,73002064,73002063,73002062,73002061,73002060,73002059,73002058,73002057,73002056,73002055,73002054,73002053,73002052,73002051,73002050,73002049,73002048,73002047,73002046,73002045,73002044,73002043,73002042,73002041,73002040,73002039,73002038,73002037,73002036,73002035,73002034,73002033,73002032,73002031,73002030,73002029,73002028,73002027,73002026,73002025,73002024,73002023,73002022,73002021,73002020,73002019,73002018,73002017,73002016,73002015,73002014,73002013,73002012,73002011,73002010,73002009,73002008,73002007,73002006,73002005,73002004,73002003,73002002,73002001)","(31080102)"
"72000003","90050006","91230002","0","0","75831","83751","1280","910","182391","128810","(112767,103195,300000,300000)","(73004271,73003179,73003178,73003177,73003176,73003175,73003174,73003173,73003172,73003171,73003170,73003169,73003168,73003167,73003166,73003165,73003164,73003163,73003162,73003161,73003160,73003159,73003158,73003157,73003156,73003155,73003154,73003153,73003152,73003151,73003150,73003149,73003148,73003147,73003146,73003145,73003144,73003143,73003142,73003141,73003140,73003139,73003138,73003137,73003136,73003135,73003134,73003133,73003132,73003131,73003130,73003129,73003128,73003127,73003126,73003125,73003124,73003123,73003120,73003117,73003114,73003111,73003108,73003107,73003106,73003105,73003104,73003103,73003102,73003101,73003100,73003099,73003098,73003097,73003096,73003095,73003094,73003093,73003092,73003091,73003090,73003089,73003088,73003087,73003086,73003085,73003084,73003083,73003082,73003081,73003080,73003079,73003078,73003077,73003076,73003075,73003074,73003073,73003072,73003071,73003070,73003069,73003068,73003067,73003066,73003065,73003064,73003063,73003062,73003061,73003060,73003059,73003058,73003057,73003056,73003055,73003054,73003053,73003052,73003051,73003050,73003049,73003048,73003047,73003046,73003045,73003044,73003043,73003042,73003041,73003040,73003039,73003038,73003037,73003036,73003035,73003034,73003033,73003032,73003031,73003030,73003029,73003028,73003027,73003026,73003025,73003024,73003023,73003022,73003021,73003020,73003019,73003018,73003017,73003016,73003015,73003014,73003013,73003012,73003011,73003010,73003009,73003008,73003007,73003006,73003005,73003004,73003003,73003002,73003001)","(31080102)"
"72000004","90050007","91230003","0","0","92153","-9395","1280","910","181858","129523","(112767,-100000,300000,103195)","(73004376,73004378,73004379,73004372,73004373,73004374,73004273,73004270,73004267,73004266,73004265,73004264,73004263,73004262,73004261,73004260,73004259,73004258,73004257,73004256,73004255,73004254,73004253,73004252,73004251,73004250,73004249,73004248,73004247,73004246,73004245,73004244,73004243,73004242,73004241,73004240,73004239,73004238,73004237,73004236,73004235,73004234,73004233,73004232,73004231,73004230,73004229,73004228,73004227,73004226,73004225,73004224,73004223,73004222,73004221,73004220,73004219,73004218,73004217,73004216,73004215,73004214,73004213,73004212,73004211,73004210,73004209,73004208,73004207,73004206,73004205,73004204,73004203,73004202,73004201,73004200,73004199,73004198,73004197,73004196,73004195,73004194,73004193,73004192,73004191,73004190,73004189,73004188,73004187,73004186,73004185,73004184,73004181,73004178,73004175,73004172,73004169,73004166,73004165,73004164,73004163,73004162,73004161,73004160,73004159,73004158,73004157,73004156,73004155,73004154,73004153,73004152,73004151,73004150,73004149,73004148,73004147,73004146,73004145,73004144,73004143,73004142,73004141,73004140,73004139,73004138,73004137,73004136,73004135,73004134,73004133,73004132,73004131,73004130,73004129,73004128,73004127,73004126,73004125,73004124,73004123,73004122,73004121,73004120,73004119,73004118,73004117,73004116,73004115,73004114,73004113,73004112,73004111,73004110,73004109,73004108,73004107,73004106,73004105,73004104,73004103,73004102,73004101,73004100,73004099,73004098,73004097,73004096,73004095,73004094,73004093,73004092,73004091,73004090,73004089,73004088,73004087,73004086,73004085,73004084,73004083,73004082,73004081,73004080,73004079,73004078,73004077,73004076,73004075,73004074,73004073,73004072,73004071,73004070,73004069,73004068,73004067,73004066,73004065,73004064,73004063,73004062,73004061,73004060,73004059,73004058,73004057,73004056,73004055,73004054,73004053,73004052,73004051,73004050,73004049,73004048,73004047,73004046,73004045,73004044,73004043,73004042,73004041,73004040,73004039,73004038,73004037,73004036,73004035,73004034,73004033,73004032,73004031,73004030,73004029,73004028,73004027,73004026,73004025,73004024,73004023,73004022,73004021,73004020,73004019,73004018,73004017,73004016,73004015,73004014,73004013,73004012,73004011,73004010,73004009,73004008,73004007,73004006,73004005,73004004,73004003,73004002,73004001)","(31080102)"
"72000102","90050009","91230102","0","0","25360","26740","1280","910","18710","18710","","(73001101,73001102,73001103,73001104,73001105,73001106,73001107,73001108,73001109,73001110,73001111,73001112,73001113,73001114,73001115,73001116,73001117,73001118,73001119,73001120)","(31080102)"
"72000103","90050038","91230103","0","0","27200","930","1280","910","22050","22050","","(73001201,73001202,73001203,73001204,73001205,73001206,73001207,73001208,73001209,73001210,73001211,73001212,73001213,73001214,73001215,73001216,73001217,73001218,73001219,73001220,73001221,73001222,73001223)","(31080102)"
"72000104","90050040","91230105","0","0","45030","20060","1280","910","17870","17870","","(73001301,73001302,73001303,73001304,73001305,73001306,73001307,73001308,73001309,73001310,73001311,73001312,73001313,73001314,73001315,73001316,73001317,73000001)","(31080102)"
"72000105","90050039","91230104","0","0","45650","39600","1280","910","14240","14240","","(73001401,73001402,73001403,73001404,73001405,73001406,73001407,73001408,73001409,73001410,73001411,73001412,73001413)","(31080102)"
"72000106","90050043","91230106","0","0","6060","46290","1280","910","15840","15840","","(73001501,73001502,73001503,73001504,73001505,73001506,73001507)","(31080102)"
"72000200","90052124","91230102","0","0","-5799","5939","1280","910","135516","103159","(-100000,-100000,1000000,1000000)","(73004901,73004903,73004905,73004906,73004908,73004909,73004912,73004916,73004919,73004920,73004929,73004931,73004932,73004935,73004937,73004380,73004381,73004382,73004383,73004384,73004385,73004386,73004387,73004388,73004389,73004390,73004391,73004392,73004393,73004394,73004395,73004396,73004397,73004398,73004399,73004400,73004401,73004402,73004403,73004404,73004405,73004406,73004407,73004408,73004409,73004410,73004411,73004412,73004413,73004414,73004415,73004416,73004417,73004418,73004419,73004420,73004421,73004422,73004423,73004424,73004425,73004426,73004427,73004428,73004429,73004430,73004431,73004432,73004433,73004434,73004435,73004436,73004437,73004438,73004439,73004440,73004441,73004442,73004443,73004444,73004445,73004446,73004447,73004448,73004449,73004450,73004451,73004452,73004453,73004454,73004455,73004456,73004457,73004458,73004459,73004460,73004461,73004462,73004463,73004464,73004465,73004466,73004467,73004468,73004469,73004470,73004471,73004472,73004473,73004474,73004475,73004476,73004477,73004478,73004479,73004480,73004481,73004482,73003180,73003181,73003182,73003183,73003184,73003185,73003186,73003187,73003188,73003189,73003190,73003191,73003192,73003193,73003194,73003195,73003196,73003197,73003198,73003199,73003200)
","(31080102)"
