"AttributeId","ChapterNum","MaxChapterNum","TotalMissionNum","FirstMissionId","LastMissionId","AttValueArray","ChapterNameId","ChapterDescribeId","ChapterShortDescribeId","TinderID"
"23000001","0","33","22","15000596","15000632","","90002236","90002242","90002287","65000001"
"23000002","1","33","25","15000633","15000661","","90002237","90002243","90002288","65000002"
"23000003","2","33","44","15000664","15000715","","90002238","90002244","90002289","65000003"
"23000004","3","33","43","15000716","15000759","","90002239","90002245","90002290","65000004"
"23000005","4","33","36","15000760","15000795","","90002240","90002246","90002291","65000005"
"23000006","5","33","39","15000796","15000834","","90002241","90002247","90002292","65000006"
"23000007","6","33","30","15000835","15000864","","90002251","90002269","90002293","65000007"
"23000008","7","33","37","15000865","15000901","","90002252","90002270","90002294","65000008"
"23000009","8","33","20","15000902","15000921","","90002253","90002271","90002295","65000009"
"23000010","9","33","35","15000922","15000956","","90002254","90002272","90002296","65000010"
"23000011","10","33","11","15000957","15000968","","90002255","90002273","90002297","65000011"
"23000012","11","33","37","15000969","15001005","","90002256","90002274","90002298","65000012"
"23000013","12","33","7","15001006","15001012","","90002257","90002275","90002299","65000013"
"23000014","13","33","35","15001013","15001047","","90002258","90002276","90002300","65000014"
"23000015","14","33","32","15001048","15001079","","90002259","90002277","90002301","65000015"
"23000016","15","33","34","15001080","15001113","","90002260","90002278","90002302","65000016"
"23000017","16","33","32","15001114","15001145","","90002261","90002279","90002303","65000017"
"23000018","17","33","22","15001146","15001167","","90002262","90002280","90002304","65000018"
"23000019","18","33","45","15001168","15001212","","90002263","90002281","90002305","65000019"
"23000020","19","33","29","15001213","15001242","","90002264","90002282","90002306","65000020"
"23000021","20","33","31","15001243","15001273","","90002265","90002283","90002307","65000021"
"23000022","21","33","30","15001274","15001303","","90002266","90002284","90002308","65000022"
"23000023","22","33","31","15001304","15001334","","90002267","90002285","90002309","65000023"
"23000024","23","33","34","15001335","15001368","","90002268","90002286","90002310","65000024"
"23000025","24","33","18","15001369","15001386","","90410338","","","65000025"
"23000026","25","33","22","15001387","15001408","","90410339","","","65000026"
"23000027","26","33","25","15001409","15001433","","90410340","","","65000027"
"23000028","27","33","22","15001434","15001455","","90410341","","","65000028"
"23000029","28","33","26","15001456","15001481","","90410342","","","65000029"
"23000030","29","33","33","15001482","15001514","","90410343","","","65000030"
"23000031","30","33","107","15001515","15001621","","90410955","","","65000031"
"23000032","31","33","99","15001622","15001720","","90410956","","","65000032"
"23000033","32","33","111","15001721","15001831","","90410957","","","65000033"
