"AttributeId","MissionLibraryType","MissionLibraryArray","FinishAwardType","FinishEXP","FinishGold","AllDoneMoney","AllDoneitem","AllDoneitemShow"
"16000001","0","(15010001,15010002,15010003,15010004)","3","1200","","","(70502077)","(31010039,3,31130408,1)"
"16000002","0","(15010005,15010006,15010007,15010008,15010009,15010010)","3","1200","","","(70502077)","(31010039,3,31130408,1)"
"16000003","0","(15010011,15010012,15010013,15010014,15010015,15010016,15010017,15010018,15010019,15010020)","3","1200","","","(70502077)","(31010039,3,31130408,1)"
"16000004","0","(15010021,15010022,15010023,15010024,15010025,15010026,15010027,15010028,15010029,15010030)","3","1200","","","(70502077)","(31010039,3,31130408,1)"
"16000005","0","(15010031,15010032,15010033,15010034,15010035,15010036,15010037,15010038,15010039,15010040)","3","1200","","","(70502078)","(31010039,3,31130408,1)"
"16000006","0","(15010041,15010042,15010043,15010044,15010045,15010046,15010047,15010048,15010049)","3","1200","","","(70502078)","(31010039,3,31130408,1)"
"16000007","0","(15010050,15010051,15010052,15010053,15010054,15010055,15010056,15010057,15010058,15010059,15010060)","3","1200","","","(70502078)","(31010039,3,31130408,1)"
"16000008","0","(15010061,15010062,15010063,15010064,15010065,15010066,15010067,15010068,15010069)","3","1200","","","(70502078)","(31010039,3,31130408,1)"
"16000009","0","(15010070,15010071,15010072,15010073,15010074,15010075,15010076,15010077,15010078,15010079,15010080)","3","1200","","","(70502078)","(31010039,3,31130408,1)"
"16000010","0","(15010081,15010082,15010083,15010084,15010085,15010086,15010087,15010088,15010089,15010090)","3","1200","","","(70502078)","(31010039,3,31130408,1)"
"16000011","0","(15010091,15010092,15010093,15010094,15010095,15010096,15010097,15010098,15010099,15010100)","3","1200","","","(70502079)","(31010039,3,31130408,1)"
"16000012","0","(15010101,15010102,15010103,15010104,15010105,15010106,15010107,15010109,15010110)","3","1200","","","(70502079)","(31010039,3,31130408,1)"
"16000013","0","(15010111,15010112,15010113,15010114,15010115,15010116,15010117,15010118,15010119,15010120)","3","1200","","","(70502079)","(31010039,3,31130408,1)"
"16000014","0","(15010121,15010122,15010123,15010124,15010125,15010126,15010127,15010128,15010129,15010130)","3","1200","","","(70502079)","(31010039,3,31130408,1)"
"16000015","0","(15010131,15010132,15010133,15010134,15010135,15010136,15010137,15010138,15010139,15010140)","3","1200","","","(70502079)","(31010039,3,31130408,1)"
"16000016","0","(15010141,15010142,15010143,15010144,15010145,15010146,15010147,15010148,15010149,15010150)","3","1200","","","(70502080)","(31010039,3,31130408,1)"
"16000017","0","(15010151,15010152,15010153,15010154,15010155,15010156,15010157,15010158,15010159,15010160)","3","1200","","","(70502080)","(31010039,3,31130408,1)"
"16000018","0","(15010161,15010162,15010163,15010164,15010165,15010166,15010167,15010168,15010169,15010170)","3","1200","","","(70502080)","(31010039,3,31130408,1)"
"16000019","0","(15010171,15010172,15010173,15010174,15010175,15010176,15010177,15010178,15010179,15010180)","3","1200","","","(70502080)","(31010039,3,31130408,1)"
"16000020","0","(15010181,15010182,15010183,15010184,15010185,15010186,15010187,15010188,15010189,15010190)","3","1200","","","(70502080)","(31010039,3,31130408,1)"
"16000021","0","(15010191,15010192,15010193,15010194,15010195,15010196,15010197,15010198,15010199,15010200)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000022","0","(15010201,15010202,15010203,15010204,15010205)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000023","0","(15010206,15010207,15010208,15010209,15010210)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000024","0","(15010211,15010212,15010213,15010214,15010215)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000025","0","(15010216,15010217,15010218,15010219,15010220)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000026","0","(15010221,15010222,15010223)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000027","0","(15010224,15010225,15010226,15010227,15010228,15010229,15010230)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000028","0","(15010231,15010232,15010233,15010234,15010235,15010236,15010237,15010238,15010239,15010240)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000029","0","(15010241,15010242,15010243,15010244,15010245,15010246,15010247,15010248,15010249,15010250)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000030","0","(15010251,15010252,15010253,15010254,15010255,15010256,15010257,15010258,15010259,15010260)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000031","0","(15010261,15010262,15010263,15010264,15010265,15010266,15010267,15010268,15010269,15010270)","3","1200","","","(70502081)","(31010039,3,31130408,1)"
"16000032","0","(15010271,15010272,15010273,15010274,15010275)","3","1200","","","(70502082)","(31010039,3,31130408,1)"
"16000033","0","(15010276,15010277,15010278,15010279,15010280)","3","1200","","","(70502082)","(31010039,3,31130408,1)"
"16000034","0","(15010281,15010282,15010283,15010284,15010285)","3","1200","","","(70502082)","(31010039,3,31130408,1)"
"16000035","0","(15010286,15010287,15010288,15010289,15010290)","3","1200","","","(70502082)","(31010039,3,31130408,1)"
"16000036","0","(15010291,15010292,15010293,15010294,15010295)","3","1200","","","(70502082)","(31010039,3,31130408,1)"
"16000037","0","(15010296,15010297,15010298,15010299,15010300)","3","1200","","","(70502083)","(31010039,3,31130408,1)"
"16000038","0","(15010301,15010302,15010303,15010304,15010305)","3","1200","","","(70502083)","(31010039,3,31130408,1)"
"16000039","0","(15010306,15010307,15010308,15010309,15010310)","3","1200","","","(70502083)","(31010039,3,31130408,1)"
"16000040","0","(15010311,15010312,15010313,15010314,15010315)","3","1200","","","(70502083)","(31010039,3,31130408,1)"
"16000041","0","(15010316,15010317,15010318,15010319,15010320)","3","1200","","","(70502083)","(31010039,3,31130408,1)"
