"AttributeId","MissionShowType","MissionEndType","NeedLevel","ShowLevel","CurChapterIndex","MissionIndexInChapter","MissionName","MissionDescriptionId","GetDialogId","NotFinishDialogID","FinishDialogId","PreMissionId","NextMissionId","GoalNpcKill","GoalMapName","GoalMissionId","FinishMissionNpcId","FinishMissionNpcMapName","MapId","PathFindLocation","CanTransfer","FinishMissionNpcLocation","CreateNpc","HiddenNpc","TransferID","TransferPos","MissionEvent","FinishAwardType","FinishEXP","FinishGold","FinishItemDropId","FinishMoney","ActivateInfoArray","IsNeedMissionHint","FinishItemGetRate","FinishItemNameId","SpecialMissionRequirement","NextSideMissionTriggerId","TriggerSideMissionArray","SideMissionReqMainMissionId","MissionGroupId","FinishTriggerBuffArray","AutoEndDialogTime","HighExperienceIdentity","MissionSucceedEndAuto","ClickIsEndAuto","CanShowMissionEnd","HimSelfSeeNpcId","MissionStateEndAuto","MissionJumpToWidgetPlayAni","TemporaryActivateWing","IsWingFlyMission","HimSelfSeeNpcIdArr"
"15000001","0","77","0","","0","0","90000008","","0","0","0","0","15000002","(0,1)","","0","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000002","0","17","0","","0","0","90000009","","0","0","0","0","15000003","(0,2)","","0","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000003","0","36","0","","0","0","90000010","","0","0","0","0","15000004","(0,5)","","","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000004","0","36","0","","0","0","90000011","","0","0","0","0","15000005","(1,1)","","","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000005","0","31","0","","0","0","90000012","","0","0","0","0","15000006","(0,5)","","","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000006","0","78","0","","0","0","90000013","","0","0","0","0","15000007","(0,1)","","","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000007","0","79","0","","0","0","90000014","","0","0","0","0","15000008","(0,1)","","","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000008","0","80","0","","0","0","90000015","","0","0","0","0","15000009","(0,2)","","","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15000009","0","3","0","","0","0","90000016","","0","0","0","0","0","(71050001,1)","","","","","","","","","","","","","0","1","","","0","(31,5)","","","","","","","","","","","","","","","","","","","","",""
"15010001","1","0","0","","0","0","90007229","90009145","0","0","0","0","0","(76000283,20)","(90052009)","","","0","71000001","(67218,27147,2288)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
