"AttributeId","EquipSlot","StarNum","StarMax","UpgradeAttEach","StarCost","IsOnly","Mount","StarMountLevel","SkillType","SkillId","SkillMountLevel","SlotID","BaseAtt","CanEquipID","ItemGet"
"16200001","","","50","","","","","","0","","","(16201101,16201201,16201301)","","(31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200002","","","50","","","","","","0","","","(16202101,16202201,16202301)","","(31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200003","","","50","","","","","","0","","","(16203101,16203201,16203301)","","(31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200004","","","50","","","","","","0","","","(16204101,16204201,16204301)","","(31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200005","","","50","","","","","","0","","","(16205101,16205201,16205301)","","(31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200006","","","50","","","","","","0","","","(16206101,16206201,16206301)","","(31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200007","","","50","","","","","","1","26020901","(5,0)","(16207101,16207201,16207301)","","(31141009,31141010,31141011,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200008","","","50","","","","","","2","26020902","(5,0)","(16208101,16208201,16208301)","","(31141012,31141013,31141014,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200009","","","50","","","","","","3","26020903","(5,0)","(16209101,16209201,16209301)","","(31141015,31141016,31141017,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200010","","","50","","","","","","4","26020904","(5,0)","(16210101,16210201,16210301)","","(31141018,31141019,31141020,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200011","","","50","","","","","","5","26020905","(5,0)","(16211101,16211201,16211301)","","(31141021,31141022,31141023,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200012","","","50","","","","","","6","26020906","(5,0)","(16212101,16212201,16212301)","","(31141024,31141025,31141026,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200013","","","50","","","","","","7","26020907","(5,0)","(16213101,16213201,16213301)","","(31141027,31141028,31141029,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
