"AttributeId","ShowType","ContentText","LiveTime","OpenWidgetArray","VisibleType","ShowIcon","ChangeIconTime","RobotRespond","AutoRespondIdArray","ParseTypeArrray","LaunchNoticeBossId","NoticeActType"
"93000002","(0)","(90300001)","","","0","(91290135)","","(130000005)","","","",""
"93000001","(0)","(90300002)","","","0","(91290127)","","(130000005)","","","",""
"93000003","(2)","(90300003,90097241)","120","(-1,-1,92290002,0,-1)","0","(91290132)","","(130000001)","","","","4"
"93000004","(2)","(90300004,90097239)","900","(-1,-1,92290002,1,-1)","0","(91290131)","","(130000001)","","","","2"
"93000005","(2)","(90300005,90097244)","3600","(-1,-1,92290007,-1,-1)","0","(91290128)","","(130000003)","","","",""
"93000006","(2)","(90300006,90097243)","900","(-1,-1,92330038,-1,-1)","0","(91290130)","","(130000017)","","","",""
"93000007","(2)","(90300007,90097245)","1200","(-1,-1,92330020,-1,-1)","0","(91290133)","","(130000018)","","","","9"
"93000008","(1,3)","(90300009)","","","0","","","()","","(0)","",""
"93000009","(1,3)","(90300008)","","","0","","","(130000008)","","(0)","",""
"93000010","(3)","(90300010)","","","0","","","(130000024)","","(0,3,2)","",""
"93000011","(1,3)","(90300011)","","","0","","","()","","","",""
"93000012","(1,3)","(90300012)","","","0","","","()","","","",""
"93000013","(3)","(90300013)","","","0","","","(130000032)","","(0,1)","",""
"93000014","(3)","(90300014)","","","0","","","()","","(0,1)","",""
"93000015","(3)","(90300015)","","","0","","","(130000027)","","(0,1,2)","",""
"93000016","(3)","(90300015)","","","0","","","(130000028)","","(0,1,2)","",""
"93000017","(1,3)","(90300016)","","","0","","","(130000012)","","(0,5)","",""
"93000018","(1,3)","(90300017)","","","0","","","()","","(0,5)","",""
"93000019","(3)","(90096423)","","","0","","","()","","(0,2)","",""
"93000020","(1,3)","(90300019)","","","0","","","(130000049)","","(0,3,3,3,3)","",""
"93000021","(1,3)","(90300020)","","","0","","","()","","(0,3,3,3,3)","",""
"93000022","(1,3)","(90300021)","","","0","","","(130000018)","","","",""
"93000023","(1,3)","(90300022)","","","0","","","()","","","",""
"93000024","(0)","(90300023)","0","","0","","","()","","","",""
"93000025","(3)","(90300025)","","","0","","","(130000006)","","(0,2)","",""
"93000026","(3)","(90300026)","","","5","","","(130000000)","","(5,0,1)","",""
"93000027","(3)","(90300027)","","","0","","1","(130000006)","","(0,2)","",""
"93000028","(3)","(90300028)","","","0","","","()","","(0,3,3,3,3)","",""
"93000029","(3)","(90300029)","","","0","","","(130000007)","","(0,2)","",""
"93000030","(4)","(90300030)","","","1","","","(130000008)","(90300125)","(0,5)","",""
"93000031","(3)","(90300031)","","","0","","","(130000006)","","(0,2)","",""
"93000032","(3)","(90300032)","","","0","","","()","","","",""
"93000033","(3)","(90300033)","","","0","","","(130000028)","","(0,3)","",""
"93000034","(1,3)","(90300034)","","","0","","","(130000004)","","(0,4,2,2)","",""
"93000035","(3)","(90300035)","","","0","","","()","","(0,4)","",""
"93000036","(3)","(90300036)","","","0","","","(130000025)","","(0,3,2)","",""
"93000037","(3)","(90300037)","","","0","","","(130000026)","","(0,1)","",""
"93000038","(3)","(90300038)","","","0","","","(130000027)","","(0,1)","",""
"93000039","(3)","(90300039)","","","0","","","(130000030)","","","",""
"93000040","(1,3)","(90300040)","","","0","","","()","","(0,4)","",""
"93000041","(0)","(90300041)","1800","(-1,-1,92290020,-1,-1)","0","(91290134)","","()","","","",""
"93000042","(2)","(90300042,90097240)","1800","(-1,-1,92330036,-1,-1)","1","(91290129)","","(130000015)","","","","3"
"93000043","(1,3)","(90305007)","","","3","","","()","","(0,3,3,3,3)","",""
"93000044","(1,3)","(90305008)","","","3","","","()","","(0,3,3,3,3)","",""
"93000045","(1,3)","(90305009)","","","3","","","()","","(0,3,3,3,3)","",""
"93000046","(1,3)","(90305010)","","","3","","","()","","(0,3,3,3,3)","",""
"93000047","(3,5)","(90300043)","","","1","","","()","","(0)","",""
"93000048","(3,5)","(90300044)","","","1","","","()","","(0)","",""
"93000049","(3,5)","(90300045)","","","1","","","()","","(0,4,4)","",""
"93000050","(3,5)","(90300046)","","","2","","","()","","(0)","",""
"93000051","(3,5)","(90300047)","","","2","","","()","","(0)","",""
"93000052","(3,5)","(90300048)","","","2","","","()","","(0)","",""
"93000053","(1,3)","(90300052)","","","0","","","()","","(5,0)","",""
"93000054","(1,3)","(90300053)","","","0","","","(130000001)","","","",""
"93000055","(1,3)","(90300054)","","","0","","","(130000001)","","","",""
"93000056","(1,3)","(90300055)","","","1","","","()","","(5,0,1)","",""
"93000057","(1,3)","(90300056)","","","0","","","()","","(0)","",""
"93000058","(3)","(90300057)","","","0","","","()","","(2)","",""
"93000059","(2)","(90300077,90097242)","600","(-1,-1,92330007,-1,-1)","0","(91290136)","","()","","","","6"
"93000060","(4)","(90300080)","","","1","","","()","","","",""
"93000061","(1,3)","(90300081)","","","0","","","(130000017)","","(5,5)","",""
"93000062","(3)","(90300082)","","","1","","","(130000016)","","","",""
"93000063","(1,3)","(90300083)","","","1","","","()","","(5,0)","",""
"93000064","(2)","(90300087,90097246)","","(-1,-1,92290004,-1,-1)","3","(91290149,91290150,91290151,91290152,91290153,91290154,91290155)","5","(130000000)","","","",""
"93000065","(2)","(90300088)","","(-1,-1,92290003,-1,-1)","3","(91290141,91290142,91290143,91290144,91290145,91290146,91290147,91290148)","5","(130000000)","","","",""
"93000066","(2)","(90300089)","","(-1,-1,92480009,-1,-1)","3","(91290139)","","()","","","",""
"93000067","(1,3)","(90300108)","","","0","","","()","","(5)","",""
"93000068","(1,3)","(90300109)","","","0","","","()","","(5)","",""
"93000069","(3)","(90300111)","","","0","","","(130000008)","","(0,5)","",""
"93000070","(3)","(90300112)","","","3","","","(130000010)","","(5,2)","",""
"93000071","(3)","(90300113)","","","3","","","(130000009)","","(0)","",""
"93000072","(3)","(90300119)","","","1","","","()","","","",""
"93000073","(3)","(90300120)","","","1","","","()","","","",""
"93000074","(3)","(90300121)","","","0","","","(130000047)","","(0,3)","",""
"93000075","(3)","(90300122)","","","0","","","(130000047)","","(0,3)","",""
"93000076","(1,3)","(90300123)","","","0","","","(130000048)","","(0,5,3)","",""
"93000077","(4)","(90009501)","","","0","","","()","(90300124)","","76110001",""
"93000078","(4)","(90009502)","","","0","","","()","(90300124)","","76110001",""
"93000079","(4)","(90009503)","","","0","","","()","(90300124)","","76110001",""
"93000080","(4)","(90009504)","","","0","","","()","(90300129)","","76110002",""
"93000081","(4)","(90009505)","","","0","","","()","(90300129)","","76110002",""
"93000082","(4)","(90009506)","","","0","","","()","(90300129)","","76110002",""
"93000083","(4)","(90009507)","","","0","","","()","(90300130)","","76110003",""
"93000084","(4)","(90009508)","","","0","","","()","(90300130)","","76110003",""
"93000085","(4)","(90009509)","","","0","","","()","(90300130)","","76110003",""
"93000086","(4)","(90009510)","","","0","","","()","(90300131)","","76110004",""
"93000087","(4)","(90009511)","","","0","","","()","(90300131)","","76110004",""
"93000088","(4)","(90009512)","","","0","","","()","(90300131)","","76110004",""
"93000089","(4)","(90009513)","","","0","","","()","(90300132)","","76110005",""
"93000090","(4)","(90009514)","","","0","","","()","(90300132)","","76110005",""
"93000091","(4)","(90009515)","","","0","","","()","(90300132)","","76110005",""
"93000092","(4)","(90009516)","","","0","","","()","(90300133)","","76110006",""
"93000093","(4)","(90009517)","","","0","","","()","(90300133)","","76110006",""
"93000094","(4)","(90009518)","","","0","","","()","(90300133)","","76110006",""
"93000095","(4)","(90009519)","","","0","","","()","(90300134)","","76110007",""
"93000096","(4)","(90009520)","","","0","","","()","(90300134)","","76110007",""
"93000097","(4)","(90009521)","","","0","","","()","(90300134)","","76110007",""
"93000098","(4)","(90009522)","","","0","","","()","(90300135)","","76110008",""
"93000099","(4)","(90009523)","","","0","","","()","(90300135)","","76110008",""
"93000100","(4)","(90009524)","","","0","","","()","(90300135)","","76110008",""
"93000101","(4)","(90009525)","","","0","","","()","(90300136)","","76120000",""
"93000102","(4)","(90009526)","","","0","","","()","(90300136)","","76120000",""
"93000103","(4)","(90009527)","","","0","","","()","(90300136)","","76120000",""
"93000104","(4)","(90009528)","","","0","","","()","(90300137)","","76120001",""
"93000105","(4)","(90009529)","","","0","","","()","(90300137)","","76120001",""
"93000106","(4)","(90009530)","","","0","","","()","(90300137)","","76120001",""
"93000107","(4)","(90009531)","","","0","","","()","(90300138)","","76120002",""
"93000108","(4)","(90009532)","","","0","","","()","(90300138)","","76120002",""
"93000109","(4)","(90009533)","","","0","","","()","(90300138)","","76120002",""
"93000110","(4)","(90009534)","","","0","","","()","(90300139)","","76120003",""
"93000111","(4)","(90009535)","","","0","","","()","(90300139)","","76120003",""
"93000112","(4)","(90009536)","","","0","","","()","(90300139)","","76120003",""
"93000113","(4)","(90009537)","","","0","","","()","(90300140)","","76120004",""
"93000114","(4)","(90009538)","","","0","","","()","(90300140)","","76120004",""
"93000115","(4)","(90009539)","","","0","","","()","(90300140)","","76120004",""
"93000116","(4)","(90009540)","","","0","","","()","(90300141)","","76120005",""
"93000117","(4)","(90009541)","","","0","","","()","(90300141)","","76120005",""
"93000118","(4)","(90009542)","","","0","","","()","(90300141)","","76120005",""
"93000119","(4)","(90009543)","","","0","","","()","(90300142)","","76120006",""
"93000120","(4)","(90009544)","","","0","","","()","(90300142)","","76120006",""
"93000121","(4)","(90009545)","","","0","","","()","(90300142)","","76120006",""
"93000122","(1,3)","(90300235)","","","0","","","(130000050)","","(0,2,3,3,3,3)","",""
"93000123","(1,3)","(90300236)","","","0","","","(130000046)","","(0,2,3,3,3,3)","",""
"93000124","(1,3)","(90300237)","","","0","","","(130000050)","","(0,2,3,3,3,3)","",""
"93000125","(4)","(90090339)","","","0","","","()","(90300124)","","76110001",""
"93000126","(4)","(90090339)","","","0","","","()","(90300129)","","76110002",""
"93000127","(4)","(90090339)","","","0","","","()","(90300130)","","76110003",""
"93000128","(4)","(90090339)","","","0","","","()","(90300131)","","76110004",""
"93000129","(4)","(90090339)","","","0","","","()","(90300132)","","76110005",""
"93000130","(4)","(90090339)","","","0","","","()","(90300133)","","76110006",""
"93000131","(4)","(90090339)","","","0","","","()","(90300134)","","76110007",""
"93000132","(4)","(90090339)","","","0","","","()","(90300135)","","76110008",""
"93000133","(4)","(90090340)","","","5","","","()","(90300136)","","76120000",""
"93000134","(4)","(90090340)","","","5","","","()","(90300137)","","76120001",""
"93000135","(4)","(90091297)","","","5","","","()","(90300138)","","76120002",""
"93000136","(4)","(90091297)","","","5","","","()","(90300139)","","76120003",""
"93000137","(4)","(90091298)","","","5","","","()","(90300140)","","76120004",""
"93000138","(4)","(90091298)","","","5","","","()","(90300141)","","76120005",""
"93000139","(4)","(90091298)","","","5","","","()","(90300142)","","76120006",""
"93000140","(4)","(90300093)","","","1","","","()","(90300128)","","",""
"93000141","(4)","(90300094)","","","1","","","()","(90300128)","","",""
"93000142","(4)","(90300095)","","","1","","","()","(90300128)","","",""
"93000143","(4)","(90300096)","","","1","","","()","(90300128)","","",""
"93000144","(4)","(90300097)","","","1","","","()","(90300128)","","",""
"93000145","(1,3)","(90300143)","","","","","","","","(0)","",""
"93000146","(3)","(90300144)","","","","","","","","","",""
"93000147","(1,3)","(90300145)","","","","","","","","(0,4,3)","",""
"93000148","(3)","(90300146)","","","","","","","","(0,4,3)","",""
"93000149","(3)","(90300147)","","","","","","","","(0,3,3,3,3)","",""
"93000150","(3)","(90300148)","","","","","","","","(0,3,3,3,3)","",""
"93000151","(3)","(90300149)","","","1","","","","","(0)","",""
"93000152","(3)","(90300150)","","","","","","","","(0,3)","",""
"93000153","(1,3)","(90300151)","","","","","","","","(0,3)","",""
"93000154","(3)","(90300152)","","","3","","","","","(0,2)","",""
"93000155","(3)","(90300153)","","","","","","","","(0,2)","",""
"93000156","(1,3)","(90300154)","","","","","","","","(0,2)","",""
"93000157","(1,3)","(90300155)","","","","","","","","(0,3,2)","",""
"93000158","(1,3)","(90300156)","","","","","","","","(0,1)","",""
"93000159","(1,3)","(90300157)","","","","","","","","(0,1,2)","",""
"93000160","(1,3)","(90300158)","","","","","","","","(0,1)","",""
"93000161","(3)","(90300159)","","","","","","","","(0,4,2)","",""
"93000162","(1,3)","(90300160)","","","","","","","","(0,4,2)","",""
"93000163","(3)","(90300161)","","","","","","","","(0,3,2)","",""
"93000164","(1,3)","(90300162)","","","","","","","","(0,3,2)","",""
"93000165","(1,3)","(90300163)","","","","","","","","(0,3)","",""
"93000166","(1,3)","(90300164)","","","","","","","","(0,1)","",""
"93000167","(1,3)","(90300165)","","","","","","","","(0,1)","",""
"93000168","(1,3)","(90300166)","","","","","","","","(5)","",""
"93000169","(1,3)","(90300167)","","","","","","","","(0,3)","",""
"93000170","(3)","(90300168)","","","","","","","","(0,1,1)","",""
"93000171","(3)","(90300169)","","","","","","","","(0,3,3,3,3)","",""
"93000172","(3)","(90300170)","","","","","","","","(0,3,3,3,3)","",""
"93000173","(3)","(90300171)","","","","","","","","(0,3,3,3,3)","",""
"93000174","(3)","(90300172)","","","","","","","","(0,3,3,3,3)","",""
"93000175","(3)","(90300173)","","","","","","","","(0,3,3,3,3)","",""
"93000176","(3)","(90300174)","","","","","","","","(0,3,3,3,3)","",""
"93000177","(1,3)","(90300175)","","","","","","","","(0,3,2)","",""
"93000178","(1,3)","(90300176)","","","","","","","","(0,4,2,4)","",""
"93000179","(1,3)","(90300177)","","","","","","","","(0,4,2,4)","",""
"93000180","(3)","(90300178)","","","","","","","","(0,4,3)","",""
"93000181","(3)","(90300179)","","","","","","","","(0,4,3)","",""
"93000182","(3)","(90300180)","","","","","","","","(0,4,3)","",""
"93000183","(3)","(90300181)","","","","","","","","(0,4,3)","",""
"93000184","(1,3)","(90300182)","","","","","","","","(0,4,3)","",""
"93000185","(5)","(90090165)","","","3","","","","","","",""
"93000186","(5)","(90090951)","","","3","","","","","","",""
"93000187","(3)","(90095166)","","","","","","","","(0,3,3,3,3)","",""
"93000188","(1,3)","(90095167)","","","","","","","","(0,3,3,3,3)","",""
"93000189","(1,3)","(90300184)","","","5","","","","","(5,5,2)","",""
"93000190","(1,3)","(90300185)","","","","","","","","(5,5,3)","",""
"93000191","(3)","(90300186)","","","3","","","","","(0)","",""
"93000192","(3)","(90300187)","","","1","","","","","(5,2,2)","",""
"93000193","(2)","","","(-1,-1,92150005,-1,-1)","3","(91290157,91290156,91290160,91290159,91290158,91222965,91222837,91290162,91222845,91290161,91293875,91222920,91223091,91222991,91223061,91223097,91293382,91223119,91293433,91293669,91223074,91223103)","","","","","",""
"93000194","(2)","","","(-1,-1,92170004,-1,-1)","3","(91290163,91290164,91290165,91290166,91290167,91290168,91290169,91290170,91290171,91232793,91222866,91222942,91222928,91222952,91222978,91293268,91293661,91290172)","","","","","",""
"93000195","(1,3)","(90300189)","","","","","","","","(5,2,5)","",""
"93000196","(3)","(90300190)","","","1","","","","","(2)","",""
"93000197","(1,3)","(90300191)","","","","","","","","(5,2)","",""
"93000198","(3)","(90300192)","","","1","","","","","(2,2)","",""
"93000199","(3)","(90300197)","","","0","","","(130000000)","","(5,5,0,1)","",""
"93000200","(4)","(90300198)","","","1","","","(130000008)","(90300125)","(0,5,5)","",""
