"AttributeId","MapId","TemplateId","NpcType","PosX","PosY","PosZ","NextPosX","NextPosY","NextPosZ","Roll","Pitch","Yaw","RespawnType","RespawnTime","RespawnPeriod","RespawnByDayArray","IsCreateByMapCreate","Area","SpawnRate","NextSpawnNpcId"
"82010001","71000001","76110001","10","94971","20510","669","0","0","0","0","0","0","2","","","","0","74000081","","82010002"
"82010002","71000001","76110002","10","99060","44380","1258","0","0","0","0","0","0","2","","","","0","74000121","","82010003"
"82010003","71000001","76110003","10","49396","129790","2068","0","0","0","0","0","75","2","","","","0","74000181","","82010004"
"82010004","71000001","76110004","10","67560","154970","1618","0","0","0","0","0","0","2","","","","0","74000191","","82010005"
"82010005","71000001","76110005","10","117140","129452","1829","0","0","0","0","0","0","2","","","","0","74000261","","82010006"
"82010006","71000001","76110006","10","168450","122510","1478","0","0","0","0","0","0","2","","","","0","74000241","","82010007"
"82010007","71000001","76110007","10","138856","21676","1058","0","0","0","0","0","0","2","","","","0","74000291","","82010008"
"82010008","71000001","76110008","10","230970","73480","2218","0","0","0","0","0","-179","2","","","","0","74000321","","82010009"
"82010009","71000001","76110009","10","63855","22836","2598","0","0","0","0","0","0","0","","","","0","74000081","","82010010"
"82010010","71000001","76110010","10","63855","22836","2598","0","0","0","0","0","0","0","","","","0","74000081","","82010011"
"82010011","71000001","76110011","10","63855","22836","2598","0","0","0","0","0","0","0","","","","0","74000081","","82010012"
"82010012","71000001","76110012","10","63855","22836","2598","0","0","0","0","0","0","0","","","","0","74000081","","82010013"
"82010013","71000001","76120003","10","63855","22836","2598","0","0","0","0","0","0","0","","","","0","74000081","","82010014"
"82010014","71000001","76120004","10","63855","22836","2598","0","0","0","0","0","0","0","","","","0","74000081","","82010015"
"82010015","71000001","76120006","10","63855","22836","2598","0","0","0","0","0","0","0","","","","0","74000081","","82010016"
"82010016","71000001","76000142","1","15311","19739","2238","0","0","0","0","0","61","1","3","","","1","","","82010017"
"82010017","71000001","76000143","1","20254","28437","2178","0","0","0","0","0","57","1","3","","","1","","","82010018"
"82010018","71000001","76000144","1","20540","31306","2158","0","0","0","0","0","-18","1","3","","","0","","0","82010019"
"82010019","71000001","76000145","1","12365","21076","2238","0","0","0","0","0","-28","1","3","","","1","","0","82010020"
"82010020","71000001","76000146","1","18732","24474","2218","0","0","0","0","0","64","1","3","","","1","","0","82010021"
"82010021","71000001","76000147","1","15931","22817","2248","0","0","0","0","0","-118","1","3","","","1","","0","82010022"
"82010022","71000001","76000148","1","22000","31200","2168","0","0","0","0","0","176","1","3","","","1","","0","82010023"
"82010023","71000001","76000149","1","21800","31500","2158","0","0","0","0","0","179","1","3","","","1","","0","82010024"
"82010024","71000001","76000150","1","12659","21610","2238","0","0","0","0","0","-28","1","3","","","1","","0","82010025"
"82010025","71000001","76000151","1","6883","24615","2488","0","0","0","0","0","-28","1","2","","","1","","0","82010026"
"82010026","71000001","76000152","1","7100","24490","2468","0","0","0","0","0","-28","1","3","","","1","","0","82010027"
"82010027","71000001","76000153","1","15507","19494","2238","0","0","0","0","0","61","1","3","","","1","","0","82010028"
"82010028","71000001","76000154","1","17570","21820","2248","0","0","0","0","0","-122","1","3","","","1","","0","82010029"
"82010029","71000001","76000155","1","8121","23903","2448","0","0","0","0","0","151","1","3","","","0","","0","82010030"
"82010030","71000001","76000156","1","21254","16411","3120","0","0","0","0","0","147","1","3","","","1","","0","82010031"
"82010031","71000001","76000157","1","21879","34493","2168","0","0","0","0","0","-57","1","3","","","1","","0","82010032"
"82010032","71000001","76004142","1","19700","31910","2168","0","0","0","0","0","156","1","3","","","1","","0","82010033"
"82010033","71000001","76004143","1","20130","32119","2168","0","0","0","0","0","179","1","3","","","1","","0","82010034"
"82010034","71000001","76004144","1","20072","31497","2168","0","0","0","0","0","172","1","3","","","1","","0","82010035"
