"AttributeId","NpcType","SubType","Class","Sex","Level","UseOwnerAtt","UpgradeId","InitLevelInfo","PropertyRatio","PropertyPlus","BornCommunity","BornBuff","BornItem","BornWing","BornMount","BornSpirit","AwardPlay","MultipleDropId","AwardNoticeId","LifeTime","DeadType","DeadFly","MoveLength","MoveTime","MoveAcceleration","DeadTime","ReviveInfo","CorpseTime","DeadExp","DeadExpPlus","DeadExpMode","DeadScore","DeadGloryGlow","BornType","BornTime","Fixed","Capsule","RunSpeed","AiMoveSpeed","IsRide","HpBarNum","BeHurtType","PassiveOrActive","SkillTarget","AttackOther","AttackNpc","CanMove","AttackOne","AttackAllOne","AttackNum","PatrolType","PatrolLength","ViewAngleType","ViewLength","PursuitLength","FollowLength","FollowAttackLength","IsWarn","WarnLength","WarnResId","ExitBattleHp","AiCycle","AiBattleCycle","AiId","DialogId","SkillNormal","SkillCD","SkillHp","SkillHate","SkillWarTime","HateListParam","ItemGetDisplayArray","DropID","RankRewards","LegionWelferaRewards","DropChests","DropChestsPos","InteractionTime","InteractAward","InteractBuff","NpcName","HalfImgRes","HeadImg","ExhibitionHeadImg","ExhibitionBackgroundImg","BornLocation","BornRotation","BornScale","MeshUnitRes","UnitRes","EffectsScale","LightStrength","LightColor","BasicColor","Des","BossColor","ExhibitionPos","ExhibitionScale","ExhibitionRotate","PathFindLocation","AddNpcRate","StartShowMissionId","EndShowMissionId","StartShowMissionState","EndShowMissionState","NeedFaceToPlayer","DialogSound","DialogCameraLength","Shouting","CreatingNotice","Noticeld","GsSuggestion","DialogWidgetCameraParamArray","DialogWidgetMontageId","HurtSound","SkillHurtSound","TimeLimitExchangeDrop","TimeLimitAddedDrop","GsAddBuffId","BuffIdWithKill","NormNpcGs","DamageSummonWithSelf","IsUseDamageList","HelperReward","BeHelpedReward","MissionTrigge","HpPlotTip","ShowDropList","MapFirsttHitTrigge","FirstKillDropId","IsRandomRoleName","ComeBackTime","BornBuffLevel","IsControlBoss","MonsterCollisionType","BattleCameraParamArray","BattleCameraDataArray","WorldBossDropID","IsCanShowHeadLifebar","TopHeadOffset"
"76000001","3","0","1","1","11","","21050011","","(4,31,1,0,1,4,8,0.7,0,1,4,5,1.2,0,1,4,6,1.2,0,1,4,7,1,0,1,4,9,1,0,1,4,10,0.1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","9","(0,0,0)","(0,0,0)","","","","","","","0","3","1","200","0.2","10000","3","","","0.3","0","0","10","0","2","1.2","","(120,90)","","500","0","5","","0","1","1","","1","","","","0","100","","800","2000","","","0","","","1","5","2","","","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(70000006)",""," ","","","","","","90041130","0","91232326","91232326","","(0,0,-120)","(0,0,-90)","(1,1,1)","","(91040401,91040402,91040403,91040404,91040405,91040406,91040407,91040408,91040409,91040410,91040411,91040412,91040413,91040414,91040415,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","15000611","","","","","","","","","","","","","(91923045)","(91923034,91923037,91923038,91923039,91923039)","(70504012)","(70504013)","","","","","","","","","","","","(70500090)","","","","","0","","","","0",""
"76000041","2","1","1","1","99","","21050099","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(0,0,0)","","","","","","","0","3","0","200","0.1","40000","3","","","1","0","0","10","0","1","2.7","","(95,40)","","500","0","0","","0","0","0","","0","","","","0","1000","","800","2000","","","0","","","1","5","3","","90009063","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90040062","91232699","91200515","91200515","","(0,0,-95)","(0,0,-90)","(1,1,1)","","(91056101,91056102,91056103,91056104,91056105,91056106,91056107,91056108,91056109,91056110,91056111,91056112,91056113,91056114,91056115,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","(72400,67400,4458)","0","","","","","","91924030","","","","","","(300,60,0,0,60,0,0,0,0,0,0,0,0,180,0.5,0.5)","91056118","(0)","(0)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000140","2","","1","1","99","","21050001","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(0,0,0)","","","","","","","0","3","0","200","0.1","40000","3","","","1","0","0","10","0","1","2.7","","(95,40)","","500","0","0","","0","0","0","","0","","","","0","1000","","800","2000","","","0","","","1","5","3","","90009063","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90043016","91232699","91200515","91200515","","(0,0,-95)","(0,0,-90)","(1,1,1)","","(91056101,91056102,91056103,91056104,91056105,91056106,91056107,91056108,91056109,91056110,91056111,91056112,91056113,91056114,91056115,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","","","","","","91924027","","","","","","(300,60,0,0,60,0,0,0,0,0,0,0,0,180,0.5,0.5)","91056118","(0)","0","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000141","2","","1","1","99","","21050001","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(0,0,0)","","","","","","","0","3","0","200","0.1","40000","3","","","1","0","0","10","0","1","2.7","","(95,40)","","500","0","0","","0","0","0","","0","","","","0","1000","","800","2000","","","0","","","1","5","3","","90005813","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90041298","91232587","0","0","","(0,0,-95)","(0,0,-90)","(1,1,1)","","(91046101,91046102,91046103,91046104,91046105,91046106,91046107,91046108,91046109,91046110,91046111,91046112,91046113,91046114,91046115,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","","","","","","91924050","","","","","","","","(0)","(0)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000142","9","","1","1","99","","21050099","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(0,0,0)","","","","","","","0","3","0","200","0.1","40000","","","","1","0","0","10","0","1","2.7","","(100,40)","","500","0","0","","0","0","0","","0","","","","0","400","","500","1500","","","0","","","1","5","3","","90008213","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90041001","91232699","0","0","","(0,0,-105)","(0,0,-90)","(1,1,1)","","(91056101,91056102,91056103,91056104,91056105,91056106,91056107,91056108,91056109,91056110,91056111,91056112,91056113,91056114,91056115,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","","","","","","91924030","","","","","","(300,60,0,0,60,0,0,0,0,0,0,0,0,180,0.5,0.5)","91056118","(0)","(0)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000143","9","","1","1","99","","21050099","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(0,0,0)","","","","","","","0","3","0","200","0.1","40000","3","","","1","0","0","10","0","1","2.7","","(115,35)","","500","0","0","","0","0","0","","0","","","","0","1000","","500","1500","","","0","","","1","5","3","","90005806","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90041002","91232582","91200513","91200513","","(0,0,-115)","(0,0,-90)","(1,1,1)","","(91043501,91043502,91043503,91043504,91043505,91043506,91043507,91043508,91043509,91043510,91043511,91043512,91043513,91043514,91043515,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","15000601","15000602","","","","91924043","","","","","","(300,60,0,0,60,0,0,0,0,0,0,0,0,180,0.5,0.5)","91043516","(91923040)","(91923035,91923037,91923038,91923039,91923039)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000144","9","","1","1","99","","21050099","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(31029132,0,0)","","","","","","","0","3","0","200","0.1","40000","","","","1","0","0","10","0","1","2.7","","(100,40)","","500","0","0","","0","0","0","","0","","","","0","400","","500","1500","","","0","","","1","5","3","","90008201","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90041003","91232561","91200513","91200513","","(0,0,-100)","(0,0,-90)","(1,1,1)","","(91013027,91013016,91013003,91013004,91013005,91013006,91013007,91013008,91013009,91013010,91013011,91013012,91013013,91013014,91013015,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","","","","","","91924017","","","","","","","","(91923040)","(91923035,91923037,91923038,91923039,91923039)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000145","9","","1","1","99","","21050099","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(31029132,0,0)","","","","","","","0","3","0","200","0.1","40000","","","","1","0","0","10","0","1","2.7","","(100,40)","","500","0","0","","0","0","0","","0","","","","0","400","","500","1500","","","0","","","1","5","3","","90008201","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90041004","91232561","91200513","91200513","","(0,0,-100)","(0,0,-90)","(1,1,1)","","(91013027,91013016,91013003,91013004,91013005,91013006,91013007,91013008,91013009,91013010,91013011,91013012,91013013,91013014,91013015,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","","","","","","91924012","","","","","","","","(91923040)","(91923035,91923037,91923038,91923039,91923039)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000146","9","","1","1","99","","21050099","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(31029132,0,0)","","","","","","","0","3","0","200","0.1","40000","","","","1","0","0","10","0","1","2.7","","(100,40)","","500","0","0","","0","0","0","","0","","","","0","400","","500","1500","","","0","","","1","5","3","","90008201","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90041005","91232561","91200513","91200513","","(0,0,-100)","(0,0,-90)","(1,1,1)","","(91013027,91013016,91013003,91013004,91013005,91013006,91013007,91013008,91013009,91013010,91013011,91013012,91013013,91013014,91013015,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","","","","","","91924012","","","","","","","","(91923040)","(91923035,91923037,91923038,91923039,91923039)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
"76000147","9","","1","1","99","","21050099","","(4,31,1,0,1,4,8,1,0,1,4,5,1,0,1,4,6,1,0,1,4,7,1,0,1,4,9,1,0,1,4,10,1,0,1,4,11,1,0,1,4,12,1,0,1,4,13,1,0,1,4,14,1,0,1,4,15,1,0,1,4,16,1,0,1,4,21,1,0,1,4,22,1,0,1,4,19,1,0,1,4,20,1,0,1,4,17,1,0,1,4,18,1,0,1,4,23,1,0,1,4,24,1,0,1,4,25,1,0,1,4,26,1,0,1)","(4,31,0,0,1,4,8,0,0,1,4,5,0,0,1,4,6,0,0,1,4,7,0,0,1,4,9,0,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,0,0,1,4,14,0,0,1,4,15,0,0,1,4,16,0,0,1,4,21,0,0,1,4,22,0,0,1,4,19,0,0,1,4,20,0,0,1,4,17,0,0,1,4,18,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,0,0,1,4,26,0,0,1)","10","(0,0,0)","(31029132,0,0)","","","","","","","0","3","0","200","0.1","40000","","","","1","0","0","10","0","1","2.7","","(100,40)","","500","0","0","","0","0","0","","0","","","","0","400","","500","1500","","","0","","","1","5","3","","90008202","(0,0,13500001,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","","","(0)","","","","","","","","90041006","91232561","91200513","91200513","","(0,0,-100)","(0,0,-90)","(1,1,1)","","(91013027,91013016,91013003,91013004,91013005,91013006,91013007,91013008,91013009,91013010,91013011,91013012,91013013,91013014,91013015,0,0,0,0,0,0,0,0,0,0,0,0,0)","(1,1,1)","0","(1,1,1,1)","(1,1,1,1)","0","(1,1,1,1)","(0,-60,0)","(1,1,1)","(0,0,90)","","1","15000605","15000605","","","","91924019","","","","","","","","(91923040)","(91923035,91923037,91923038,91923039,91923039)","(70504012)","(70504013)","","","","","","","","","","","","","","","","","0","","","","0",""
